,,,,,,,,,,,,,,,,
AB卷,年级,院区,姓名,M卷,P卷,M-P,总时长,,AB卷,年级,院区,姓名,M卷,P卷,M-P,总时长
A,1,A,1,66,68,-2,1022,,A,1,A,1,66,68,-2,1022
A,2,A,2,52,54,-2,2209,,A,1,A,4,46,42,4,1748
A,2,A,3,38,50,-12,2513,,A,1,A,5,56,64,-8,1836
A,1,A,4,46,42,4,1748,,A,1,A,6,60,54,6,2566
A,1,A,5,56,64,-8,1836,,A,1,A,11,48,54,-6,4045
A,1,A,6,60,54,6,2566,,A,1,B,13,52,68,-16,3658
A,2,A,7,52,60,-8,2053,,A,1,B,15,58,54,4,1159
A,3,A,8,62,68,-6,2742,,A,1,B,16,52,58,-6,2200
A,3,A,9,56,74,-18,2145,,A,1,B,18,58,58,0,1873
A,2,A,10,68,64,4,2473,,B,1,A,26,62,72,-10,2263
A,1,A,11,48,54,-6,4045,,B,1,B,31,56,32,24,2580
A,2,A,12,68,70,-2,1154,,B,1,B,32,46,30,16,2201
A,1,B,13,52,68,-16,3658,,B,1,A,33,66,72,-6,2530
A,2,A,14,72,76,-4,1288,,B,1,B,36,76,76,0,1369
A,1,B,15,58,54,4,1159,,B,1,A,44,62,64,-2,2023
A,1,B,16,52,58,-6,2200,,B,1,A,45,54,56,-2,710
A,2,B,17,34,50,-16,1708,,B,1,A,47,66,82,-16,2380
A,1,B,18,58,58,0,1873,,B,1,A,48,68,82,-14,3378
A,3,B,19,54,60,-6,1798,,B,1,A,49,50,54,-4,1623
A,3,B,20,64,68,-4,2427,,,,,,,,-2,2166.52631578947
A,3,A,21,54,56,-2,4606,,,,,,,,,
A,2,A,22,42,44,-2,1118,,A,2,A,2,52,54,-2,2209
A,2,B,23,88,74,14,2368,,A,2,A,3,38,50,-12,2513
A,2,B,24,88,70,18,2345,,A,2,A,7,52,60,-8,2053
A,3,B,25,84,70,14,2005,,A,2,A,10,68,64,4,2473
,,,,,,-2.24,2202.36,,A,2,A,12,68,70,-2,1154
,,,,,,,,,A,2,A,14,72,76,-4,1288
AB卷,年级,院区,姓名,M卷,P卷,,,,A,2,B,17,34,50,-16,1708
B,1,A,26,62,72,-10,2263,,A,2,A,22,42,44,-2,1118
B,3,A,27,64,64,0,5400,,A,2,B,23,88,74,14,2368
B,3,A,28,80,82,-2,2551,,A,2,B,24,88,70,18,2345
B,2,B,29,86,80,6,1989,,B,2,B,29,86,80,6,1989
B,2,B,30,68,60,8,3480,,B,2,B,30,68,60,8,3480
B,1,B,31,56,32,24,2580,,B,2,A,34,78,82,-4,2463
B,1,B,32,46,30,16,2201,,B,2,B,35,82,78,4,2099
B,1,A,33,66,72,-6,2530,,B,2,B,37,80,78,2,3191
B,2,A,34,78,82,-4,2463,,B,2,A,38,52,56,-4,1364
B,2,B,35,82,78,4,2099,,B,2,A,40,58,58,0,2326
B,1,B,36,76,76,0,1369,,B,2,A,41,46,66,-20,2697
B,2,B,37,80,78,2,3191,,B,2,A,42,50,58,-8,1331
B,2,A,38,52,56,-4,1364,,B,2,A,46,50,60,-10,2111
B,3,B,39,48,48,0,1782,,,,,,,,-1.8,2114
