student_id,source_true,paper,form,order_group,block_position,training_year,training_setting,n_items,raw_score,n_correct,score_percent,correct_rate
S001,MAS,M,A,A,2,1,main,50,66.0,33,66.0,0.66
S002,MAS,M,A,A,2,2,main,50,52.0,26,52.0,0.52
S003,MAS,M,A,A,2,2,main,50,38.0,19,38.0,0.38
S004,MAS,M,A,A,2,1,main,50,46.0,23,46.0,0.46
S005,MAS,M,A,A,2,1,main,50,56.0,28,56.00000000000001,0.56
S006,MAS,M,A,A,2,1,main,50,60.0,30,60.0,0.6
S007,MAS,M,A,A,2,2,main,50,52.0,26,52.0,0.52
S008,MAS,M,A,A,2,3,main,50,62.0,31,62.0,0.62
S009,MAS,M,A,A,2,3,main,50,56.0,28,56.00000000000001,0.56
S010,MAS,M,A,A,2,2,main,50,68.0,34,68.0,0.68
S011,MAS,M,A,A,2,1,main,50,48.0,24,48.0,0.48
S012,MAS,M,A,A,2,2,main,50,68.0,34,68.0,0.68
S013,MAS,M,A,A,2,1,non_main,50,52.0,26,52.0,0.52
S014,MAS,M,A,A,2,2,main,50,72.0,36,72.0,0.72
S015,MAS,M,A,A,2,1,non_main,50,58.0,29,57.99999999999999,0.58
S016,MAS,M,A,A,2,1,non_main,50,52.0,26,52.0,0.52
S017,MAS,M,A,A,2,2,non_main,50,34.0,17,34.0,0.34
S018,MAS,M,A,A,2,1,non_main,50,58.0,29,57.99999999999999,0.58
S019,MAS,M,A,A,2,3,non_main,50,54.0,27,54.0,0.54
S020,MAS,M,A,A,2,3,non_main,50,64.0,32,64.0,0.64
S021,MAS,M,A,A,2,3,main,50,54.0,27,54.0,0.54
S022,MAS,M,A,A,2,2,main,50,42.0,21,42.0,0.42
S023,MAS,M,A,A,2,2,non_main,50,88.0,44,88.0,0.88
S024,MAS,M,A,A,2,2,non_main,50,88.0,44,88.0,0.88
S025,MAS,M,A,A,2,3,non_main,50,84.0,42,84.0,0.84
S026,MAS,M,B,B,1,1,main,50,62.0,31,62.0,0.62
S027,MAS,M,B,B,1,3,main,50,64.0,32,64.0,0.64
S028,MAS,M,B,B,1,3,main,50,80.0,40,80.0,0.8
S029,MAS,M,B,B,1,2,non_main,50,86.0,43,86.0,0.86
S030,MAS,M,B,B,1,2,non_main,50,68.0,34,68.0,0.68
S031,MAS,M,B,B,1,1,non_main,50,56.0,28,56.00000000000001,0.56
S032,MAS,M,B,B,1,1,non_main,50,46.0,23,46.0,0.46
S033,MAS,M,B,B,1,1,main,50,66.0,33,66.0,0.66
S034,MAS,M,B,B,1,2,main,50,78.0,39,78.0,0.78
S035,MAS,M,B,B,1,2,non_main,50,82.0,41,82.0,0.82
S036,MAS,M,B,B,1,1,non_main,50,76.0,38,76.0,0.76
S037,MAS,M,B,B,1,2,non_main,50,80.0,40,80.0,0.8
S038,MAS,M,B,B,1,2,main,50,52.0,26,52.0,0.52
S039,MAS,M,B,B,1,3,non_main,50,48.0,24,48.0,0.48
S040,MAS,M,B,B,1,2,main,50,58.0,29,57.99999999999999,0.58
S041,MAS,M,B,B,1,2,main,50,46.0,23,46.0,0.46
S042,MAS,M,B,B,1,2,main,50,50.0,25,50.0,0.5
S043,MAS,M,B,B,1,3,main,50,46.0,23,46.0,0.46
S044,MAS,M,B,B,1,1,main,50,62.0,31,62.0,0.62
S045,MAS,M,B,B,1,1,main,50,54.0,27,54.0,0.54
S046,MAS,M,B,B,1,2,main,50,50.0,25,50.0,0.5
S047,MAS,M,B,B,1,1,main,50,66.0,33,66.0,0.66
S048,MAS,M,B,B,1,1,main,50,68.0,34,68.0,0.68
S049,MAS,M,B,B,1,1,main,50,50.0,25,50.0,0.5
S050,MAS,M,B,B,1,3,main,50,56.0,28,56.00000000000001,0.56
S001,Human,P,A,A,1,1,main,50,68.0,34,68.0,0.68
