item_id,source_true,n_responses,difficulty,discrimination
H001,Human,50,0.08,-0.04877226661435056
H002,Human,50,0.68,0.457801413564842
H003,Human,50,0.78,0.0853108490055338
H004,Human,50,0.78,0.09990976094945471
H005,Human,50,0.86,0.36465634548882914
H006,Human,50,0.9,0.4697043353910238
H007,Human,50,0.86,0.16990004979879902
H008,Human,50,0.98,0.40759948670594803
H009,Human,50,0.92,0.15595303856271583
H010,Human,50,0.48,0.1084285640867834
H011,Human,50,0.92,0.2566840266064395
H012,Human,50,0.88,0.521922161498262
H013,Human,50,0.84,0.43230840043337604
H014,Human,50,0.38,0.27897909173618984
H015,Human,50,0.86,0.3022578384983565
H016,Human,50,0.46,0.23184161390631666
H017,Human,50,0.66,0.4683783989562363
H018,Human,50,0.62,0.34814012582423465
H019,Human,50,0.72,0.2236388942581261
H020,Human,50,0.68,0.3492363705962201
H021,Human,50,0.3,0.3708365373949073
H022,Human,50,0.74,0.338720784529023
H023,Human,50,0.82,0.4393891851329392
H024,Human,50,0.5,0.2189714587783475
H025,Human,50,0.54,0.06151068529688447
H026,Human,50,0.86,0.39152373495275483
H027,Human,50,0.46,0.3383448751190099
H028,Human,50,0.4,0.143163406710265
H029,Human,50,0.28,0.23517870887698444
H030,Human,50,0.22,-0.028237732041746216
H031,Human,50,0.72,0.33428088055713
H032,Human,50,0.92,0.5064539938559951
H033,Human,50,0.86,0.5270071436707404
H034,Human,50,0.42,0.4517187579772645
H035,Human,50,0.66,0.36784519056756965
H036,Human,50,0.76,0.3081239476596333
H037,Human,50,0.84,0.17943462577887082
H038,Human,50,0.86,0.41846691155719484
H039,Human,50,0.88,0.40650586261901256
H040,Human,50,0.62,0.17527008689812368
H041,Human,50,0.7,0.5179370463533134
H042,Human,50,0.74,0.4319571674761451
H043,Human,50,0.6,0.28558900167846324
H044,Human,50,0.1,-0.30636507271078367
H045,Human,50,0.12,0.19561561057327914
H046,Human,50,0.14,0.2388510959685064
H047,Human,50,0.48,0.31866123464084806
H048,Human,50,0.68,0.026721345890878424
H049,Human,50,0.3,0.1476660471902201
H050,Human,50,0.08,0.09457695434312366
M001,MAS,50,0.62,0.3521328437180261
M002,MAS,50,0.94,-0.04058216560308697
M003,MAS,50,0.88,0.16154655064508777
M004,MAS,50,0.58,0.34006366562421736
M005,MAS,50,0.96,-0.023047954142430372
M006,MAS,50,0.56,-0.027570159804649635
M007,MAS,50,0.92,0.22964630280336032
M008,MAS,50,0.84,0.2283956359139239
M009,MAS,50,0.52,0.5017305150829321
M010,MAS,50,0.4,0.3042756870618903
M011,MAS,50,0.38,0.21816048230787677
M012,MAS,50,0.56,0.2998051143092058
M013,MAS,50,0.54,0.07810167390983158
M014,MAS,50,0.42,0.3843643625521595
M015,MAS,50,0.64,0.24302839409796242
M016,MAS,50,0.94,0.16613811928802416
M017,MAS,50,0.96,0.18049620052576804
M018,MAS,50,0.46,0.337299406938518
M019,MAS,50,0.92,0.3565716614346303
M020,MAS,50,0.9,0.42159303204602855
M021,MAS,50,0.68,0.34726823196665135
M022,MAS,50,0.92,-0.020252710247134553
M023,MAS,50,0.44,0.44552609553815953
M024,MAS,50,0.52,0.16003681818509258
M025,MAS,50,0.48,0.3153606019237066
M026,MAS,50,0.44,0.011356997916988769
M027,MAS,50,0.72,0.4208447087149702
M028,MAS,50,0.56,0.07766726903334407
M029,MAS,50,0.26,0.059661246480181264
M030,MAS,50,0.26,0.3829914753140054
M031,MAS,50,0.76,0.2513355975859116
M032,MAS,50,0.82,0.25529671530030795
M033,MAS,50,0.74,0.31514594122484085
M034,MAS,50,0.86,-0.03060640986159691
M035,MAS,50,0.38,0.34309928643482157
M036,MAS,50,0.74,0.3882815724919665
M037,MAS,50,0.78,0.29979144735053453
M038,MAS,50,0.68,0.2718282783187749
M039,MAS,50,0.94,0.3496040882323545
M040,MAS,50,0.44,0.09841777871972154
M041,MAS,50,0.76,0.4843569608211112
M042,MAS,50,0.54,0.2036205946998004
M043,MAS,50,0.02,-0.26455557988467104
M044,MAS,50,0.16,0.3271681175727526
M045,MAS,50,0.62,0.12988804602567278
M046,MAS,50,0.04,0.009976535968245374
M047,MAS,50,0.28,0.29795825630001005
M048,MAS,50,0.64,0.3832692869277602
M049,MAS,50,0.42,0.5441225072948255
M050,MAS,50,0.38,0.4299562851735258
