source,item_seq,qg_total_mean_across_experts,ulm_total_mean_across_experts
Human,1,34.0,64.0
Human,2,34.0,59.0
Human,3,34.333333333333336,62.333333333333336
Human,4,34.333333333333336,62.666666666666664
Human,5,34.333333333333336,63.0
Human,6,32.666666666666664,58.333333333333336
Human,7,34.666666666666664,61.666666666666664
Human,8,28.666666666666668,62.333333333333336
Human,9,34.666666666666664,64.0
Human,10,35.0,64.0
Human,11,35.0,64.0
Human,12,34.0,63.666666666666664
Human,13,33.0,64.66666666666667
Human,14,35.0,64.33333333333333
Human,15,35.0,68.33333333333333
Human,16,35.0,64.66666666666667
Human,17,34.666666666666664,69.66666666666667
Human,18,35.0,64.66666666666667
Human,19,34.666666666666664,68.66666666666667
Human,20,35.0,63.666666666666664
Human,21,34.333333333333336,63.666666666666664
Human,22,35.0,67.33333333333333
Human,23,34.333333333333336,65.66666666666667
Human,24,34.333333333333336,69.0
Human,25,35.0,65.33333333333333
Human,26,35.0,68.0
Human,27,34.333333333333336,68.66666666666667
Human,28,34.666666666666664,69.33333333333333
Human,29,32.333333333333336,65.66666666666667
Human,30,35.0,68.33333333333333
Human,31,35.0,67.66666666666667
Human,32,35.0,68.33333333333333
Human,33,35.0,67.66666666666667
Human,34,35.0,68.0
Human,35,35.0,67.66666666666667
Human,36,35.0,68.66666666666667
Human,37,35.0,69.33333333333333
Human,38,35.0,69.33333333333333
Human,39,35.0,69.33333333333333
Human,40,34.333333333333336,66.66666666666667
Human,41,35.0,67.33333333333333
Human,42,35.0,67.66666666666667
Human,43,35.0,67.0
Human,44,35.0,67.66666666666667
Human,45,35.0,68.0
Human,46,35.0,66.66666666666667
Human,47,34.666666666666664,62.0
Human,48,35.0,64.66666666666667
Human,49,34.666666666666664,62.333333333333336
Human,50,35.0,65.66666666666667
Human,51,35.0,64.33333333333333
Human,52,34.666666666666664,62.333333333333336
Human,53,34.666666666666664,63.0
Human,54,34.333333333333336,65.0
Human,55,34.666666666666664,67.0
Human,56,34.0,65.33333333333333
Human,57,35.0,67.0
Human,58,34.0,66.33333333333333
Human,59,35.0,66.33333333333333
Human,60,35.0,66.0
Human,61,34.666666666666664,68.0
Human,62,35.0,68.0
Human,63,34.666666666666664,68.33333333333333
Human,64,34.333333333333336,67.66666666666667
Human,65,34.666666666666664,64.33333333333333
Human,66,35.0,64.33333333333333
Human,67,35.0,64.33333333333333
Human,68,34.333333333333336,64.66666666666667
Human,69,34.333333333333336,64.33333333333333
Human,70,34.666666666666664,66.0
MAS,1,35.0,65.0
MAS,2,35.0,61.333333333333336
MAS,3,35.0,66.0
MAS,4,35.0,64.33333333333333
MAS,5,35.0,62.333333333333336
MAS,6,35.0,64.66666666666667
MAS,7,34.666666666666664,64.33333333333333
MAS,8,35.0,68.33333333333333
MAS,9,34.333333333333336,68.66666666666667
MAS,10,35.0,70.66666666666667
MAS,11,35.0,69.66666666666667
MAS,12,35.0,70.33333333333333
MAS,13,34.0,69.0
MAS,14,35.0,70.0
MAS,15,34.666666666666664,68.0
MAS,16,35.0,69.33333333333333
MAS,17,33.666666666666664,68.66666666666667
MAS,18,34.666666666666664,65.33333333333333
MAS,19,34.666666666666664,65.66666666666667
MAS,20,35.0,68.66666666666667
MAS,21,35.0,64.0
MAS,22,35.0,64.66666666666667
MAS,23,35.0,66.0
MAS,24,35.0,70.0
MAS,25,35.0,66.0
MAS,26,35.0,69.0
MAS,27,35.0,69.0
MAS,28,35.0,66.0
MAS,29,33.666666666666664,67.66666666666667
MAS,30,34.333333333333336,68.33333333333333
MAS,31,34.0,69.33333333333333
MAS,32,34.333333333333336,69.33333333333333
MAS,33,34.333333333333336,68.66666666666667
MAS,34,35.0,69.66666666666667
MAS,35,35.0,69.66666666666667
MAS,36,34.333333333333336,69.33333333333333
MAS,37,34.333333333333336,66.0
MAS,38,34.333333333333336,66.0
MAS,39,34.333333333333336,66.0
MAS,40,34.666666666666664,68.33333333333333
MAS,41,35.0,68.33333333333333
MAS,42,35.0,66.66666666666667
MAS,43,34.666666666666664,63.333333333333336
MAS,44,35.0,65.0
MAS,45,35.0,64.33333333333333
MAS,46,35.0,65.66666666666667
MAS,47,35.0,70.33333333333333
MAS,48,35.0,70.33333333333333
MAS,49,34.666666666666664,63.666666666666664
MAS,50,34.666666666666664,66.33333333333333
MAS,51,34.666666666666664,62.666666666666664
MAS,52,34.666666666666664,63.0
MAS,53,34.666666666666664,63.0
MAS,54,35.0,64.66666666666667
MAS,55,34.666666666666664,62.333333333333336
MAS,56,35.0,65.33333333333333
MAS,57,32.0,65.66666666666667
MAS,58,34.333333333333336,67.33333333333333
MAS,59,35.0,65.66666666666667
MAS,60,34.333333333333336,66.66666666666667
MAS,61,34.333333333333336,65.33333333333333
MAS,62,34.333333333333336,65.33333333333333
MAS,63,34.333333333333336,66.0
MAS,64,34.333333333333336,66.0
MAS,65,35.0,67.33333333333333
MAS,66,35.0,67.33333333333333
MAS,67,35.0,67.0
MAS,68,35.0,64.0
MAS,69,35.0,64.33333333333333
MAS,70,35.0,65.0
