order,family,dimension,max_score,ni_margin,n_per_group,mas_mean,mas_sd,human_mean,human_sd,diff,ci_low,ci_high,se,mean_above_margin,label
1,QGval,Fluency,5,-0.3,70,4.961904761904762,0.14516199117089618,4.92857142857143,0.17849664870855142,0.03333333333333233,-0.020563414487710603,0.08723008115437525,0.027498846022770623,True,n.s.
2,QGval,Clarity,5,-0.3,70,4.985714285714286,0.06799910688326728,4.933333333333333,0.25124488762714386,0.05238095238095308,-0.008593358467993445,0.11335526322989961,0.03110991392183944,True,n.s.
3,QGval,Conciseness,5,-0.3,70,4.847619047619047,0.25810977882483604,4.92857142857143,0.18730100244378864,-0.08095238095238244,-0.1556599333980221,-0.0062448285067427944,0.03811679859166969,True,n.s.
4,QGval,Relevance,5,-0.3,70,4.957142857142857,0.11238060146627311,4.923809523809523,0.18968087931796396,0.0333333333333341,-0.018314725027157863,0.08498139169382607,0.02635153439955288,True,n.s.
5,QGval,Consistency,5,-0.3,70,5.0,0.0,4.9714285714285715,0.13599821376653465,0.02857142857142847,-0.0032875813598092496,0.06043043850266619,0.01625489559121368,True,n.s.
6,QGval,Answerability,5,-0.3,70,5.0,0.0,4.980952380952381,0.0964041794504001,0.01904761904761898,-0.0035360724984746274,0.041631310593712584,0.011522503333852503,True,n.s.
7,QGval,Answer consistency,5,-0.3,70,4.947619047619047,0.2577976480288223,4.890476190476191,0.22501693313579227,0.05714285714285605,-0.023018145764472336,0.13730386005018444,0.040899222403895256,True,n.s.
8,ULM,Fluency,5,-0.3,70,4.909523809523809,0.18754648223779072,4.942857142857143,0.16998085116581507,-0.0333333333333341,-0.09262816639258234,0.025961499725914133,0.030253021752929297,True,n.s.
9,ULM,Exclusiveness,5,-0.3,70,4.876190476190475,0.22821458226887353,4.919047619047619,0.25018971407648966,-0.04285714285714448,-0.12218702923199655,0.03647274351770759,0.04047517556475328,True,n.s.
10,ULM,Explicitness,4,-0.25,70,3.3095238095238093,0.22213593908085189,3.342857142857143,0.26601023415366587,-0.03333333333333366,-0.11451932456530178,0.047852657898634465,0.0414221852403171,True,n.s.
11,ULM,Goal alignment,5,-0.3,70,4.761904761904763,0.2956629993011293,4.966666666666666,0.12878723294162375,-0.20476190476190315,-0.2803096495323819,-0.12921415999142438,0.03854547602220741,True,n.s.
12,ULM,Comprehensiveness,5,-0.3,70,2.809523809523809,0.7078383972965656,2.5047619047619043,0.6105430573978693,0.30476190476190457,0.08578183007561171,0.5237419794481974,0.11172658090331239,True,n.s.
13,ULM,Focus,5,-0.3,70,4.509523809523808,0.32462751388988453,4.447619047619047,0.3802097661799297,0.0619047619047608,-0.055212016161006225,0.17902153997052783,0.05975455620081248,True,n.s.
14,ULM,Guess resistance,5,-0.3,70,4.376190476190474,0.21921708570461915,4.157142857142858,0.23890132697489505,0.2190476190476156,0.14309157267753242,0.2950036654176988,0.038753796992809446,True,n.s.
15,ULM,Completeness,5,-0.3,70,4.585714285714286,0.7727978203446969,4.9714285714285715,0.17713825620894103,-0.38571428571428523,-0.5714452597087494,-0.19998331171982112,0.09476244229969855,False,***
16,ULM,Correctness,5,-0.3,70,4.995238095238095,0.03984095364447975,4.985714285714286,0.11952286093343938,0.00952380952380949,-0.019990239633550583,0.03903785868116956,0.015058465048420852,True,n.s.
17,ULM,Solvability,5,-0.3,70,4.976190476190477,0.16370733648032795,4.9904761904761905,0.0796819072889596,-0.014285714285713347,-0.05693740402121443,0.028365975449787736,0.021761466063627787,True,n.s.
18,ULM,Absoluteness,5,-0.3,70,4.985714285714286,0.08856912810447051,4.957142857142858,0.11238060146627309,0.028571428571427582,-0.004948204371638308,0.06209106151449347,0.01710216779872716,True,n.s.
19,ULM,Plausibility,5,-0.3,70,3.942857142857143,0.36325345295469097,3.638095238095239,0.5035873152045894,0.3047619047619041,0.15930268353860594,0.4502211259852023,0.07421525210190696,True,n.s.
20,ULM,Reasoning,4,-0.25,70,2.4285714285714284,0.6449178433061662,2.314285714285714,0.6002836535241408,0.11428571428571432,-0.09211088252767449,0.32068231109910317,0.10530632115764313,True,n.s.
21,ULM,Feedback,5,-0.3,70,3.904761904761905,0.2349691256167471,3.552380952380953,0.41658729402728245,0.352380952380952,0.24033793174089987,0.46442397302100413,0.05716585688504136,True,n.s.
22,ULM,Fairness,3,-0.2,70,3.0,0.0,3.00952380952381,0.07968190728895955,-0.009523809523809934,-0.02819013318609616,0.00914251413847629,0.009523809523809521,True,n.s.
23,ULM,Explanation score,5,-0.3,70,4.219047619047618,0.288734895517634,4.057142857142856,0.42834899526406184,0.16190476190476222,0.04089142252212012,0.2829181012874043,0.06174263422041419,True,n.s.
