endpoint,metric,source,item_seq,item_mean_score,scale_points
QGval,qg_total,Human,1,34.0,35
QGval,qg_total,Human,2,34.0,35
QGval,qg_total,Human,3,34.333333333333336,35
QGval,qg_total,Human,4,34.333333333333336,35
QGval,qg_total,Human,5,34.333333333333336,35
QGval,qg_total,Human,6,32.666666666666664,35
QGval,qg_total,Human,7,34.666666666666664,35
QGval,qg_total,Human,8,28.666666666666668,35
QGval,qg_total,Human,9,34.666666666666664,35
QGval,qg_total,Human,10,35.0,35
QGval,qg_total,Human,11,35.0,35
QGval,qg_total,Human,12,34.0,35
QGval,qg_total,Human,13,33.0,35
QGval,qg_total,Human,14,35.0,35
QGval,qg_total,Human,15,35.0,35
QGval,qg_total,Human,16,35.0,35
QGval,qg_total,Human,17,34.666666666666664,35
QGval,qg_total,Human,18,35.0,35
QGval,qg_total,Human,19,34.666666666666664,35
QGval,qg_total,Human,20,35.0,35
QGval,qg_total,Human,21,34.333333333333336,35
QGval,qg_total,Human,22,35.0,35
QGval,qg_total,Human,23,34.333333333333336,35
QGval,qg_total,Human,24,34.333333333333336,35
QGval,qg_total,Human,25,35.0,35
QGval,qg_total,Human,26,35.0,35
QGval,qg_total,Human,27,34.333333333333336,35
QGval,qg_total,Human,28,34.666666666666664,35
QGval,qg_total,Human,29,32.333333333333336,35
QGval,qg_total,Human,30,35.0,35
QGval,qg_total,Human,31,35.0,35
QGval,qg_total,Human,32,35.0,35
QGval,qg_total,Human,33,35.0,35
QGval,qg_total,Human,34,35.0,35
QGval,qg_total,Human,35,35.0,35
QGval,qg_total,Human,36,35.0,35
QGval,qg_total,Human,37,35.0,35
QGval,qg_total,Human,38,35.0,35
QGval,qg_total,Human,39,35.0,35
QGval,qg_total,Human,40,34.333333333333336,35
QGval,qg_total,Human,41,35.0,35
QGval,qg_total,Human,42,35.0,35
QGval,qg_total,Human,43,35.0,35
QGval,qg_total,Human,44,35.0,35
QGval,qg_total,Human,45,35.0,35
QGval,qg_total,Human,46,35.0,35
QGval,qg_total,Human,47,34.666666666666664,35
QGval,qg_total,Human,48,35.0,35
QGval,qg_total,Human,49,34.666666666666664,35
QGval,qg_total,Human,50,35.0,35
QGval,qg_total,Human,51,35.0,35
QGval,qg_total,Human,52,34.666666666666664,35
QGval,qg_total,Human,53,34.666666666666664,35
QGval,qg_total,Human,54,34.333333333333336,35
QGval,qg_total,Human,55,34.666666666666664,35
QGval,qg_total,Human,56,34.0,35
QGval,qg_total,Human,57,35.0,35
QGval,qg_total,Human,58,34.0,35
QGval,qg_total,Human,59,35.0,35
QGval,qg_total,Human,60,35.0,35
QGval,qg_total,Human,61,34.666666666666664,35
QGval,qg_total,Human,62,35.0,35
QGval,qg_total,Human,63,34.666666666666664,35
QGval,qg_total,Human,64,34.333333333333336,35
QGval,qg_total,Human,65,34.666666666666664,35
QGval,qg_total,Human,66,35.0,35
QGval,qg_total,Human,67,35.0,35
QGval,qg_total,Human,68,34.333333333333336,35
QGval,qg_total,Human,69,34.333333333333336,35
QGval,qg_total,Human,70,34.666666666666664,35
QGval,qg_total,MAS,1,35.0,35
QGval,qg_total,MAS,2,35.0,35
QGval,qg_total,MAS,3,35.0,35
QGval,qg_total,MAS,4,35.0,35
QGval,qg_total,MAS,5,35.0,35
QGval,qg_total,MAS,6,35.0,35
QGval,qg_total,MAS,7,34.666666666666664,35
QGval,qg_total,MAS,8,35.0,35
QGval,qg_total,MAS,9,34.333333333333336,35
QGval,qg_total,MAS,10,35.0,35
QGval,qg_total,MAS,11,35.0,35
QGval,qg_total,MAS,12,35.0,35
QGval,qg_total,MAS,13,34.0,35
QGval,qg_total,MAS,14,35.0,35
QGval,qg_total,MAS,15,34.666666666666664,35
QGval,qg_total,MAS,16,35.0,35
QGval,qg_total,MAS,17,33.666666666666664,35
QGval,qg_total,MAS,18,34.666666666666664,35
QGval,qg_total,MAS,19,34.666666666666664,35
QGval,qg_total,MAS,20,35.0,35
QGval,qg_total,MAS,21,35.0,35
QGval,qg_total,MAS,22,35.0,35
QGval,qg_total,MAS,23,35.0,35
QGval,qg_total,MAS,24,35.0,35
QGval,qg_total,MAS,25,35.0,35
QGval,qg_total,MAS,26,35.0,35
QGval,qg_total,MAS,27,35.0,35
QGval,qg_total,MAS,28,35.0,35
QGval,qg_total,MAS,29,33.666666666666664,35
QGval,qg_total,MAS,30,34.333333333333336,35
QGval,qg_total,MAS,31,34.0,35
QGval,qg_total,MAS,32,34.333333333333336,35
QGval,qg_total,MAS,33,34.333333333333336,35
QGval,qg_total,MAS,34,35.0,35
QGval,qg_total,MAS,35,35.0,35
QGval,qg_total,MAS,36,34.333333333333336,35
QGval,qg_total,MAS,37,34.333333333333336,35
QGval,qg_total,MAS,38,34.333333333333336,35
QGval,qg_total,MAS,39,34.333333333333336,35
QGval,qg_total,MAS,40,34.666666666666664,35
QGval,qg_total,MAS,41,35.0,35
QGval,qg_total,MAS,42,35.0,35
QGval,qg_total,MAS,43,34.666666666666664,35
QGval,qg_total,MAS,44,35.0,35
QGval,qg_total,MAS,45,35.0,35
