source,cognitive_level,item_seq,metric,score,score_scale
Human,分析,53,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,53,ULM,4.463541666666667,mean of component scores standardized to 5 points
Human,分析,54,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,分析,54,ULM,4.510416666666667,mean of component scores standardized to 5 points
Human,分析,55,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,分析,55,ULM,4.557291666666667,mean of component scores standardized to 5 points
Human,分析,56,QGval,4.6190476190476195,mean of component scores standardized to 5 points
Human,分析,56,ULM,4.322916666666667,mean of component scores standardized to 5 points
Human,分析,57,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,57,ULM,4.489583333333333,mean of component scores standardized to 5 points
Human,分析,58,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,58,ULM,4.442708333333333,mean of component scores standardized to 5 points
Human,分析,59,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,59,ULM,4.489583333333333,mean of component scores standardized to 5 points
Human,分析,60,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,60,ULM,4.442708333333333,mean of component scores standardized to 5 points
Human,分析,61,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,61,ULM,4.463541666666667,mean of component scores standardized to 5 points
Human,分析,62,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,62,ULM,4.442708333333333,mean of component scores standardized to 5 points
Human,分析,63,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,63,ULM,4.510416666666667,mean of component scores standardized to 5 points
Human,分析,64,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,64,ULM,4.552083333333333,mean of component scores standardized to 5 points
Human,分析,65,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,65,ULM,4.557291666666667,mean of component scores standardized to 5 points
Human,分析,66,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,66,ULM,4.557291666666667,mean of component scores standardized to 5 points
Human,分析,67,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,分析,67,ULM,4.479166666666667,mean of component scores standardized to 5 points
Human,分析,68,QGval,5.0,mean of component scores standardized to 5 points
Human,分析,68,ULM,4.479166666666667,mean of component scores standardized to 5 points
Human,分析,69,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,分析,69,ULM,4.5,mean of component scores standardized to 5 points
Human,分析,70,QGval,4.904761904761904,mean of component scores standardized to 5 points
Human,分析,70,ULM,4.458333333333333,mean of component scores standardized to 5 points
Human,应用,28,QGval,4.095238095238096,mean of component scores standardized to 5 points
Human,应用,28,ULM,4.125,mean of component scores standardized to 5 points
Human,应用,29,QGval,4.9523809523809526,mean of component scores standardized to 5 points
Human,应用,29,ULM,4.203125,mean of component scores standardized to 5 points
