term,estimate,se,z,p_value,ci_low,ci_high,model_formula,covariates,random_effects,score_formula
Intercept,4.267474550768116,0.084,51.104,0.0,4.104,4.431,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
"C(source_true, Treatment(reference='Human'))[T.MAS]",0.14418432140564677,0.043,3.342,0.001,0.06,0.229,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
"C(blueprint_cognitive_level, Treatment(reference='recall'))[T.comprehension]",0.3068178025785192,0.056,5.519,0.0,0.198,0.416,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
"C(blueprint_cognitive_level, Treatment(reference='recall'))[T.application]",0.11683749352145377,0.045,2.614,0.009,0.029,0.204,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
"C(blueprint_cognitive_level, Treatment(reference='recall'))[T.analysis]",0.25535648408179984,0.037,6.938,0.0,0.183,0.327,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(blueprint_cognitive_level, Treatment(reference='recall'))[T.comprehension]",-0.20714277195324252,0.08,-2.589,0.01,-0.364,-0.05,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(blueprint_cognitive_level, Treatment(reference='recall'))[T.application]",-0.009660708569237363,0.051,-0.191,0.849,-0.109,0.09,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(blueprint_cognitive_level, Treatment(reference='recall'))[T.analysis]",-0.1618664935134571,0.052,-3.109,0.002,-0.264,-0.06,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
char_count,6.409297052290835e-05,0.0,0.262,0.793,-0.0,0.001,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
has_vignette,0.0919065247831469,0.024,3.861,0.0,0.045,0.139,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id),"quality_score_5 is the unweighted mean of 23 expert rubric component scores after each component is standardized to a 5-point scale using its own maximum score: 7 QGval components plus 16 ULM components. ULM Explicitness and Reasoning have 4-point maxima, and ULM Fairness has a 3-point maximum; all other components have 5-point maxima. qgeval_score_5 and llm_score_5 are the corresponding family-level means of standardized component scores."
