rater_id,source_true,item_key,item_type,cognitive_level,quality_score_5,qgeval_score_5,ulm_score_5,rating_order,rating_order_z,all_observations
Expert 1,Human,Human_A1_003_1,A1,recall,4.467391304347826,5.0,4.234375,1,-1.7054475388727388,all
Expert 1,Human,Human_A1_004_1,A1,recall,3.9130434782608696,4.857142857142857,3.5,2,-1.6560142768764277,all
Expert 1,Human,Human_A1_005_1,A1,recall,4.173913043478261,4.857142857142857,3.875,3,-1.6065810148801163,all
Expert 1,Human,Human_A1_014_1,A1,recall,4.217391304347826,4.857142857142857,3.9375,4,-1.5571477528838051,all
Expert 1,Human,Human_A1_015_1,A1,recall,4.260869565217392,4.857142857142857,4.0,5,-1.5077144908874938,all
Expert 1,Human,Human_A1_016_1,A1,recall,4.130434782608695,4.857142857142857,3.8125,6,-1.4582812288911826,all
Expert 1,Human,Human_A1_017_1,A1,recall,4.173913043478261,5.0,3.8125,7,-1.4088479668948712,all
Expert 1,Human,Human_A2_001_1,A2,application,3.7282608695652173,3.5714285714285716,3.796875,8,-1.35941470489856,all
Expert 1,Human,Human_A2_002_1,A2,application,4.358695652173913,5.0,4.078125,9,-1.3099814429022487,all
Expert 1,Human,Human_A2_006_1,A2,application,4.304347826086956,5.0,4.0,10,-1.2605481809059373,all
Expert 1,Human,Human_A2_007_1,A2,application,4.358695652173913,5.0,4.078125,11,-1.2111149189096262,all
Expert 1,Human,Human_A2_017_1,A2,application,4.141304347826087,4.571428571428571,3.953125,12,-1.1616816569133148,all
Expert 1,Human,Human_A2_026_1,A2,application,4.141304347826087,4.428571428571429,4.015625,13,-1.1122483949170037,all
Expert 1,Human,Human_A2_027_1,A2,application,4.315217391304348,5.0,4.015625,14,-1.0628151329206923,all
Expert 1,Human,Human_A2_028_1,A2,application,4.586956521739131,5.0,4.40625,15,-1.0133818709243811,all
Expert 1,Human,Human_A2_029_1,A2,application,4.358695652173913,5.0,4.078125,16,-0.9639486089280698,all
Expert 1,Human,Human_A2_030_1,A2,application,4.586956521739131,5.0,4.40625,17,-0.9145153469317585,all
Expert 1,Human,Human_A2_031_1,A2,application,4.315217391304348,5.0,4.015625,18,-0.8650820849354472,all
Expert 1,Human,Human_A2_032_1,A2,application,4.586956521739131,5.0,4.40625,19,-0.815648822939136,all
Expert 1,Human,Human_A2_033_1,A2,application,4.315217391304348,5.0,4.015625,20,-0.7662155609428247,all
Expert 1,Human,Human_A2_034_1,A2,application,4.271739130434782,4.857142857142857,4.015625,21,-0.7167822989465135,all
Expert 1,Human,Human_A2_035_1,A2,application,4.576086956521739,5.0,4.390625,22,-0.6673490369502022,all
Expert 1,Human,Human_A2_036_1,A2,application,4.4021739130434785,4.857142857142857,4.203125,23,-0.6179157749538909,all
Expert 1,Human,Human_A2_037_1,A2,application,4.586956521739131,4.857142857142857,4.46875,24,-0.5684825129575797,all
Expert 1,Human,Human_A2_038_1,A2,application,4.445652173913044,5.0,4.203125,25,-0.5190492509612684,all
Expert 1,Human,Human_A3/A4_001_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,26,-0.4696159889649571,all
Expert 1,Human,Human_A3/A4_002_1,A3/A4,analysis,4.586956521739131,4.857142857142857,4.46875,27,-0.42018272696864584,all
Expert 1,Human,Human_A3/A4_003_1,A3/A4,analysis,4.586956521739131,4.857142857142857,4.46875,28,-0.3707494649723345,all
Expert 1,Human,Human_A3/A4_004_1,A3/A4,analysis,4.543478260869565,4.714285714285714,4.46875,29,-0.32131620297602326,all
Expert 1,Human,Human_A3/A4_005_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,30,-0.271882940979712,all
Expert 1,Human,Human_A3/A4_006_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,31,-0.22244967898340073,all
Expert 1,Human,Human_A3/A4_007_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,32,-0.17301641698708944,all
Expert 1,Human,Human_A3/A4_008_1,A3/A4,analysis,4.586956521739131,5.0,4.40625,33,-0.12358315499077818,all
Expert 1,Human,Human_A3/A4_009_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,34,-0.0741498929944669,all
Expert 1,Human,Human_A3/A4_010_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,35,-0.024716630998155638,all
Expert 1,Human,Human_A3/A4_011_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,36,0.024716630998155638,all
Expert 1,Human,Human_A3/A4_012_1,A3/A4,analysis,4.673913043478261,5.0,4.53125,37,0.0741498929944669,all
Expert 1,Human,Human_A3/A4_013_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,38,0.12358315499077818,all
Expert 1,Human,Human_A3/A4_014_1,A3/A4,analysis,4.630434782608695,5.0,4.46875,39,0.17301641698708944,all
Expert 1,Human,Human_B_007_1,B,comprehension,4.434782608695652,4.857142857142857,4.25,40,0.22244967898340073,all
Expert 1,Human,Human_B_008_1,B,comprehension,4.478260869565218,5.0,4.25,41,0.271882940979712,all
Expert 1,Human,Human_B_009_1,B,comprehension,4.478260869565218,5.0,4.25,42,0.32131620297602326,all
