source_true,cognitive_level,item_key,quality_score,n_raters
Human,recall,Human_A1_003_1,4.409420289855073,3
Human,recall,Human_A1_004_1,4.1811594202898545,3
Human,recall,Human_A1_005_1,4.340579710144927,3
Human,recall,Human_A1_014_1,4.355072463768116,3
Human,recall,Human_A1_015_1,4.369565217391305,3
Human,recall,Human_A1_016_1,4.090579710144928,3
Human,recall,Human_A1_017_1,4.326086956521739,3
Human,recall,Human_A1_018_1,4.471014492753624,3
Human,recall,Human_A1_019_1,4.358695652173913,3
Human,recall,Human_A1_020_1,4.38768115942029,3
Human,comprehension,Human_A2_002_1,4.717391304347826,1
Human,comprehension,Human_A2_007_1,4.717391304347826,1
Human,comprehension,Human_A3/A4_008_1,4.815217391304348,1
Human,comprehension,Human_A3/A4_009_1,4.815217391304348,1
Human,comprehension,Human_A3/A4_012_1,4.717391304347826,1
Human,comprehension,Human_B_007_1,4.528985507246377,3
Human,comprehension,Human_B_008_1,4.478260869565218,2
Human,comprehension,Human_B_009_1,4.505434782608695,2
Human,comprehension,Human_B_010_1,4.449275362318841,3
Human,comprehension,Human_B_011_1,4.463768115942028,3
Human,comprehension,Human_B_012_1,4.463768115942028,3
Human,comprehension,Human_X_002_1,4.510869565217391,2
Human,comprehension,Human_X_003_1,4.61231884057971,3
Human,comprehension,Human_X_004_1,4.630434782608695,3
Human,comprehension,Human_X_005_1,4.547101449275362,3
Human,comprehension,Human_X_006_1,4.344202898550725,3
Human,comprehension,Human_X_007_1,4.364130434782609,2
Human,comprehension,Human_X_008_1,4.351449275362319,3
Human,comprehension,Human_X_012_1,4.413043478260869,2
Human,comprehension,Human_X_020_1,4.449275362318841,3
Human,comprehension,Human_X_021_1,4.434782608695652,3
Human,comprehension,Human_X_022_1,4.525362318840579,3
Human,application,Human_A2_001_1,4.115942028985507,3
Human,application,Human_A2_002_1,4.288043478260869,2
Human,application,Human_A2_006_1,4.445652173913043,3
Human,application,Human_A2_007_1,4.315217391304348,2
Human,application,Human_A2_017_1,4.391304347826087,3
Human,application,Human_A2_026_1,4.391304347826087,3
Human,application,Human_A2_027_1,4.463768115942028,3
Human,application,Human_A2_028_1,4.648550724637681,3
Human,application,Human_A2_029_1,4.478260869565218,3
Human,application,Human_A2_030_1,4.695652173913044,3
Human,application,Human_A2_031_1,4.481884057971015,3
Human,application,Human_A2_032_1,4.648550724637681,3
Human,application,Human_A2_033_1,4.434782608695652,3
Human,application,Human_A2_034_1,4.405797101449275,3
Human,application,Human_A2_035_1,4.594202898550725,3
Human,application,Human_A2_036_1,4.492753623188406,3
Human,application,Human_A2_037_1,4.648550724637681,3
Human,application,Human_A2_038_1,4.503623188405797,3
Human,application,Human_A2_044_1,4.478260869565218,3
Human,application,Human_A2_045_1,4.576086956521739,3
Human,application,Human_A2_046_1,4.47463768115942,3
Human,application,Human_A2_047_1,4.590579710144928,3
Human,application,Human_A2_048_1,4.521739130434782,3
Human,application,Human_A2_049_1,4.561594202898551,3
Human,application,Human_A2_050_1,4.550724637681159,3
Human,application,Human_A3/A4_002_1,4.717391304347826,1
Human,application,Human_X_007_1,4.717391304347826,1
Human,analysis,Human_A3/A4_001_1,4.6268115942028984,3
Human,analysis,Human_A3/A4_002_1,4.586956521739131,2
Human,analysis,Human_A3/A4_003_1,4.677536231884058,3
Human,analysis,Human_A3/A4_004_1,4.41304347826087,3
Human,analysis,Human_A3/A4_005_1,4.644927536231884,3
Human,analysis,Human_A3/A4_006_1,4.61231884057971,3
Human,analysis,Human_A3/A4_007_1,4.644927536231884,3
Human,analysis,Human_A3/A4_008_1,4.510869565217392,2
Human,analysis,Human_A3/A4_009_1,4.532608695652174,2
Human,analysis,Human_A3/A4_010_1,4.61231884057971,3
Human,analysis,Human_A3/A4_011_1,4.659420289855072,3
Human,analysis,Human_A3/A4_012_1,4.673913043478261,2
Human,analysis,Human_A3/A4_013_1,4.692028985507246,3
Human,analysis,Human_A3/A4_014_1,4.692028985507246,3
Human,analysis,Human_A3/A4_033_1,4.6231884057971016,3
Human,analysis,Human_A3/A4_034_1,4.63768115942029,3
Human,analysis,Human_A3/A4_035_1,4.63768115942029,3
Human,analysis,Human_A3/A4_036_1,4.594202898550724,3
Human,analysis,Human_B_008_1,4.815217391304348,1
Human,analysis,Human_B_009_1,4.815217391304348,1
Human,analysis,Human_X_002_1,4.717391304347826,1
Human,analysis,Human_X_012_1,4.717391304347826,1
MAS,recall,MAS_A1_001_1,4.4855072463768115,3
MAS,recall,MAS_A1_002_1,4.326086956521739,3
MAS,recall,MAS_A1_006_1,4.5398550724637685,3
MAS,recall,MAS_A1_007_1,4.456521739130435,3
MAS,recall,MAS_A1_008_1,4.3731884057971016,3
MAS,recall,MAS_A1_009_1,4.384057971014493,3
MAS,recall,MAS_A1_010_1,4.384057971014493,3
MAS,recall,MAS_A1_011_1,4.369565217391305,3
MAS,recall,MAS_A1_012_1,4.478260869565218,3
MAS,recall,MAS_A1_013_1,4.438405797101449,3
MAS,comprehension,MAS_A2_011_1,4.815217391304348,1
MAS,comprehension,MAS_A2_013_1,4.815217391304348,1
MAS,comprehension,MAS_A3/A4_015_1,4.717391304347826,1
MAS,comprehension,MAS_A3/A4_016_1,4.717391304347826,1
MAS,comprehension,MAS_A3/A4_017_1,4.717391304347826,1
MAS,comprehension,MAS_B_001_1,4.6231884057971016,3
MAS,comprehension,MAS_B_002_1,4.63768115942029,3
MAS,comprehension,MAS_B_003_1,4.561594202898551,3
MAS,comprehension,MAS_B_004_1,4.597826086956522,3
MAS,comprehension,MAS_B_005_1,4.597826086956522,3
MAS,comprehension,MAS_B_006_1,4.583333333333333,3
MAS,comprehension,MAS_X_001_1,4.409420289855072,3
MAS,comprehension,MAS_X_009_1,4.452898550724638,3
MAS,comprehension,MAS_X_010_1,4.467391304347826,3
MAS,comprehension,MAS_X_011_1,4.3478260869565215,2
MAS,comprehension,MAS_X_013_1,4.342391304347826,2
MAS,comprehension,MAS_X_014_1,4.463768115942028,3
MAS,comprehension,MAS_X_015_1,4.429347826086957,2
MAS,comprehension,MAS_X_016_1,4.75,2
MAS,comprehension,MAS_X_017_1,4.744565217391305,2
MAS,comprehension,MAS_X_018_1,4.423913043478261,3
MAS,comprehension,MAS_X_019_1,4.5398550724637685,3
MAS,application,MAS_A2_003_1,4.648550724637681,3
MAS,application,MAS_A2_004_1,4.634057971014493,3
MAS,application,MAS_A2_005_1,4.75,3
MAS,application,MAS_A2_008_1,4.706521739130435,3
MAS,application,MAS_A2_009_1,4.7355072463768115,3
MAS,application,MAS_A2_010_1,4.63768115942029,3
MAS,application,MAS_A2_011_1,4.684782608695652,2
MAS,application,MAS_A2_012_1,4.615942028985508,3
MAS,application,MAS_A2_013_1,4.619565217391305,2
MAS,application,MAS_A2_014_1,4.605072463768116,3
MAS,application,MAS_A2_015_1,4.496376811594203,3
MAS,application,MAS_A2_016_1,4.510869565217392,3
MAS,application,MAS_A2_018_1,4.481884057971015,3
MAS,application,MAS_A2_019_1,4.351449275362319,3
MAS,application,MAS_A2_020_1,4.507246376811594,3
MAS,application,MAS_A2_021_1,4.394927536231884,3
MAS,application,MAS_A2_022_1,4.576086956521739,3
MAS,application,MAS_A2_023_1,4.532608695652174,3
MAS,application,MAS_A2_024_1,4.547101449275362,3
MAS,application,MAS_A2_025_1,4.66304347826087,3
MAS,application,MAS_A2_039_1,4.452898550724638,3
MAS,application,MAS_A2_040_1,4.478260869565218,3
MAS,application,MAS_A2_041_1,4.543478260869565,3
MAS,application,MAS_A2_042_1,4.728260869565218,3
MAS,application,MAS_A2_043_1,4.547101449275362,3
MAS,application,MAS_X_011_1,4.815217391304348,1
MAS,application,MAS_X_013_1,4.815217391304348,1
MAS,analysis,MAS_A3/A4_015_1,4.364130434782609,2
MAS,analysis,MAS_A3/A4_016_1,4.364130434782609,2
MAS,analysis,MAS_A3/A4_017_1,4.407608695652174,2
MAS,analysis,MAS_A3/A4_018_1,4.510869565217392,3
MAS,analysis,MAS_A3/A4_019_1,4.673913043478261,3
MAS,analysis,MAS_A3/A4_020_1,4.677536231884058,3
MAS,analysis,MAS_A3/A4_021_1,4.532608695652175,3
MAS,analysis,MAS_A3/A4_022_1,4.547101449275362,3
MAS,analysis,MAS_A3/A4_023_1,4.608695652173913,3
MAS,analysis,MAS_A3/A4_024_1,4.648550724637681,3
MAS,analysis,MAS_A3/A4_025_1,4.66304347826087,3
MAS,analysis,MAS_A3/A4_026_1,4.630434782608696,3
MAS,analysis,MAS_A3/A4_027_1,4.7101449275362315,3
MAS,analysis,MAS_A3/A4_028_1,4.7101449275362315,3
MAS,analysis,MAS_A3/A4_029_1,4.66304347826087,3
MAS,analysis,MAS_A3/A4_030_1,4.507246376811595,3
MAS,analysis,MAS_A3/A4_031_1,4.507246376811595,3
MAS,analysis,MAS_A3/A4_032_1,4.507246376811595,3
MAS,analysis,MAS_X_015_1,4.717391304347826,1
MAS,analysis,MAS_X_016_1,4.717391304347826,1
MAS,analysis,MAS_X_017_1,4.717391304347826,1
