endpoint,scale_points,target_id,rater_id,score
QGEval,35,Human_A1_003_1,Expert 1,35.0
QGEval,35,Human_A1_003_1,Expert 3,33.0
QGEval,35,Human_A1_003_1,Expert 4,34.0
QGEval,35,Human_A1_004_1,Expert 1,34.0
QGEval,35,Human_A1_004_1,Expert 3,35.0
QGEval,35,Human_A1_004_1,Expert 4,33.0
QGEval,35,Human_A1_005_1,Expert 1,34.0
QGEval,35,Human_A1_005_1,Expert 3,35.0
QGEval,35,Human_A1_005_1,Expert 4,34.0
QGEval,35,Human_A1_014_1,Expert 1,34.0
QGEval,35,Human_A1_014_1,Expert 3,35.0
QGEval,35,Human_A1_014_1,Expert 4,34.0
QGEval,35,Human_A1_015_1,Expert 1,34.0
QGEval,35,Human_A1_015_1,Expert 3,35.0
QGEval,35,Human_A1_015_1,Expert 4,34.0
QGEval,35,Human_A1_016_1,Expert 1,34.0
QGEval,35,Human_A1_016_1,Expert 3,33.0
QGEval,35,Human_A1_016_1,Expert 4,31.0
QGEval,35,Human_A1_017_1,Expert 1,35.0
QGEval,35,Human_A1_017_1,Expert 3,35.0
QGEval,35,Human_A1_017_1,Expert 4,34.0
QGEval,35,Human_A1_018_1,Expert 1,35.0
QGEval,35,Human_A1_018_1,Expert 3,35.0
QGEval,35,Human_A1_018_1,Expert 4,35.0
QGEval,35,Human_A1_019_1,Expert 1,34.0
QGEval,35,Human_A1_019_1,Expert 3,35.0
QGEval,35,Human_A1_019_1,Expert 4,35.0
QGEval,35,Human_A1_020_1,Expert 1,34.0
QGEval,35,Human_A1_020_1,Expert 3,35.0
QGEval,35,Human_A1_020_1,Expert 4,35.0
QGEval,35,Human_A2_001_1,Expert 1,25.0
QGEval,35,Human_A2_001_1,Expert 3,28.0
QGEval,35,Human_A2_001_1,Expert 4,33.0
QGEval,35,Human_A2_002_1,Expert 1,35.0
QGEval,35,Human_A2_002_1,Expert 3,35.0
QGEval,35,Human_A2_002_1,Expert 4,34.0
QGEval,35,Human_A2_006_1,Expert 1,35.0
QGEval,35,Human_A2_006_1,Expert 3,35.0
QGEval,35,Human_A2_006_1,Expert 4,35.0
QGEval,35,Human_A2_007_1,Expert 1,35.0
QGEval,35,Human_A2_007_1,Expert 3,35.0
QGEval,35,Human_A2_007_1,Expert 4,35.0
QGEval,35,Human_A2_017_1,Expert 1,32.0
QGEval,35,Human_A2_017_1,Expert 3,35.0
QGEval,35,Human_A2_017_1,Expert 4,35.0
QGEval,35,Human_A2_026_1,Expert 1,31.0
QGEval,35,Human_A2_026_1,Expert 3,35.0
QGEval,35,Human_A2_026_1,Expert 4,33.0
QGEval,35,Human_A2_027_1,Expert 1,35.0
QGEval,35,Human_A2_027_1,Expert 3,35.0
