source_true,target_id,item_type,cognitive_level,rater_id,qgeval_total,ulm_total
Human,Human_A1_003_1,A1,recall,Expert 1,35.0,64.0
Human,Human_A1_004_1,A1,recall,Expert 1,34.0,53.0
Human,Human_A1_005_1,A1,recall,Expert 1,34.0,59.0
Human,Human_A1_014_1,A1,recall,Expert 1,34.0,60.0
Human,Human_A1_015_1,A1,recall,Expert 1,34.0,61.0
Human,Human_A1_016_1,A1,recall,Expert 1,34.0,58.0
Human,Human_A1_017_1,A1,recall,Expert 1,35.0,58.0
Human,Human_A2_001_1,A2,application,Expert 1,25.0,57.0
Human,Human_A2_002_1,A2,application,Expert 1,35.0,62.0
Human,Human_A2_006_1,A2,application,Expert 1,35.0,61.0
Human,Human_A2_007_1,A2,application,Expert 1,35.0,62.0
Human,Human_A2_017_1,A2,application,Expert 1,32.0,60.0
Human,Human_A2_026_1,A2,application,Expert 1,31.0,61.0
Human,Human_A2_027_1,A2,application,Expert 1,35.0,61.0
Human,Human_A2_028_1,A2,application,Expert 1,35.0,67.0
Human,Human_A2_029_1,A2,application,Expert 1,35.0,62.0
Human,Human_A2_030_1,A2,application,Expert 1,35.0,67.0
Human,Human_A2_031_1,A2,application,Expert 1,35.0,61.0
Human,Human_A2_032_1,A2,application,Expert 1,35.0,67.0
Human,Human_A2_033_1,A2,application,Expert 1,35.0,61.0
Human,Human_A2_034_1,A2,application,Expert 1,34.0,61.0
Human,Human_A2_035_1,A2,application,Expert 1,35.0,67.0
Human,Human_A2_036_1,A2,application,Expert 1,34.0,64.0
Human,Human_A2_037_1,A2,application,Expert 1,34.0,68.0
Human,Human_A2_038_1,A2,application,Expert 1,35.0,64.0
Human,Human_A3/A4_001_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_002_1,A3/A4,analysis,Expert 1,34.0,68.0
Human,Human_A3/A4_003_1,A3/A4,analysis,Expert 1,34.0,68.0
Human,Human_A3/A4_004_1,A3/A4,analysis,Expert 1,33.0,68.0
Human,Human_A3/A4_005_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_006_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_007_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_008_1,A3/A4,analysis,Expert 1,35.0,67.0
Human,Human_A3/A4_009_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_010_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_011_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_012_1,A3/A4,analysis,Expert 1,35.0,69.0
Human,Human_A3/A4_013_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_014_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_B_007_1,B,comprehension,Expert 1,34.0,65.0
Human,Human_B_008_1,B,comprehension,Expert 1,35.0,65.0
Human,Human_B_009_1,B,comprehension,Expert 1,35.0,65.0
Human,Human_X_002_1,X,comprehension,Expert 1,35.0,65.0
Human,Human_X_003_1,X,comprehension,Expert 1,35.0,65.0
Human,Human_X_004_1,X,comprehension,Expert 1,35.0,67.0
Human,Human_X_005_1,X,comprehension,Expert 1,35.0,63.0
Human,Human_X_006_1,X,comprehension,Expert 1,35.0,59.0
Human,Human_X_007_1,X,comprehension,Expert 1,35.0,63.0
Human,Human_X_008_1,X,comprehension,Expert 1,35.0,62.0
Human,Human_X_012_1,X,comprehension,Expert 1,35.0,66.0
Human,Human_A1_018_1,A1,recall,Expert 1,35.0,64.0
Human,Human_A1_019_1,A1,recall,Expert 1,34.0,60.0
Human,Human_A1_020_1,A1,recall,Expert 1,34.0,61.0
Human,Human_A2_044_1,A2,application,Expert 1,35.0,63.0
Human,Human_A2_045_1,A2,application,Expert 1,35.0,67.0
Human,Human_A2_046_1,A2,application,Expert 1,35.0,63.0
Human,Human_A2_047_1,A2,application,Expert 1,35.0,67.0
Human,Human_A2_048_1,A2,application,Expert 1,35.0,63.0
Human,Human_A2_049_1,A2,application,Expert 1,35.0,67.0
Human,Human_A2_050_1,A2,application,Expert 1,35.0,63.0
Human,Human_A3/A4_033_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_034_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_A3/A4_035_1,A3/A4,analysis,Expert 1,35.0,69.0
Human,Human_A3/A4_036_1,A3/A4,analysis,Expert 1,35.0,68.0
Human,Human_B_010_1,B,comprehension,Expert 1,34.0,65.0
Human,Human_B_011_1,B,comprehension,Expert 1,35.0,65.0
Human,Human_B_012_1,B,comprehension,Expert 1,35.0,65.0
Human,Human_X_020_1,X,comprehension,Expert 1,35.0,65.0
Human,Human_X_021_1,X,comprehension,Expert 1,35.0,65.0
Human,Human_X_022_1,X,comprehension,Expert 1,35.0,67.0
MAS,MAS_A1_001_1,A1,recall,Expert 1,35.0,63.0
MAS,MAS_A1_002_1,A1,recall,Expert 1,35.0,57.0
MAS,MAS_A1_006_1,A1,recall,Expert 1,35.0,62.0
MAS,MAS_A1_007_1,A1,recall,Expert 1,35.0,60.0
MAS,MAS_A1_011_1,A1,recall,Expert 1,35.0,58.0
MAS,MAS_A1_012_1,A1,recall,Expert 1,35.0,62.0
MAS,MAS_A1_013_1,A1,recall,Expert 1,35.0,62.0
MAS,MAS_A2_003_1,A2,application,Expert 1,35.0,67.0
MAS,MAS_A2_004_1,A2,application,Expert 1,35.0,67.0
MAS,MAS_A2_005_1,A2,application,Expert 1,35.0,70.0
MAS,MAS_A2_008_1,A2,application,Expert 1,35.0,68.0
MAS,MAS_A2_009_1,A2,application,Expert 1,35.0,69.0
MAS,MAS_A2_010_1,A2,application,Expert 1,35.0,67.0
MAS,MAS_A2_011_1,A2,application,Expert 1,35.0,69.0
MAS,MAS_A2_012_1,A2,application,Expert 1,35.0,66.0
MAS,MAS_A2_013_1,A2,application,Expert 1,35.0,68.0
MAS,MAS_A2_014_1,A2,application,Expert 1,34.0,68.0
MAS,MAS_A2_015_1,A2,application,Expert 1,35.0,62.0
MAS,MAS_A2_016_1,A2,application,Expert 1,35.0,62.0
MAS,MAS_A2_025_1,A2,application,Expert 1,35.0,67.0
MAS,MAS_A2_039_1,A2,application,Expert 1,35.0,60.0
MAS,MAS_A2_040_1,A2,application,Expert 1,35.0,62.0
MAS,MAS_A2_041_1,A2,application,Expert 1,35.0,64.0
MAS,MAS_A2_042_1,A2,application,Expert 1,35.0,69.0
MAS,MAS_A2_043_1,A2,application,Expert 1,35.0,63.0
MAS,MAS_A3/A4_019_1,A3/A4,analysis,Expert 1,35.0,68.0
MAS,MAS_A3/A4_020_1,A3/A4,analysis,Expert 1,35.0,68.0
MAS,MAS_A3/A4_021_1,A3/A4,analysis,Expert 1,35.0,67.0
MAS,MAS_A3/A4_022_1,A3/A4,analysis,Expert 1,33.0,67.0
MAS,MAS_A3/A4_023_1,A3/A4,analysis,Expert 1,34.0,67.0
MAS,MAS_A3/A4_024_1,A3/A4,analysis,Expert 1,34.0,68.0
MAS,MAS_A3/A4_025_1,A3/A4,analysis,Expert 1,34.0,68.0
MAS,MAS_A3/A4_026_1,A3/A4,analysis,Expert 1,34.0,68.0
MAS,MAS_A3/A4_027_1,A3/A4,analysis,Expert 1,35.0,69.0
MAS,MAS_A3/A4_028_1,A3/A4,analysis,Expert 1,35.0,69.0
MAS,MAS_A3/A4_029_1,A3/A4,analysis,Expert 1,34.0,68.0
MAS,MAS_A3/A4_030_1,A3/A4,analysis,Expert 1,34.0,64.0
MAS,MAS_A3/A4_031_1,A3/A4,analysis,Expert 1,34.0,64.0
MAS,MAS_A3/A4_032_1,A3/A4,analysis,Expert 1,34.0,64.0
MAS,MAS_B_001_1,B,comprehension,Expert 1,35.0,67.0
MAS,MAS_B_002_1,B,comprehension,Expert 1,35.0,67.0
MAS,MAS_B_003_1,B,comprehension,Expert 1,35.0,67.0
MAS,MAS_X_001_1,X,comprehension,Expert 1,35.0,60.0
MAS,MAS_X_013_1,X,comprehension,Expert 1,35.0,62.0
MAS,MAS_X_014_1,X,comprehension,Expert 1,35.0,61.0
