panel,cognitive_level,source_true,n_students,mean_correct_rate,ci_low,ci_high,comparison_method,mas_ks_normality_p,human_ks_normality_p,p_value,significance_label
Overall,recall,Human,50,0.7428571428571429,0.6857142857142855,0.8028571428571426,Mann-Whitney U test,0.03180558680900525,0.11707763799818616,0.3126888966048078,n.s.
Overall,recall,MAS,50,0.7085714285714285,0.66,0.7571428571428571,Mann-Whitney U test,0.03180558680900525,0.11707763799818616,0.3126888966048078,n.s.
Overall,comprehension,Human,50,0.6866666666666665,0.5933333333333333,0.7733333333333333,Mann-Whitney U test,0.0007102711089982394,0.0021019383337615993,0.06930890278446701,n.s.
Overall,comprehension,MAS,50,0.58,0.5,0.6533333333333333,Mann-Whitney U test,0.0007102711089982394,0.0021019383337615993,0.06930890278446701,n.s.
Overall,application,Human,50,0.668888888888889,0.6244444444444445,0.71,Independent-samples Welch t-test,0.4054027898183875,0.2679210138401441,0.971482334935176,n.s.
Overall,application,MAS,50,0.6677777777777778,0.6244444444444445,0.7111111111111111,Independent-samples Welch t-test,0.4054027898183875,0.2679210138401441,0.971482334935176,n.s.
Overall,analysis,Human,50,0.5290909090909091,0.4881818181818182,0.5681818181818181,Independent-samples Welch t-test,0.8888875116899874,0.43533764724656876,0.829989643040927,n.s.
Overall,analysis,MAS,50,0.5227272727272728,0.48090909090909084,0.5645454545454545,Independent-samples Welch t-test,0.8888875116899874,0.43533764724656876,0.829989643040927,n.s.
Main campus,recall,Human,32,0.7142857142857143,0.6383928571428572,0.7901785714285714,Independent-samples Welch t-test,0.10423719395861764,0.6331469942067196,0.39857185393195815,n.s.
Main campus,recall,MAS,32,0.6741071428571428,0.6204241071428573,0.7276785714285714,Independent-samples Welch t-test,0.10423719395861764,0.6331469942067196,0.39857185393195815,n.s.
Main campus,comprehension,Human,32,0.6770833333333333,0.5625,0.78125,Mann-Whitney U test,0.0013189464506088155,0.02389783100242382,0.08649910611840035,n.s.
Main campus,comprehension,MAS,32,0.5416666666666666,0.4375,0.6354166666666666,Mann-Whitney U test,0.0013189464506088155,0.02389783100242382,0.08649910611840035,n.s.
Main campus,application,Human,32,0.6684027777777777,0.623263888888889,0.7083333333333333,Independent-samples Welch t-test,0.7168935131728096,0.3154983844850926,0.5940123284756647,n.s.
Main campus,application,MAS,32,0.6510416666666666,0.6059027777777778,0.6979166666666666,Independent-samples Welch t-test,0.7168935131728096,0.3154983844850926,0.5940123284756647,n.s.
Main campus,analysis,Human,32,0.5411931818181819,0.49002130681818185,0.5894886363636364,Independent-samples Welch t-test,0.6287126987088119,0.6815505682416169,0.1596464460747123,n.s.
Main campus,analysis,MAS,32,0.4914772727272727,0.4488281250000001,0.5369318181818181,Independent-samples Welch t-test,0.6287126987088119,0.6815505682416169,0.1596464460747123,n.s.
Non-main campus,recall,Human,18,0.7936507936507937,0.6984126984126984,0.8809523809523809,Independent-samples Welch t-test,0.0919968461511077,0.23907582715070264,0.7233577537998733,n.s.
Non-main campus,recall,MAS,18,0.7698412698412698,0.6746031746031746,0.8571428571428572,Independent-samples Welch t-test,0.0919968461511077,0.23907582715070264,0.7233577537998733,n.s.
Non-main campus,comprehension,Human,18,0.7037037037037037,0.537037037037037,0.8518518518518517,Independent-samples Welch t-test,0.3938900956195077,0.1704211187240956,0.6136005669688815,n.s.
Non-main campus,comprehension,MAS,18,0.6481481481481481,0.5,0.7777777777777778,Independent-samples Welch t-test,0.3938900956195077,0.1704211187240956,0.6136005669688815,n.s.
Non-main campus,application,Human,18,0.6697530864197531,0.5833333333333334,0.7530864197530865,Independent-samples Welch t-test,0.5967264905274794,0.32713558255761954,0.6712732194568269,n.s.
Non-main campus,application,MAS,18,0.6975308641975309,0.6080246913580247,0.7870370370370371,Independent-samples Welch t-test,0.5967264905274794,0.32713558255761954,0.6712732194568269,n.s.
Non-main campus,analysis,Human,18,0.5075757575757575,0.44696969696969696,0.5656565656565655,Independent-samples Welch t-test,0.8384060206627867,0.92166963215955,0.18428969533707074,n.s.
Non-main campus,analysis,MAS,18,0.5782828282828283,0.5,0.6540404040404041,Independent-samples Welch t-test,0.8384060206627867,0.92166963215955,0.18428969533707074,n.s.
