index,student_id,training_setting,source_true,blueprint_cognitive_level,n_items,correct_rate
0,S001,main,Human,analysis,22,0.5909090909090909
1,S001,main,Human,application,18,0.7222222222222222
2,S001,main,Human,comprehension,3,1.0
3,S001,main,Human,recall,7,0.7142857142857143
4,S001,main,MAS,analysis,22,0.5
5,S001,main,MAS,application,18,0.7777777777777778
6,S001,main,MAS,comprehension,3,1.0
7,S001,main,MAS,recall,7,0.7142857142857143
8,S002,main,Human,analysis,22,0.45454545454545453
9,S002,main,Human,application,18,0.5555555555555556
10,S002,main,Human,comprehension,3,1.0
11,S002,main,Human,recall,7,0.5714285714285714
12,S002,main,MAS,analysis,22,0.5454545454545454
13,S002,main,MAS,application,18,0.5
14,S002,main,MAS,comprehension,3,0.0
15,S002,main,MAS,recall,7,0.7142857142857143
16,S003,main,Human,analysis,22,0.4090909090909091
17,S003,main,Human,application,18,0.5
18,S003,main,Human,comprehension,3,1.0
19,S003,main,Human,recall,7,0.5714285714285714
20,S003,main,MAS,analysis,22,0.4090909090909091
21,S003,main,MAS,application,18,0.3333333333333333
22,S003,main,MAS,comprehension,3,0.0
23,S003,main,MAS,recall,7,0.5714285714285714
24,S004,main,Human,analysis,22,0.45454545454545453
25,S004,main,Human,application,18,0.4444444444444444
26,S004,main,Human,comprehension,3,0.3333333333333333
27,S004,main,Human,recall,7,0.2857142857142857
28,S004,main,MAS,analysis,22,0.3181818181818182
29,S004,main,MAS,application,18,0.5555555555555556
30,S004,main,MAS,comprehension,3,0.6666666666666666
31,S004,main,MAS,recall,7,0.5714285714285714
32,S005,main,Human,analysis,22,0.6363636363636364
33,S005,main,Human,application,18,0.6111111111111112
34,S005,main,Human,comprehension,3,1.0
35,S005,main,Human,recall,7,0.5714285714285714
36,S005,main,MAS,analysis,22,0.5454545454545454
37,S005,main,MAS,application,18,0.6111111111111112
38,S005,main,MAS,comprehension,3,0.3333333333333333
39,S005,main,MAS,recall,7,0.5714285714285714
40,S006,main,Human,analysis,22,0.45454545454545453
41,S006,main,Human,application,18,0.5555555555555556
42,S006,main,Human,comprehension,3,0.6666666666666666
43,S006,main,Human,recall,7,0.7142857142857143
44,S006,main,MAS,analysis,22,0.5909090909090909
45,S006,main,MAS,application,18,0.5555555555555556
46,S006,main,MAS,comprehension,3,0.6666666666666666
47,S006,main,MAS,recall,7,0.7142857142857143
48,S007,main,Human,analysis,22,0.5
