item_id,source_true,n_responses,difficulty,discrimination,item_type,blueprint_cognitive_level,item_type_group,cognitive_level,cognitive_level_label
H001,Human,50,0.08,-0.0487722666143505,A2,application,A2/A3/A4,application,Application
H002,Human,50,0.68,0.457801413564842,A2,application,A2/A3/A4,application,Application
H003,Human,50,0.78,0.0853108490055338,A1,recall,A1/B,recall,Knowledge
H004,Human,50,0.78,0.0999097609494547,A1,recall,A1/B,recall,Knowledge
H005,Human,50,0.86,0.3646563454888291,A1,recall,A1/B,recall,Knowledge
H006,Human,50,0.9,0.4697043353910238,A2,application,A2/A3/A4,application,Application
H007,Human,50,0.86,0.169900049798799,A2,application,A2/A3/A4,application,Application
H008,Human,50,0.98,0.407599486705948,A1,recall,A1/B,recall,Knowledge
H009,Human,50,0.92,0.1559530385627158,A2,application,A2/A3/A4,application,Application
H010,Human,50,0.48,0.1084285640867834,A2,application,A2/A3/A4,application,Application
H011,Human,50,0.92,0.2566840266064395,A2,application,A2/A3/A4,application,Application
H012,Human,50,0.88,0.521922161498262,A2,application,A2/A3/A4,application,Application
H013,Human,50,0.84,0.432308400433376,A2,application,A2/A3/A4,application,Application
H014,Human,50,0.38,0.2789790917361898,A2,application,A2/A3/A4,application,Application
H015,Human,50,0.86,0.3022578384983565,A2,application,A2/A3/A4,application,Application
H016,Human,50,0.46,0.2318416139063166,A1,recall,A1/B,recall,Knowledge
H017,Human,50,0.66,0.4683783989562363,A1,recall,A1/B,recall,Knowledge
H018,Human,50,0.62,0.3481401258242346,A2,application,A2/A3/A4,application,Application
H019,Human,50,0.72,0.2236388942581261,A2,application,A2/A3/A4,application,Application
H020,Human,50,0.68,0.3492363705962201,A1,recall,A1/B,recall,Knowledge
H021,Human,50,0.3,0.3708365373949073,A2,application,A2/A3/A4,application,Application
H022,Human,50,0.74,0.338720784529023,A2,application,A2/A3/A4,application,Application
H023,Human,50,0.82,0.4393891851329392,A2,application,A2/A3/A4,application,Application
H024,Human,50,0.5,0.2189714587783475,A2,application,A2/A3/A4,application,Application
H025,Human,50,0.54,0.0615106852968844,A2,application,A2/A3/A4,application,Application
H026,Human,50,0.86,0.3915237349527548,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H027,Human,50,0.46,0.3383448751190099,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H028,Human,50,0.4,0.143163406710265,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H029,Human,50,0.28,0.2351787088769844,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H030,Human,50,0.22,-0.0282377320417462,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H031,Human,50,0.72,0.33428088055713,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H032,Human,50,0.92,0.5064539938559951,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H033,Human,50,0.86,0.5270071436707404,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H034,Human,50,0.42,0.4517187579772645,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H035,Human,50,0.66,0.3678451905675696,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H036,Human,50,0.76,0.3081239476596333,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H037,Human,50,0.84,0.1794346257788708,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H038,Human,50,0.86,0.4184669115571948,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H039,Human,50,0.88,0.4065058626190125,A3/A4,analysis,A2/A3/A4,analysis,Analysis
H040,Human,50,0.62,0.1752700868981236,B,comprehension,A1/B,comprehension,Comprehension
H041,Human,50,0.7,0.5179370463533134,B,comprehension,A1/B,comprehension,Comprehension
H042,Human,50,0.74,0.4319571674761451,B,comprehension,A1/B,comprehension,Comprehension
H043,Human,50,0.6,0.2855890016784632,X,analysis,X,analysis,Analysis
H044,Human,50,0.1,-0.3063650727107836,X,analysis,X,analysis,Analysis
H045,Human,50,0.12,0.1956156105732791,X,analysis,X,analysis,Analysis
H046,Human,50,0.14,0.2388510959685064,X,analysis,X,analysis,Analysis
H047,Human,50,0.48,0.318661234640848,X,analysis,X,analysis,Analysis
H048,Human,50,0.68,0.0267213458908784,X,analysis,X,analysis,Analysis
H049,Human,50,0.3,0.1476660471902201,X,analysis,X,analysis,Analysis
H050,Human,50,0.08,0.0945769543431236,X,analysis,X,analysis,Analysis
M001,MAS,50,0.62,0.3521328437180261,A1,recall,A1/B,recall,Knowledge
M002,MAS,50,0.94,-0.0405821656030869,A1,recall,A1/B,recall,Knowledge
M003,MAS,50,0.88,0.1615465506450877,A2,application,A2/A3/A4,application,Application
M004,MAS,50,0.58,0.3400636656242173,A2,application,A2/A3/A4,application,Application
M005,MAS,50,0.96,-0.0230479541424303,A2,application,A2/A3/A4,application,Application
M006,MAS,50,0.56,-0.0275701598046496,A1,recall,A1/B,recall,Knowledge
M007,MAS,50,0.92,0.2296463028033603,A1,recall,A1/B,recall,Knowledge
M008,MAS,50,0.84,0.2283956359139239,A2,application,A2/A3/A4,application,Application
M009,MAS,50,0.52,0.5017305150829321,A2,application,A2/A3/A4,application,Application
