item_id,n_responses,difficulty,upper_27_correct_rate,lower_27_correct_rate,discrimination_upper_minus_lower,upper_group_n,lower_group_n,source_true,blueprint_cognitive_level,item_type,item_type_group
H001,50,0.08,0.0,0.0,0.0,14,14,Human,application,A2,A2/A3/A4
H002,50,0.68,0.7857142857142857,0.5,0.2857142857142857,14,14,Human,application,A2,A2/A3/A4
H003,50,0.78,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,recall,A1,A1/B
H004,50,0.78,1.0,0.7857142857142857,0.2142857142857143,14,14,Human,recall,A1,A1/B
H005,50,0.86,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,recall,A1,A1/B
H006,50,0.9,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,application,A2,A2/A3/A4
H007,50,0.86,1.0,0.7857142857142857,0.2142857142857143,14,14,Human,application,A2,A2/A3/A4
H008,50,0.98,1.0,0.9285714285714286,0.0714285714285714,14,14,Human,recall,A1,A1/B
H009,50,0.92,1.0,0.8571428571428571,0.1428571428571429,14,14,Human,application,A2,A2/A3/A4
H010,50,0.48,0.6428571428571429,0.35714285714285715,0.28571428571428575,14,14,Human,application,A2,A2/A3/A4
H011,50,0.92,1.0,0.8571428571428571,0.1428571428571429,14,14,Human,application,A2,A2/A3/A4
H012,50,0.88,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,application,A2,A2/A3/A4
H013,50,0.84,0.9285714285714286,0.6428571428571429,0.2857142857142857,14,14,Human,application,A2,A2/A3/A4
H014,50,0.38,0.7142857142857143,0.21428571428571427,0.5,14,14,Human,application,A2,A2/A3/A4
H015,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,application,A2,A2/A3/A4
H016,50,0.46,0.7857142857142857,0.21428571428571427,0.5714285714285714,14,14,Human,recall,A1,A1/B
H017,50,0.66,1.0,0.35714285714285715,0.6428571428571428,14,14,Human,recall,A1,A1/B
H018,50,0.62,0.9285714285714286,0.5,0.4285714285714286,14,14,Human,application,A2,A2/A3/A4
H019,50,0.72,0.7857142857142857,0.6428571428571429,0.1428571428571428,14,14,Human,application,A2,A2/A3/A4
H020,50,0.68,1.0,0.42857142857142855,0.5714285714285714,14,14,Human,recall,A1,A1/B
H021,50,0.3,0.6428571428571429,0.0,0.6428571428571429,14,14,Human,application,A2,A2/A3/A4
