expert,rater_id,source_true,item_key,item_no,item_type,cognitive_level,guessed_mas,correct_source_guess,quality_score,quality_score_5,qgeval_total,qgeval_score_5,ulm_total,ulm_score_5
Expert 1,Expert 1,Human,Human_A1_003_1,3,A1,recall,0,1,4.304347826086956,4.467391304347826,35.0,5.0,64.0,4.234375
Expert 1,Expert 1,Human,Human_A1_004_1,4,A1,recall,0,1,3.782608695652174,3.9130434782608696,34.0,4.857142857142857,53.0,3.5
Expert 1,Expert 1,Human,Human_A1_005_1,5,A1,recall,0,1,4.043478260869565,4.173913043478261,34.0,4.857142857142857,59.0,3.875
Expert 1,Expert 1,Human,Human_A1_014_1,14,A1,recall,1,0,4.086956521739131,4.217391304347826,34.0,4.857142857142857,60.0,3.9375
Expert 1,Expert 1,Human,Human_A1_015_1,15,A1,recall,0,1,4.130434782608695,4.260869565217392,34.0,4.857142857142857,61.0,4.0
Expert 1,Expert 1,Human,Human_A1_016_1,16,A1,recall,0,1,4.0,4.130434782608695,34.0,4.857142857142857,58.0,3.8125
Expert 1,Expert 1,Human,Human_A1_017_1,17,A1,recall,0,1,4.043478260869565,4.173913043478261,35.0,5.0,58.0,3.8125
Expert 1,Expert 1,Human,Human_A2_001_1,1,A2,application,1,0,3.5652173913043477,3.7282608695652173,25.0,3.5714285714285716,57.0,3.796875
Expert 1,Expert 1,Human,Human_A2_002_1,2,A2,application,1,0,4.217391304347826,4.358695652173913,35.0,5.0,62.0,4.078125
Expert 1,Expert 1,Human,Human_A2_006_1,6,A2,application,0,1,4.173913043478261,4.304347826086956,35.0,5.0,61.0,4.0
Expert 1,Expert 1,Human,Human_A2_007_1,7,A2,application,0,1,4.217391304347826,4.358695652173913,35.0,5.0,62.0,4.078125
Expert 1,Expert 1,Human,Human_A2_017_1,17,A2,application,0,1,4.0,4.141304347826087,32.0,4.571428571428571,60.0,3.953125
Expert 1,Expert 1,Human,Human_A2_026_1,26,A2,application,1,0,4.0,4.141304347826087,31.0,4.428571428571429,61.0,4.015625
Expert 1,Expert 1,Human,Human_A2_027_1,27,A2,application,0,1,4.173913043478261,4.315217391304348,35.0,5.0,61.0,4.015625
Expert 1,Expert 1,Human,Human_A2_028_1,28,A2,application,0,1,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_A2_029_1,29,A2,application,0,1,4.217391304347826,4.358695652173913,35.0,5.0,62.0,4.078125
Expert 1,Expert 1,Human,Human_A2_030_1,30,A2,application,1,0,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_A2_031_1,31,A2,application,1,0,4.173913043478261,4.315217391304348,35.0,5.0,61.0,4.015625
Expert 1,Expert 1,Human,Human_A2_032_1,32,A2,application,0,1,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_A2_033_1,33,A2,application,0,1,4.173913043478261,4.315217391304348,35.0,5.0,61.0,4.015625
Expert 1,Expert 1,Human,Human_A2_034_1,34,A2,application,1,0,4.130434782608695,4.271739130434782,34.0,4.857142857142857,61.0,4.015625
Expert 1,Expert 1,Human,Human_A2_035_1,35,A2,application,1,0,4.434782608695652,4.576086956521739,35.0,5.0,67.0,4.390625
Expert 1,Expert 1,Human,Human_A2_036_1,36,A2,application,1,0,4.260869565217392,4.4021739130434785,34.0,4.857142857142857,64.0,4.203125
Expert 1,Expert 1,Human,Human_A2_037_1,37,A2,application,1,0,4.434782608695652,4.586956521739131,34.0,4.857142857142857,68.0,4.46875
Expert 1,Expert 1,Human,Human_A2_038_1,38,A2,application,0,1,4.304347826086956,4.445652173913044,35.0,5.0,64.0,4.203125
Expert 1,Expert 1,Human,Human_A3/A4_001_1,1,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_002_1,2,A3/A4,analysis,1,0,4.434782608695652,4.586956521739131,34.0,4.857142857142857,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_003_1,3,A3/A4,analysis,0,1,4.434782608695652,4.586956521739131,34.0,4.857142857142857,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_004_1,4,A3/A4,analysis,0,1,4.391304347826087,4.543478260869565,33.0,4.714285714285714,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_005_1,5,A3/A4,analysis,0,1,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_006_1,6,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_007_1,7,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_008_1,8,A3/A4,analysis,0,1,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_A3/A4_009_1,9,A3/A4,analysis,0,1,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_010_1,10,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_011_1,11,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_012_1,12,A3/A4,analysis,1,0,4.521739130434782,4.673913043478261,35.0,5.0,69.0,4.53125
Expert 1,Expert 1,Human,Human_A3/A4_013_1,13,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_014_1,14,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_B_007_1,7,B,comprehension,0,1,4.304347826086956,4.434782608695652,34.0,4.857142857142857,65.0,4.25
Expert 1,Expert 1,Human,Human_B_008_1,8,B,comprehension,0,1,4.3478260869565215,4.478260869565218,35.0,5.0,65.0,4.25
Expert 1,Expert 1,Human,Human_B_009_1,9,B,comprehension,0,1,4.3478260869565215,4.478260869565218,35.0,5.0,65.0,4.25
Expert 1,Expert 1,Human,Human_X_002_1,2,X,comprehension,0,1,4.3478260869565215,4.489130434782608,35.0,5.0,65.0,4.265625
Expert 1,Expert 1,Human,Human_X_003_1,3,X,comprehension,0,1,4.3478260869565215,4.489130434782608,35.0,5.0,65.0,4.265625
Expert 1,Expert 1,Human,Human_X_004_1,4,X,comprehension,1,0,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_X_005_1,5,X,comprehension,0,1,4.260869565217392,4.4021739130434785,35.0,5.0,63.0,4.140625
Expert 1,Expert 1,Human,Human_X_006_1,6,X,comprehension,1,0,4.086956521739131,4.217391304347826,35.0,5.0,59.0,3.875
Expert 1,Expert 1,Human,Human_X_007_1,7,X,comprehension,1,0,4.260869565217392,4.4021739130434785,35.0,5.0,63.0,4.140625
Expert 1,Expert 1,Human,Human_X_008_1,8,X,comprehension,0,1,4.217391304347826,4.3478260869565215,35.0,5.0,62.0,4.0625
Expert 1,Expert 1,Human,Human_X_012_1,12,X,comprehension,0,1,4.391304347826087,4.532608695652174,35.0,5.0,66.0,4.328125
Expert 1,Expert 1,Human,Human_A1_018_1,18,A1,recall,0,1,4.304347826086956,4.467391304347826,35.0,5.0,64.0,4.234375
Expert 1,Expert 1,Human,Human_A1_019_1,19,A1,recall,1,0,4.086956521739131,4.217391304347826,34.0,4.857142857142857,60.0,3.9375
Expert 1,Expert 1,Human,Human_A1_020_1,20,A1,recall,1,0,4.130434782608695,4.260869565217392,34.0,4.857142857142857,61.0,4.0
Expert 1,Expert 1,Human,Human_A2_044_1,44,A2,application,1,0,4.260869565217392,4.413043478260869,35.0,5.0,63.0,4.15625
Expert 1,Expert 1,Human,Human_A2_045_1,45,A2,application,0,1,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_A2_046_1,46,A2,application,0,1,4.260869565217392,4.413043478260869,35.0,5.0,63.0,4.15625
Expert 1,Expert 1,Human,Human_A2_047_1,47,A2,application,1,0,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_A2_048_1,48,A2,application,1,0,4.260869565217392,4.413043478260869,35.0,5.0,63.0,4.15625
Expert 1,Expert 1,Human,Human_A2_049_1,49,A2,application,0,1,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,Human,Human_A2_050_1,50,A2,application,0,1,4.260869565217392,4.413043478260869,35.0,5.0,63.0,4.15625
Expert 1,Expert 1,Human,Human_A3/A4_033_1,33,A3/A4,analysis,0,1,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_034_1,34,A3/A4,analysis,0,1,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_A3/A4_035_1,35,A3/A4,analysis,1,0,4.521739130434782,4.673913043478261,35.0,5.0,69.0,4.53125
Expert 1,Expert 1,Human,Human_A3/A4_036_1,36,A3/A4,analysis,1,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,Human,Human_B_010_1,10,B,comprehension,0,1,4.304347826086956,4.445652173913044,34.0,4.857142857142857,65.0,4.265625
Expert 1,Expert 1,Human,Human_B_011_1,11,B,comprehension,0,1,4.3478260869565215,4.489130434782608,35.0,5.0,65.0,4.265625
Expert 1,Expert 1,Human,Human_B_012_1,12,B,comprehension,0,1,4.3478260869565215,4.489130434782608,35.0,5.0,65.0,4.265625
Expert 1,Expert 1,Human,Human_X_020_1,20,X,comprehension,0,1,4.3478260869565215,4.489130434782608,35.0,5.0,65.0,4.265625
Expert 1,Expert 1,Human,Human_X_021_1,21,X,comprehension,0,1,4.3478260869565215,4.489130434782608,35.0,5.0,65.0,4.265625
Expert 1,Expert 1,Human,Human_X_022_1,22,X,comprehension,1,0,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,MAS,MAS_A1_001_1,1,A1,recall,1,1,4.260869565217392,4.391304347826087,35.0,5.0,63.0,4.125
Expert 1,Expert 1,MAS,MAS_A1_002_1,2,A1,recall,0,0,4.0,4.130434782608695,35.0,5.0,57.0,3.75
Expert 1,Expert 1,MAS,MAS_A1_006_1,6,A1,recall,1,1,4.217391304347826,4.358695652173913,35.0,5.0,62.0,4.078125
Expert 1,Expert 1,MAS,MAS_A1_007_1,7,A1,recall,0,0,4.130434782608695,4.260869565217392,35.0,5.0,60.0,3.9375
Expert 1,Expert 1,MAS,MAS_A1_011_1,11,A1,recall,0,0,4.043478260869565,4.173913043478261,35.0,5.0,58.0,3.8125
Expert 1,Expert 1,MAS,MAS_A1_012_1,12,A1,recall,0,0,4.217391304347826,4.358695652173913,35.0,5.0,62.0,4.078125
Expert 1,Expert 1,MAS,MAS_A1_013_1,13,A1,recall,0,0,4.217391304347826,4.3478260869565215,35.0,5.0,62.0,4.0625
Expert 1,Expert 1,MAS,MAS_A2_003_1,3,A2,application,0,0,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,MAS,MAS_A2_004_1,4,A2,application,1,1,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,MAS,MAS_A2_005_1,5,A2,application,1,1,4.565217391304348,4.717391304347826,35.0,5.0,70.0,4.59375
Expert 1,Expert 1,MAS,MAS_A2_008_1,8,A2,application,0,0,4.478260869565218,4.630434782608695,35.0,5.0,68.0,4.46875
Expert 1,Expert 1,MAS,MAS_A2_009_1,9,A2,application,1,1,4.521739130434782,4.673913043478261,35.0,5.0,69.0,4.53125
Expert 1,Expert 1,MAS,MAS_A2_010_1,10,A2,application,1,1,4.434782608695652,4.5978260869565215,35.0,5.0,67.0,4.421875
Expert 1,Expert 1,MAS,MAS_A2_011_1,11,A2,application,1,1,4.521739130434782,4.684782608695652,35.0,5.0,69.0,4.546875
Expert 1,Expert 1,MAS,MAS_A2_012_1,12,A2,application,1,1,4.391304347826087,4.543478260869565,35.0,5.0,66.0,4.34375
Expert 1,Expert 1,MAS,MAS_A2_013_1,13,A2,application,0,0,4.478260869565218,4.619565217391305,35.0,5.0,68.0,4.453125
Expert 1,Expert 1,MAS,MAS_A2_014_1,14,A2,application,0,0,4.434782608695652,4.586956521739131,34.0,4.857142857142857,68.0,4.46875
Expert 1,Expert 1,MAS,MAS_A2_015_1,15,A2,application,1,1,4.217391304347826,4.358695652173913,35.0,5.0,62.0,4.078125
Expert 1,Expert 1,MAS,MAS_A2_016_1,16,A2,application,0,0,4.217391304347826,4.358695652173913,35.0,5.0,62.0,4.078125
Expert 1,Expert 1,MAS,MAS_A2_025_1,25,A2,application,0,0,4.434782608695652,4.586956521739131,35.0,5.0,67.0,4.40625
Expert 1,Expert 1,MAS,MAS_A2_039_1,39,A2,application,1,1,4.130434782608695,4.271739130434782,35.0,5.0,60.0,3.953125
