student_id,form,training_year,campus,mas_score,human_score,mas_minus_human,total_duration_seconds,first_source,second_source,first_score,second_score,second_minus_first,total_duration_minutes
1,A,1,A,66.0,68.0,-2.0,1022.0,Human,MAS,68.0,66.0,-2.0,17.033333333333335
2,A,2,A,52.0,54.0,-2.0,2209.0,Human,MAS,54.0,52.0,-2.0,36.81666666666667
3,A,2,A,38.0,50.0,-12.0,2513.0,Human,MAS,50.0,38.0,-12.0,41.88333333333333
4,A,1,A,46.0,42.0,4.0,1748.0,Human,MAS,42.0,46.0,4.0,29.133333333333333
5,A,1,A,56.0,64.0,-8.0,1836.0,Human,MAS,64.0,56.0,-8.0,30.6
6,A,1,A,60.0,54.0,6.0,2566.0,Human,MAS,54.0,60.0,6.0,42.766666666666666
7,A,2,A,52.0,60.0,-8.0,2053.0,Human,MAS,60.0,52.0,-8.0,34.21666666666667
8,A,3,A,62.0,68.0,-6.0,2742.0,Human,MAS,68.0,62.0,-6.0,45.7
9,A,3,A,56.0,74.0,-18.0,2145.0,Human,MAS,74.0,56.0,-18.0,35.75
10,A,2,A,68.0,64.0,4.0,2473.0,Human,MAS,64.0,68.0,4.0,41.21666666666667
11,A,1,A,48.0,54.0,-6.0,4045.0,Human,MAS,54.0,48.0,-6.0,67.41666666666667
12,A,2,A,68.0,70.0,-2.0,1154.0,Human,MAS,70.0,68.0,-2.0,19.233333333333334
13,A,1,B,52.0,68.0,-16.0,3658.0,Human,MAS,68.0,52.0,-16.0,60.96666666666667
14,A,2,A,72.0,76.0,-4.0,1288.0,Human,MAS,76.0,72.0,-4.0,21.466666666666665
15,A,1,B,58.0,54.0,4.0,1159.0,Human,MAS,54.0,58.0,4.0,19.316666666666666
16,A,1,B,52.0,58.0,-6.0,2200.0,Human,MAS,58.0,52.0,-6.0,36.666666666666664
17,A,2,B,34.0,50.0,-16.0,1708.0,Human,MAS,50.0,34.0,-16.0,28.466666666666665
18,A,1,B,58.0,58.0,0.0,1873.0,Human,MAS,58.0,58.0,0.0,31.216666666666665
19,A,3,B,54.0,60.0,-6.0,1798.0,Human,MAS,60.0,54.0,-6.0,29.966666666666665
20,A,3,B,64.0,68.0,-4.0,2427.0,Human,MAS,68.0,64.0,-4.0,40.45
21,A,3,A,54.0,56.0,-2.0,4606.0,Human,MAS,56.0,54.0,-2.0,76.76666666666667
22,A,2,A,42.0,44.0,-2.0,1118.0,Human,MAS,44.0,42.0,-2.0,18.633333333333333
23,A,2,B,88.0,74.0,14.0,2368.0,Human,MAS,74.0,88.0,14.0,39.46666666666667
24,A,2,B,88.0,70.0,18.0,2345.0,Human,MAS,70.0,88.0,18.0,39.083333333333336
25,A,3,B,84.0,70.0,14.0,2005.0,Human,MAS,70.0,84.0,14.0,33.416666666666664
26,B,1,A,62.0,72.0,-10.0,2263.0,MAS,Human,62.0,72.0,10.0,37.71666666666667
27,B,3,A,64.0,64.0,0.0,5400.0,MAS,Human,64.0,64.0,0.0,90.0
28,B,3,A,80.0,82.0,-2.0,2551.0,MAS,Human,80.0,82.0,2.0,42.516666666666666
29,B,2,B,86.0,80.0,6.0,1989.0,MAS,Human,86.0,80.0,-6.0,33.15
30,B,2,B,68.0,60.0,8.0,3480.0,MAS,Human,68.0,60.0,-8.0,58.0
31,B,1,B,56.0,32.0,24.0,2580.0,MAS,Human,56.0,32.0,-24.0,43.0
32,B,1,B,46.0,30.0,16.0,2201.0,MAS,Human,46.0,30.0,-16.0,36.68333333333333
33,B,1,A,66.0,72.0,-6.0,2530.0,MAS,Human,66.0,72.0,6.0,42.166666666666664
34,B,2,A,78.0,82.0,-4.0,2463.0,MAS,Human,78.0,82.0,4.0,41.05
35,B,2,B,82.0,78.0,4.0,2099.0,MAS,Human,82.0,78.0,-4.0,34.983333333333334
36,B,1,B,76.0,76.0,0.0,1369.0,MAS,Human,76.0,76.0,0.0,22.816666666666666
37,B,2,B,80.0,78.0,2.0,3191.0,MAS,Human,80.0,78.0,-2.0,53.18333333333333
38,B,2,A,52.0,56.0,-4.0,1364.0,MAS,Human,52.0,56.0,4.0,22.733333333333334
39,B,3,B,48.0,48.0,0.0,1782.0,MAS,Human,48.0,48.0,0.0,29.7
40,B,2,A,58.0,58.0,0.0,2326.0,MAS,Human,58.0,58.0,0.0,38.766666666666666
41,B,2,A,46.0,66.0,-20.0,2697.0,MAS,Human,46.0,66.0,20.0,44.95
42,B,2,A,50.0,58.0,-8.0,1331.0,MAS,Human,50.0,58.0,8.0,22.183333333333334
43,B,3,A,46.0,22.0,24.0,1168.0,MAS,Human,46.0,22.0,-24.0,19.466666666666665
44,B,1,A,62.0,64.0,-2.0,2023.0,MAS,Human,62.0,64.0,2.0,33.71666666666667
45,B,1,A,54.0,56.0,-2.0,710.0,MAS,Human,54.0,56.0,2.0,11.833333333333334
46,B,2,A,50.0,60.0,-10.0,2111.0,MAS,Human,50.0,60.0,10.0,35.18333333333333
47,B,1,A,66.0,82.0,-16.0,2380.0,MAS,Human,66.0,82.0,16.0,39.666666666666664
48,B,1,A,68.0,82.0,-14.0,3378.0,MAS,Human,68.0,82.0,14.0,56.3
49,B,1,A,50.0,54.0,-4.0,1623.0,MAS,Human,50.0,54.0,4.0,27.05
50,B,3,A,56.0,54.0,2.0,1032.0,MAS,Human,56.0,54.0,-2.0,17.2
