answer_key,answer_key_from_report,blueprint_cognitive_level,char_count,cognitive_level,difficulty,discrimination,flesch_reading_ease,fuzzywuzzy_ratio_max,has_vignette,header_item_type,item_id,item_type,llm_score_5_mean,llm_score_5_sd,llm_侧重性_mean,llm_公平性_mean,llm_反馈性_mean,llm_可解性_mean,llm_完整性_mean,llm_思维性_mean,llm_排他性_mean,llm_明确性_mean,llm_正确性_mean,llm_流畅性_mean,llm_目标性_mean,llm_答案解析专门评分_mean,llm_绝对性_mean,llm_综合性_mean,llm_迷惑性_mean,llm_防猜性_mean,machine_proxy_answer_validity_mean,machine_proxy_blueprint_relevance_mean,machine_proxy_cognitive_feedback_mean,machine_proxy_item_design_mean,machine_proxy_presentation_clarity_mean,machine_proxy_quality_score_mean,machine_proxy_quality_score_sd,n_machine_runs,n_responses,ngram_jaccard_max,paper,paper_item_no,qgeval_score_5_mean,qgeval_score_5_sd,qgeval_一致性_mean,qgeval_可回答性_mean,qgeval_流畅性_mean,qgeval_清晰度_mean,qgeval_相关性_mean,qgeval_答案一致性_mean,qgeval_简洁性_mean,screen_critical_defect_proxy,screen_major_defect_proxy,sentencebert_cosine_max,source_item_id,source_true,test_point,topic,question_text
D,D,application,252,application,0.08,-0.04877226661435056,-217.17999999999998,,1,A2,H001,A2,4.25,0.05103103630798288,3.75,3.0,3.75,5.0,5.0,3.25,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.25,4.0,4.0,5.0,4.6875,3.75,4.333333333333333,4.958333333333333,4.545833333333333,0.05159493228057401,4,50,,P,1,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,1,Human,泌尿系统梗阻 - 前列腺增生的并发症与处理,Obstruction,"患者男，81岁，因排尿困难伴尿痛2月余入院。患者2月余前无明显诱因下突然出现排尿困难，尿流细，时有中断，用力仍不能顺利排尿，并伴有下腹及阴茎胀痛，头痛、冷汗，同时出现尿频尿急夜尿增多，约1小时1次，每次尿少，偶有尿失禁，无肉眼血尿。外院予坦索罗辛治疗效果不明显。膀胱镜示多发赘生物，前列腺增生凸向尿道。20年前患者曾两次因前列腺增生行手术治疗。最有可能进行以下哪项治疗？
A. 留置导尿管，改用特拉唑嗪
B. 留置尿管，联用非那雄胺
C. 留置尿管，行TURP
D. 膀胱造瘘，行TURP
E. 留置尿管，行根治性膀胱全切术"
D,D,application,110,application,0.68,0.457801413564842,35.60500000000002,,1,A2,H002,A2,3.984375,0.03125,4.0,3.0,3.0,5.0,5.0,2.0,4.75,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,4.0,5.0,4.75,2.583333333333333,4.333333333333333,4.916666666666666,4.316666666666666,0.01924500897298746,4,50,,P,2,4.964285714285714,0.07142857142857162,5.0,5.0,5.0,5.0,5.0,5.0,4.75,0,0,,2,Human,泌尿系统肿瘤 - 前列腺癌,Tumors,"患者男，68岁。因“体重进行性下降、排尿困难半年余""入院。外院查PSA 11.42ng/ml，无肉眼血尿，无腰背酸胀等不适。既往无殊。对于该患者最有可能的疾病，最常见的远处转移部位是:
A. 肺
B. 肝
C. 膀胱
D. 骨骼
E. 肾上腺"
A,A,recall,39,knowledge,0.78,0.0853108490055338,121.22000000000003,,0,A1,H003,A1,3.84375,0.03608439182435161,4.0,3.0,3.0,5.0,5.0,1.0,4.75,4.0,5.0,5.0,5.0,3.0,5.0,1.0,3.75,4.0,5.0,4.75,2.0,4.25,4.875,4.175,0.0419435246403932,4,50,,P,3,4.928571428571429,0.08247860988423247,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,,3,Human,泌尿系统梗阻 - 前列腺增生,Obstruction,"前列腺增生症最早出现的症状往往是:
A. 尿频
B. 排尿困难
C. 血尿
D. 尿痛
E. 尿急"
C,C,recall,56,knowledge,0.78,0.09990976094945471,121.22000000000003,,0,A1,H004,A1,3.71875,0.0625,4.0,3.0,2.25,5.0,5.0,1.0,4.75,4.0,5.0,5.0,5.0,2.0,5.0,1.0,3.75,3.75,4.958333333333333,4.75,1.5625,4.166666666666666,4.916666666666667,4.070833333333333,0.08093779046851897,4,50,,P,4,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,4.75,5.0,4.75,5.0,0,0,,4,Human,泌尿、男生殖系统感染 - 前列腺炎,Tumors,"不能行前列腺按摩取前列腺液检查的是
A. 前列腺癌
B. 前列腺结核
C. 急性前列腺炎
D. 前列腺增生
E. 慢性细菌性前列腺炎"
B,B,recall,46,knowledge,0.86,0.36465634548882914,121.22000000000003,,0,A1,H005,A1,3.875,0.0,4.0,3.0,3.0,5.0,5.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,1.25,4.0,3.75,5.0,4.75,2.0625,4.25,5.0,4.2125,0.008333333333333304,4,50,,P,5,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,5,Human,泌尿系统疾病的诊断 - 影像学检查,Other,"判断前列腺大小较准确的检查方法是
A. 残余尿测定
B. B超
C. 膀胱造影
D. 直肠指诊
E. 膀胱镜检查"
D,D,application,132,application,0.9,0.4697043353910238,-47.97999999999996,,1,A2,H006,A2,4.015625,0.03125,4.0,3.0,3.0,5.0,5.0,2.25,5.0,4.0,5.0,5.0,5.0,3.25,5.0,2.0,4.0,3.75,5.0,4.75,2.7291666666666665,4.25,5.0,4.345833333333333,0.024999999999999765,4,50,,P,6,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,6,Human,泌尿系统梗阻 - 前列腺增生的治疗,Obstruction,"男性，70岁，进行性排尿困难5年，加重2月，药物治疗无效。B超提示前列腺增大，残余尿量110ml，双肾无积水，最大尿流率10ml/s。目前首选的治疗方法是？
A. 耻骨后前列腺切除
B. 耻骨上经膀胱前列腺切除
C. 耻骨上膀胱造瘘
D. 经尿道前列腺电切术
E. 开放性前列腺摘除术"
C,C,application,117,application,0.86,0.16990004979879902,36.62000000000003,,1,A2,H007,A2,4.0,0.0,4.0,3.0,3.0,5.0,5.0,2.0,5.0,4.0,5.0,5.0,5.0,3.25,5.0,2.0,3.75,4.0,5.0,4.75,2.645833333333333,4.25,5.0,4.329166666666667,0.008333333333333304,4,50,,P,7,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,7,Human,泌尿系统肿瘤 - 膀胱肿瘤,Tumors,"患者，男，55岁，因“血尿1周”入院。1周来反复肉眼终末血尿，无畏寒发热，无尿频尿急尿痛。B超:膀胱左后壁见占位性病变，前列腺增生。请问在下一步检查中，意义最大的是什么？
A. 尿细胞学检查
B. 静脉尿路造影
C. 膀胱镜检查
D. CT
E. MRI"
E,E,recall,56,knowledge,0.98,0.40759948670594803,121.22000000000003,,0,A1,H008,A1,3.875,0.08838834764831845,4.0,3.0,3.0,5.0,4.5,1.25,5.0,4.0,5.0,5.0,5.0,3.25,5.0,1.0,4.0,4.0,5.0,4.75,2.145833333333333,4.166666666666666,5.0,4.2125,0.0906509381782259,4,50,,P,8,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,0,,8,Human,泌尿系统结石,Stones,"膀胱结石典型的临床表现是
A. 膀胱刺激征
B. 进行性排尿困难
C. 血尿
D. 腰痛，血尿，脓尿
E. 尿流中断，改变体位后好转"
D,D,application,73,application,0.92,0.15595303856271583,121.22000000000003,,1,A2,H009,A2,4.0,0.05103103630798288,4.0,3.0,3.0,5.0,5.0,2.0,5.0,3.75,5.0,5.0,5.0,3.0,5.0,2.25,4.0,4.0,4.958333333333333,4.75,2.645833333333333,4.333333333333333,4.902777777777778,4.3180555555555555,0.06809805928961789,4,50,,P,9,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,5.0,5.0,4.75,4.75,0,0,,9,Human,泌尿系统结石,Tumors,"男性，36岁，突发右腰部绞痛伴肉眼血尿半天，右腰部轻度压痛和叩击痛，无肌紧张，应考虑
A. 肾肿瘤
B. 肾结核
C. 急性肾盂肾炎
D. 肾输尿管结石
E. 肾积水"
B,B,application,134,application,0.48,0.1084285640867834,121.22000000000003,,1,A2,H010,A2,4.046875,0.1183105905375057,3.75,3.0,3.75,5.0,5.0,2.0,5.0,3.75,5.0,5.0,5.0,4.0,5.0,2.0,3.75,3.75,5.0,4.6875,3.020833333333333,4.166666666666666,4.861111111111111,4.347222222222221,0.11124991330278175,4,50,,P,10,4.928571428571429,0.1428571428571428,5.0,5.0,5.0,4.75,5.0,5.0,4.75,0,0,,10,Human,泌尿系统肿瘤 - 膀胱肿瘤,Tumors,"患者男，52岁。间断出现全程无痛性血尿9月余，期间血尿自行消失，故未进行任何检查及治疗，最近2周内又重新出现多次肉眼血尿，并有小血块。为明确诊断，下列哪项检查最适宜作为初步筛选检查
A. 尿红细胞位相检查
B. 尿脱落细胞学检查
C. 尿结核杆菌检查
D. 尿三杯试验
E. 尿细菌学检查"
