student_id,student_no,form,order_group,training_year,training_setting,human_score,mas_score,mas_minus_human_score,human_correct_rate,mas_correct_rate,mas_minus_human_correct_rate,total_time_seconds
S001,1,A,A,1,main,68.0,66.0,-2.0,0.68,0.66,-0.020000000000000018,1022.0
S002,2,A,A,2,main,54.0,52.0,-2.0,0.54,0.52,-0.020000000000000018,2209.0
S003,3,A,A,2,main,50.0,38.0,-12.0,0.5,0.38,-0.12,2513.0
S004,4,A,A,1,main,42.0,46.0,4.0,0.42,0.46,0.040000000000000036,1748.0
S005,5,A,A,1,main,64.0,56.0,-8.0,0.64,0.56,-0.07999999999999996,1836.0
S006,6,A,A,1,main,54.0,60.0,6.0,0.54,0.6,0.05999999999999994,2566.0
S007,7,A,A,2,main,60.0,52.0,-8.0,0.6,0.52,-0.07999999999999996,2053.0
S008,8,A,A,3,main,68.0,62.0,-6.0,0.68,0.62,-0.06000000000000005,2742.0
S009,9,A,A,3,main,74.0,56.0,-18.0,0.74,0.56,-0.17999999999999994,2145.0
S010,10,A,A,2,main,64.0,68.0,4.0,0.64,0.68,0.040000000000000036,2473.0
S011,11,A,A,1,main,54.0,48.0,-6.0,0.54,0.48,-0.06000000000000005,4045.0
S012,12,A,A,2,main,70.0,68.0,-2.0,0.7,0.68,-0.019999999999999907,1154.0
S013,13,A,A,1,non_main,68.0,52.0,-16.0,0.68,0.52,-0.16000000000000003,3658.0
S014,14,A,A,2,main,76.0,72.0,-4.0,0.76,0.72,-0.040000000000000036,1288.0
S015,15,A,A,1,non_main,54.0,58.0,4.0,0.54,0.58,0.039999999999999925,1159.0
S016,16,A,A,1,non_main,58.0,52.0,-6.0,0.58,0.52,-0.05999999999999994,2200.0
S017,17,A,A,2,non_main,50.0,34.0,-16.0,0.5,0.34,-0.15999999999999998,1708.0
S018,18,A,A,1,non_main,58.0,58.0,0.0,0.58,0.58,0.0,1873.0
S019,19,A,A,3,non_main,60.0,54.0,-6.0,0.6,0.54,-0.05999999999999994,1798.0
S020,20,A,A,3,non_main,68.0,64.0,-4.0,0.68,0.64,-0.040000000000000036,2427.0
S021,21,A,A,3,main,56.0,54.0,-2.0,0.56,0.54,-0.020000000000000018,4606.0
S022,22,A,A,2,main,44.0,42.0,-2.0,0.44,0.42,-0.020000000000000018,1118.0
S023,23,A,A,2,non_main,74.0,88.0,14.0,0.74,0.88,0.14,2368.0
S024,24,A,A,2,non_main,70.0,88.0,18.0,0.7,0.88,0.18000000000000005,2345.0
S025,25,A,A,3,non_main,70.0,84.0,14.0,0.7,0.84,0.14,2005.0
S026,26,B,B,1,main,72.0,62.0,-10.0,0.72,0.62,-0.09999999999999998,2263.0
S027,27,B,B,3,main,64.0,64.0,0.0,0.64,0.64,0.0,5400.0
S028,28,B,B,3,main,82.0,80.0,-2.0,0.82,0.8,-0.019999999999999907,2551.0
S029,29,B,B,2,non_main,80.0,86.0,6.0,0.8,0.86,0.05999999999999994,1989.0
S030,30,B,B,2,non_main,60.0,68.0,8.0,0.6,0.68,0.08000000000000007,3480.0
S031,31,B,B,1,non_main,32.0,56.0,24.0,0.32,0.56,0.24000000000000005,2580.0
S032,32,B,B,1,non_main,30.0,46.0,16.0,0.3,0.46,0.16000000000000003,2201.0
S033,33,B,B,1,main,72.0,66.0,-6.0,0.72,0.66,-0.05999999999999994,2530.0
S034,34,B,B,2,main,82.0,78.0,-4.0,0.82,0.78,-0.039999999999999925,2463.0
S035,35,B,B,2,non_main,78.0,82.0,4.0,0.78,0.82,0.039999999999999925,2099.0
S036,36,B,B,1,non_main,76.0,76.0,0.0,0.76,0.76,0.0,1369.0
S037,37,B,B,2,non_main,78.0,80.0,2.0,0.78,0.8,0.020000000000000018,3191.0
S038,38,B,B,2,main,56.0,52.0,-4.0,0.56,0.52,-0.040000000000000036,1364.0
S039,39,B,B,3,non_main,48.0,48.0,0.0,0.48,0.48,0.0,1782.0
S040,40,B,B,2,main,58.0,58.0,0.0,0.58,0.58,0.0,2326.0
S041,41,B,B,2,main,66.0,46.0,-20.0,0.66,0.46,-0.2,2697.0
S042,42,B,B,2,main,58.0,50.0,-8.0,0.58,0.5,-0.07999999999999996,1331.0
S043,43,B,B,3,main,22.0,46.0,24.0,0.22,0.46,0.24000000000000002,1168.0
S044,44,B,B,1,main,64.0,62.0,-2.0,0.64,0.62,-0.020000000000000018,2023.0
S045,45,B,B,1,main,56.0,54.0,-2.0,0.56,0.54,-0.020000000000000018,710.0
S046,46,B,B,2,main,60.0,50.0,-10.0,0.6,0.5,-0.09999999999999998,2111.0
S047,47,B,B,1,main,82.0,66.0,-16.0,0.82,0.66,-0.15999999999999992,2380.0
S048,48,B,B,1,main,82.0,68.0,-14.0,0.82,0.68,-0.1399999999999999,3378.0
S049,49,B,B,1,main,54.0,50.0,-4.0,0.54,0.5,-0.040000000000000036,1623.0
S050,50,B,B,3,main,54.0,56.0,2.0,0.54,0.56,0.020000000000000018,1032.0
