P卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,该题是否为AI题
A1,3,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64,否
,4,5,5,5,4,5,5,5,34,5,4,3,4,2,3,4,3,5,5,5,2,1,2,3,2,53,否
,5,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3,59,否
,14,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,是
,15,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,否
,16,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,2,1,2,3,3,58,否
,17,5,5,5,5,5,5,5,35,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3,58,否
A2,1,4,3,5,3,3,3,4,25,4,3,4,3,3,4,4,3,4,3,4,4,3,4,3,4,57,是
,2,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,3,1,3,3,3,62,是
,6,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,否
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,17,5,4,5,5,4,4,5,32,5,4,3,5,1,4,4,5,5,5,5,3,2,3,3,3,60,否
,26,4,5,4,5,5,5,3,31,5,5,3,3,1,4,4,5,5,5,5,3,2,4,3,4,61,是
,27,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,28,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,29,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,30,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,31,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,是
,32,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,33,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,34,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,是
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,2,4,3,4,67,是
,36,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,3,64,是
,37,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,38,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,3,64,否
"A3,4",1,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,2,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,3,5,4,5,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,4,5,4,5,5,5,5,4,33,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,6,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,3,4,3,4,67,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,10,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,11,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,12,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,是
,13,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
B,7,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
X,2,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,5,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63,否
,6,5,5,5,5,5,5,5,35,5,3,2,5,1,4,4,5,5,5,5,4,2,3,3,3,59,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63,是
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,1,3,3,3,62,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,5,3,4,66,否
,平均,4.96,4.9,4.98,4.88,4.94,4.94,4.8,34.4,4.98,4.88,3.04,4.9,2.2,4.4,3.98,4.92,4.98,4.96,4.98,3.56,2.18,3.48,3,3.62,64.06,正确率：28/50
,方差,0.197948663722157,0.364215679542342,0.141421356237309,0.385449644663773,0.313635691430002,0.313635691430002,0.451753951452626,1.57790871674104,0.141421356237309,0.435187034620795,0.282842712474619,0.416496563917521,0.782460796435952,0.534522483824849,0.141421356237309,0.395897327444315,0.141421356237309,0.282842712474619,0.141421356237309,0.674914960629584,0.800255061380624,0.614119578862991,0,0.666700679404459,3.78185787406029,A1:6/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:9/18
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:5/14
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:3/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:5/8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
