M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,是否AI
A1,18,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64,否
,19,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,是
,20,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,是
A2,44,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,是
,45,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,46,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,否
,47,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,48,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,是
,49,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,50,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,否
A3-4,33,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,34,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,是
,36,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
B,10,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,否
,11,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,否
X,20,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,21,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,22,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,,5,5,5,4.9,5,5,4.95,34.85,5,5,3.05,5,2.4,4.35,4,5,5,5,5,3.6,2.55,3.5,3,3.7,65.15,正确率：12/20
,,,,,,,,,,,,,,,,,,,,,,,,,,,A1:1/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:4/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:2/4
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:3/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:2/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
