题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分
记忆,3,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64
,4,5,5,5,4,5,5,5,34,5,4,3,4,2,3,4,3,5,5,5,2,1,2,3,2,53
,5,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3,59
,14,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60
,15,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61
,16,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,2,1,2,3,3,58
,17,5,5,5,5,5,5,5,35,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3,58
,18,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64
,19,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60
,20,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61
,,5,5,5,4.4,5,5,4.9,34.3,5,4.9,3.2,4.9,1.7,3.9,3.9,4.8,5,5,5,2.4,1.4,2.8,3,2.9,59.8
,,,,,,,,,,,,,,,,,,,,,,,,,,
理解,7,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65
,9,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65
,10,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65
,11,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65
,2,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,5,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63
,6,5,5,5,5,5,5,5,35,5,3,2,5,1,4,4,5,5,5,5,4,2,3,3,3,59
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,1,3,3,3,62
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,5,3,4,66
,20,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65
,21,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65
,22,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,,5,5,5,5,5,5,4.88235294117647,34.8823529411765,5,4.88235294117647,2.94117647058824,5,2.05882352941176,4.35294117647059,4,5,5,5,5,4,1.88235294117647,3.47058823529412,3,3.94117647058824,64.5294117647059
