M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,是否AI
A1,18,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,2,3,3,5,67,否
,19,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
,20,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
A2,44,4,5,4,5,5,5,5,33,4,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,67,否
,45,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,46,4,4,5,4,5,5,5,32,4,5,4,4,3,4,3,5,5,5,5,4,3,3,3,5,65,是
,47,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,48,4,4,4,5,5,5,5,32,4,5,4,5,3,4,3,5,5,5,5,4,3,3,3,5,66,是
,49,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,50,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
A3-4,33,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,34,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,35,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
,36,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68,否
B,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
,12,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66,否
X,20,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66,否
,21,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66,否
,22,5,5,5,5,5,5,4,34,5,5,3,5,3,4,4,5,5,5,4,5,2,3,3,5,66,否
,,4.85,4.9,4.7,4.95,5,5,4.85,34.25,4.85,5,3.85,4.95,2.75,4,3.9,5,5,5,4.85,4.15,2.55,3,3,5,66.85,正确率：18/20
,,0.366347548532523,0.307793505625546,0.470162345981627,0.223606797749979,0,0,0.366347548532523,0.966545666958261,0.366347548532523,0,0.366347548532523,0.223606797749979,0.444261658319319,0,0.307793505625546,0,0,0,0.366347548532523,0.366347548532523,0.51041778553404,0,0,0,1.03998987849326,A1:3/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:5/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:4/4
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:3/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:3/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
