题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分
A1,3,4,5,4,5,5,5,5,33,4,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,69
,4,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,5,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,14,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,15,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,16,5,3,5,5,5,5,5,33,5,3,3,5,2,4,4,5,5,5,5,3,2,3,3,4,61
,17,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,18,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,2,3,3,5,67
,19,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66
,20,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66
,,4.85714285714286,4.71428571428571,4.85714285714286,5,5,5,5,34.4285714285714,4.85714285714286,4.71428571428571,3.85714285714286,5,2.85714285714286,4.85714285714286,4.85714285714286,5,5,5,5,3.85714285714286,2,3.85714285714286,3,4.85714285714286,68.5714285714286
,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,1,3,3,2,5,5,5,5,28,3,3,3,5,5,5,3,5,5,5,5,4,4,4,3,3,65
,2,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,6,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,7,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,17,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,26,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,27,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,28,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,29,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,30,5,5,5,5,5,5,5,35,5,5,4,5,5,5,5,5,5,5,5,5,4,5,3,5,76
,31,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,32,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,33,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,34,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,35,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,36,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,37,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,38,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,44,4,5,4,5,5,5,5,33,4,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,67
,45,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,46,4,4,5,4,5,5,5,32,4,5,4,4,3,4,3,5,5,5,5,4,3,3,3,5,65
,47,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,48,4,4,4,5,5,5,5,32,4,5,4,5,3,4,3,5,5,5,5,4,3,3,3,5,66
,49,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,50,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,,4.88888888888889,4.88888888888889,4.83333333333333,5,5,5,5,34.6111111111111,4.88888888888889,4.88888888888889,3.94444444444444,5,3.44444444444444,5,4.88888888888889,5,5,5,5,4.05555555555556,2.44444444444444,4.05555555555556,3,4.88888888888889,70.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
"A3,4",1,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,2,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,3,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,4,4,3,3,5,5,5,5,30,4,3,3,5,4,4,4,5,5,5,4,3,3,3,3,4,62
,5,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,6,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,7,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,8,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,9,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,10,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,11,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,12,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,13,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,14,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,33,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,34,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,35,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,36,5,5,4,5,5,5,5,34,5,5,4,5,3,4,4,5,5,5,5,4,3,3,3,5,68
,,4.92857142857143,4.85714285714286,4.85714285714286,5,5,5,5,34.6428571428571,4.92857142857143,4.85714285714286,3.92857142857143,5,3.57142857142857,4.92857142857143,4.92857142857143,5,5,5,4.92857142857143,3.92857142857143,2.57142857142857,3.92857142857143,3,4.92857142857143,70.4285714285714
,,,,,,,,,,,,,,,,,,,,,,,,,,
B,7,5,5,5,5,5,5,5,35,5,5,4,5,3,5,5,5,5,5,5,4,2,4,3,5,70
,8,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,9,5,5,5,5,5,5,5,35,5,5,4,5,4,5,5,5,5,5,5,4,3,4,3,5,72
,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66
,12,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,5,66
