P卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
A1,3,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3,59,否
,4,4,5,5,4,5,5,5,33,5,4,3,5,1,4,4,3,5,5,5,2,1,2,3,2,54,否
,5,5,5,5,4,5,5,5,34,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3,58,否
,14,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,1,1,3,3,3,58,否
,15,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,1,1,3,3,3,58,是
,16,5,5,5,4,4,4,4,31,5,5,3,5,1,4,4,5,5,5,5,1,1,2,3,2,56,是
,17,5,5,5,4,5,5,5,34,5,5,3,5,1,3,3,5,5,5,5,2,1,3,3,3,57,是
A2,1,5,4,5,5,4,5,5,33,5,5,3,5,4,3,3,5,3,5,5,5,3,4,3,4,65,是
,2,5,5,5,5,4,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,是
,6,5,5,5,5,5,5,5,35,5,5,3,5,2,4,3,5,5,5,5,3,2,3,3,3,61,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,3,5,5,5,5,2,2,3,3,3,60,是
,17,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,26,4,5,4,5,5,5,5,33,5,5,3,5,1,4,4,5,5,5,5,3,2,4,3,4,63,是
,27,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,是
,28,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,3,4,3,4,66,是
,29,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,30,4,5,5,5,5,5,5,34,4,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,66,否
,31,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,32,4,5,5,5,5,5,5,34,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,33,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,2,2,3,3,3,60,否
,34,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,2,2,3,3,3,60,是
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,2,2,4,3,4,65,是
,36,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,3,2,3,3,3,63,否
,37,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,3,3,4,3,4,67,否
,38,5,5,5,5,5,5,5,35,5,5,2,5,1,5,4,5,5,5,5,4,2,3,3,3,62,否
"A3,4",1,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,3,4,3,4,66,否
,2,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,4,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,3,3,4,3,4,67,否
,5,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,3,3,4,3,4,65,是
,6,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,是
,7,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,是
,8,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,2,4,3,4,64,是
,9,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,2,4,3,4,64,是
,10,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,否
,11,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,否
,13,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
B,7,5,5,5,5,5,5,4,34,5,5,2,5,2,5,4,5,5,5,5,4,2,3,3,5,65,是
,8,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,2,3,3,5,65,否
,9,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,3,3,3,5,66,是
X,2,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,5,3,4,66,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,4,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,6,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,3,3,3,3,63,是
,7,5,5,5,5,5,5,5,35,5,3,3,5,1,4,4,5,5,5,5,4,3,3,3,3,61,否
,8,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,2,3,3,3,62,否
,12,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,1,3,3,3,61,否
A1,18,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否
,19,5,5,5,5,5,5,5,35,5,5,4,4,1,4,4,5,5,5,5,4,1,3,3,3,61,是
,20,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,是
A2,44,5,5,5,5,5,5,5,35,4,5,4,5,2,4,4,5,5,5,5,4,3,3,3,4,65,是
,45,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,4,3,4,66,否
,46,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,5,3,5,68,否
,47,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,4,3,4,66,是
,48,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,5,3,5,70,是
,49,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,3,64,否
,50,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,4,4,3,4,3,4,67,否
A3-4,33,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,68,否
,34,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,68,否
,35,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,68,是
,36,4,5,5,5,5,5,5,34,4,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是  
B,10,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否 
,11,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否
,12,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否  
X,20,5,5,4,5,5,5,5,34,5,5,4,5,2,4,3,5,5,5,5,4,2,3,3,3,63,否
,21,4,5,5,5,5,5,5,34,4,5,4,5,2,4,3,5,5,5,5,4,2,3,3,3,62,否
,22,5,5,5,5,5,5,5,35,5,5,4,5,2,4,3,5,5,5,5,4,2,4,3,4,65,是
,平均分,4.91428571428571,4.98571428571429,4.97142857142857,4.9,4.95714285714286,4.98571428571429,4.9,34.6142857142857,4.94285714285714,4.95714285714286,3.08571428571429,4.98571428571429,2.05714285714286,4.27142857142857,3.88571428571429,4.97142857142857,4.97142857142857,5,4.98571428571429,3.35714285714286,2.18571428571429,3.51428571428571,3,3.61428571428571,63.7857142857143,正确率：42/70
,方差,0.281962950740097,0.119522860933439,0.167801519350929,0.302166093111201,0.203997320649802,0.119522860933439,0.302166093111201,0.70798462979421,0.233791328096591,0.265707384313411,0.696634916609365,0.119522860933439,0.832069434911209,0.508519549776777,0.320455162834309,0.239045721866879,0.239045721866879,0,0.119522860933439,0.948465034318636,0.766941169689028,0.63114474195719,0,0.687209377685192,3.41307314937453,A1:6/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:15/25
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:11/18
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:4/6
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:6/11
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
