M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,题号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分,该题是否为AI题
A1,1,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,1,4,3,4,62,是
,2,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,3,1,3,3,3,57,是
,6,5,5,5,5,5,5,5,35,5,5,3,4,3,4,4,3,5,5,5,4,2,4,3,4,63,是
,7,5,5,5,5,5,5,5,35,5,4,3,5,2,4,4,5,5,5,5,4,1,4,3,4,63,是
,11,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,1,3,3,3,59,否
,12,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,2,4,3,4,62,否
,13,5,5,4,5,5,5,5,34,5,4,2,5,1,4,4,5,5,5,5,4,1,4,3,4,61,否
A2,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,3,4,3,4,66,是
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,5,5,5,5,5,5,3,4,3,4,69,是
,5,5,5,5,5,5,5,5,35,5,5,3,5,4,3,5,5,5,5,5,5,3,4,3,4,69,否
,8,5,5,5,5,5,5,5,35,5,5,3,5,3,4,5,5,5,5,5,5,3,4,3,4,69,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70,否
,10,5,5,3,5,5,5,5,33,5,5,2,5,5,5,4,5,5,5,4,4,4,4,3,4,69,否
,11,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,4,4,4,3,4,69,否
,12,5,5,4,5,5,5,5,34,5,5,3,5,3,4,4,5,5,5,5,5,3,4,3,4,68,否
,13,5,5,5,5,5,5,5,35,5,5,2,5,3,4,5,5,5,5,5,5,3,4,3,4,68,否
,14,5,5,4,5,5,5,5,34,5,5,3,5,4,4,4,5,5,5,5,4,3,4,3,4,68,否
,15,5,5,4,5,5,5,5,34,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,否
,16,5,5,4,5,5,5,5,34,5,4,3,4,2,4,4,5,5,5,5,4,2,4,3,4,63,否
,25,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,3,3,4,3,4,67,否
,39,5,5,5,5,5,5,5,35,5,4,3,4,2,3,4,5,5,4,5,3,2,4,3,4,60,是
,40,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,是
,41,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,3,3,3,3,3,64,否
,42,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,4,4,4,3,4,69,否
,43,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,4,3,4,3,4,63,否
A3-4,19,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,3,4,3,4,67,否
,20,5,5,5,5,5,5,5,35,5,5,3,4,3,5,4,5,5,5,5,4,3,4,3,4,67,否
,21,5,5,5,5,5,5,5,35,5,5,2,4,3,5,4,5,5,5,5,4,2,4,3,4,65,否
,22,5,5,4,5,5,5,4,33,5,5,2,5,3,5,4,5,5,5,5,4,2,4,3,4,66,否
,23,5,5,4,5,5,5,5,34,5,5,2,5,3,5,4,5,5,5,5,4,2,4,3,4,66,否
,24,5,5,4,5,5,5,4,33,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,25,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,26,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,27,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68,否
,28,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68,否
,29,5,5,4,5,5,5,5,34,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68,否
,30,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
,31,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
,32,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
B,1,5,5,4,5,5,5,5,34,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66,是
,2,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66,是
,3,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,3,5,5,5,4,2,3,3,5,63,是
多项选择题,1,5,5,4,5,5,5,5,34,5,5,4,5,2,4,4,1,5,5,5,4,2,3,3,3,60,是
,13,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,3,5,5,5,4,2,4,3,3,61,否
,14,5,5,5,5,5,5,5,35,5,5,2,5,4,4,4,3,5,3,5,4,3,4,3,3,62,是
,15,5,5,5,5,5,5,5,35,4,4,3,4,3,4,4,5,5,5,5,4,3,4,3,4,64,是
,16,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,4,5,5,5,4,4,3,4,70,是
,17,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70,是
,18,5,5,4,5,5,5,5,34,5,5,2,5,2,4,4,1,5,5,4,4,2,4,3,3,58,是
,19,5,5,4,5,5,5,5,34,5,5,2,4,2,4,4,5,5,5,5,4,3,4,3,4,64,否
A1,8,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58,否
,9,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58,是
,10,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58,否
A2,18,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,3,3,4,60,否
,19,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,1,2,3,3,59,否
,20,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,3,3,4,60,否
,21,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,3,3,4,61,否
,22,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,否
,23,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,4,3,3,60,否
,24,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,否
A3-4,15,5,5,5,5,5,5,5,35,4,4,3,5,2,4,4,5,5,5,5,3,3,4,3,3,62,否
,16,5,5,5,5,5,5,5,35,4,4,3,5,2,4,4,5,5,5,5,3,3,4,3,3,62,否
,17,5,5,5,5,5,5,5,35,4,4,3,5,2,5,4,5,5,5,5,3,3,4,3,3,63,否
,18,5,5,5,5,5,5,5,35,4,4,3,5,2,5,4,5,5,5,5,3,3,4,3,3,63,否
B,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,6,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
X,9,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,,4.95714285714286,4.95714285714286,4.75714285714286,5,5,5,4.92857142857143,34.6,4.88571428571429,4.74285714285714,2.81428571428571,4.68571428571429,2.41428571428571,4.25714285714286,4.1,4.34285714285714,4.98571428571429,4.95714285714286,4.97142857142857,3.92857142857143,2.45714285714286,3.81428571428571,3,3.77142857142857,64.1285714285714,正确率：18/50
,,0.203997320649802,0.203997320649802,0.464249879171292,0,0,0,0.259398891052157,0.646058282469799,0.320455162834309,0.440214515748602,0.518997281354951,0.467582656193181,1.02847653116407,0.501756748204277,0.302166093111201,1.21447447077558,0.119522860933439,0.265707384313411,0.167801519350929,0.546966034274619,0.84588885222029,0.427085069177909,0,0.515595296057645,3.60322491855068,A1:5/10
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:4/25
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:0/18
