汇总,次数,比例,,,,,
合计选择认为是AI的,46,46/140,,,,,
合计选择认为是人工的,94,94/140,,,,,
人工被认为是AI,28,28/70,,,,,
成功识别人工题,42,42/70,,,,,
AI被认为是人工,52,52/70,,,,,
成功识别AI题,18,18/70,,,,,
总正确率,60,60/140,,,,,
,,,,,,,
A1汇总,次数,比例,,,,,
合计选择认为是AI的,11,11/20,,,,,
合计选择认为是人工的,9,9/20,,,,,
人工被认为是AI,4,4/10,,,,,
成功识别人工题,6,6/10,,,,,
AI被认为是人工,5,5/10,,,,,
成功识别AI题,5,5/10,,,,,
总正确率,11,11/20,,,,,
,,,,,,,
A2汇总,次数,比例,,,,,
合计选择认为是AI的,14,14/50,,,,,
合计选择认为是人工的,36,36/50,,,,,
人工被认为是AI,10,10/25,,,,,
成功识别人工题,15,15/25,,,,,
AI被认为是人工,21,21/25,,,,,
成功识别AI题,4,4/25,,,,,
总正确率,19,19/50,,,,,
,,,,,,,
A3-4汇总,次数,比例,,,,,
合计选择认为是AI的,7,7/36,,,,,
合计选择认为是人工的,29,29/36,,,,,
人工被认为是AI,7,7/18,,,,,
成功识别人工题,11,11/18,,,,,
AI被认为是人工,18,18/18,,,,,
成功识别AI题,0,0/18,,,,,
总正确率,11,11/36,,,,,
,,,,,,,
B汇总,次数,比例,,,,,
合计选择认为是AI的,5,5/12,,,,,
合计选择认为是人工的,7,7/12,,,,,
人工被认为是AI,2,2/6,,,,,
成功识别人工题,4,4/6,,,,,
AI被认为是人工,3,3/6,,,,,
成功识别AI题,3,3/6,,,,,
总正确率,7,7/12,,,,,
,,,,,,,
X汇总,次数,比例,,,,,
合计选择认为是AI的,11,11/22,,,,,
合计选择认为是人工的,11,11/22,,,,,
人工被认为是AI,5,5/11,,,,,
成功识别人工题,6,6/11,,,,,
AI被认为是人工,5,5/11,,,,,
成功识别AI题,6,6/11,,,,,
总正确率,12,12/22,,,,,
