题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,该题是否为AI题
A1,3,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3,59,否
,4,4,5,5,4,5,5,5,33,5,4,3,5,1,4,4,3,5,5,5,2,1,2,3,2,54,否
,5,5,5,5,4,5,5,5,34,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3,58,否
,14,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,1,1,3,3,3,58,否
,15,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,1,1,3,3,3,58,否
,16,5,5,5,4,4,4,4,31,5,5,3,5,1,4,4,5,5,5,5,1,1,2,3,2,56,是
,17,5,5,5,4,5,5,5,34,5,5,3,5,1,3,3,5,5,5,5,2,1,3,3,3,57,否
,18,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否
,19,5,5,5,5,5,5,5,35,5,5,4,4,1,4,4,5,5,5,5,4,1,3,3,3,61,否
,20,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否
,,4.9,5,5,4.3,4.9,4.9,4.9,33.9,5,4.9,3.3,4.9,1,3.9,3.8,4.8,5,5,5,2.3,1,2.8,3,2.8,58.5,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,1,5,4,5,5,4,5,5,33,5,5,3,5,4,3,3,5,3,5,5,5,3,4,3,4,65,是
,2,5,5,5,5,4,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,否
,6,5,5,5,5,5,5,5,35,5,5,3,5,2,4,3,5,5,5,5,3,2,3,3,3,61,否
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,3,5,5,5,5,2,2,3,3,3,60,否
,17,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,26,4,5,4,5,5,5,5,33,5,5,3,5,1,4,4,5,5,5,5,3,2,4,3,4,63,否
,27,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,28,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,3,4,3,4,66,否
,29,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,30,4,5,5,5,5,5,5,34,4,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,66,否
,31,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,32,4,5,5,5,5,5,5,34,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,33,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,2,2,3,3,3,60,否
,34,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,2,2,3,3,3,60,否
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,2,2,4,3,4,65,否
,36,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,3,2,3,3,3,63,否
,37,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,3,3,4,3,4,67,否
,38,5,5,5,5,5,5,5,35,5,5,2,5,1,5,4,5,5,5,5,4,2,3,3,3,62,否
,44,5,5,5,5,5,5,5,35,4,5,4,5,2,4,4,5,5,5,5,4,3,3,3,4,65,否
,45,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,4,3,4,66,否
,46,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,5,3,5,68,是
,47,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,4,3,4,66,否
,48,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,5,3,5,70,是
,49,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,4,2,3,3,3,64,否
,50,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,4,4,3,4,3,4,67,否
,,4.88,4.96,4.96,5,4.92,5,4.88,34.6,4.92,5,3.24,5,2.04,4.12,3.88,5,4.92,5,4.96,3.36,2.28,3.56,3,3.6,63.88,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A3,4",1,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,3,4,3,4,66,否
,2,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,4,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,3,3,4,3,4,67,是
,5,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,3,3,4,3,4,65,否
,6,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,否
,7,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,否
,8,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,2,4,3,4,64,否
,9,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,2,4,3,4,64,否
,10,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,2,3,4,3,4,65,否
,11,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,否
,13,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,33,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,68,否
,34,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,68,否
,35,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,68,否
,36,4,5,5,5,5,5,5,34,4,5,4,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,,4.94444444444444,5,5,5,5,5,4.88888888888889,34.8333333333333,4.94444444444444,5,2.83333333333333,5,2.88888888888889,4.77777777777778,4,5,5,5,5,3.33333333333333,2.88888888888889,4,3,4.05555555555556,66.7222222222222,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,7,5,5,5,5,5,5,4,34,5,5,2,5,2,5,4,5,5,5,5,4,2,3,3,5,65,否
,8,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,2,3,3,5,65,否
,9,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,3,3,3,5,66,否
,10,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否
,12,5,5,5,5,5,5,5,35,5,5,4,5,1,4,4,5,5,5,5,4,1,3,3,3,62,否
,,5,5,5,5,5,5,4.83333333333333,34.8333333333333,5,5,3,5,1.5,4.5,4,5,5,5,5,4,1.66666666666667,3,3,4,63.6666666666667,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,2,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,5,3,4,66,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,4,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,6,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,3,3,3,3,63,否
,7,5,5,5,5,5,5,5,35,5,3,3,5,1,4,4,5,5,5,5,4,3,3,3,3,61,否
,8,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,2,3,3,3,62,是
,12,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,5,5,5,5,4,1,3,3,3,61,否
,20,5,5,4,5,5,5,5,34,5,5,4,5,2,4,3,5,5,5,5,4,2,3,3,3,63,否
,21,4,5,5,5,5,5,5,34,4,5,4,5,2,4,3,5,5,5,5,4,2,3,3,3,62,否
,22,5,5,5,5,5,5,5,35,5,5,4,5,2,4,3,5,5,5,5,4,2,4,3,4,65,否
,,4.90909090909091,5,4.90909090909091,5,5,5,5,34.8181818181818,4.90909090909091,4.81818181818182,3,5,2,4,3.72727272727273,5,5,5,5,4,2.18181818181818,3.54545454545455,3,3.45454545454545,63.6363636363636,
