M卷,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,ULM总分
记忆,1,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,1,4,3,4,62
,2,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,3,1,3,3,3,57
,6,5,5,5,5,5,5,5,35,5,5,3,4,3,4,4,3,5,5,5,4,2,4,3,4,63
,7,5,5,5,5,5,5,5,35,5,4,3,5,2,4,4,5,5,5,5,4,1,4,3,4,63
,11,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,1,3,3,3,59
,12,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,2,4,3,4,62
,13,5,5,4,5,5,5,5,34,5,4,2,5,1,4,4,5,5,5,5,4,1,4,3,4,61
,8,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58
,9,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58
,10,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58
,,5,5,4.9,5,5,5,5,34.9,5,4.8,2.9,4.3,1.5,4,4,3.6,5,5,5,3.8,1.2,3.5,3,3.5,60.1
,,,,,,,,,,,,,,,,,,,,,,,,,,
理解,1,5,5,4,5,5,5,5,34,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66
,2,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66
,3,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,3,5,5,5,4,2,3,3,5,63
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,6,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67
,1,5,5,4,5,5,5,5,34,5,5,4,5,2,4,4,1,5,5,5,4,2,3,3,3,60
,13,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,3,5,5,5,4,2,4,3,3,61
,14,5,5,5,5,5,5,5,35,5,5,2,5,4,4,4,3,5,3,5,4,3,4,3,3,62
,15,5,5,5,5,5,5,5,35,4,4,3,4,3,4,4,5,5,5,5,4,3,4,3,4,64
,16,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,4,5,5,5,4,4,3,4,70
,17,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70
,18,5,5,4,5,5,5,5,34,5,5,2,5,2,4,4,1,5,5,4,4,2,4,3,3,58
,19,5,5,4,5,5,5,5,34,5,5,2,4,2,4,4,5,5,5,5,4,3,4,3,4,64
,9,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61
,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61
