item_id,source_true,n_responses,difficulty,discrimination
H001,Human,50,0.08,-0.048772266614350565
H002,Human,50,0.68,0.457801413564842
H003,Human,50,0.78,0.08531084900553382
H004,Human,50,0.78,0.09990976094945477
H005,Human,50,0.86,0.3646563454888291
H006,Human,50,0.9,0.4697043353910237
H007,Human,50,0.86,0.16990004979879894
H008,Human,50,0.98,0.4075994867059479
H009,Human,50,0.92,0.15595303856271586
H010,Human,50,0.48,0.10842856408678336
H011,Human,50,0.92,0.25668402660643946
H012,Human,50,0.88,0.5219221614982621
H013,Human,50,0.84,0.4323084004333759
H014,Human,50,0.38,0.27897909173618957
H015,Human,50,0.86,0.30225783849835647
H016,Human,50,0.46,0.23184161390631677
H017,Human,50,0.66,0.4683783989562364
H018,Human,50,0.62,0.3481401258242345
H019,Human,50,0.72,0.22363889425812616
H020,Human,50,0.68,0.3492363705962203
H021,Human,50,0.3,0.37083653739490735
H022,Human,50,0.74,0.33872078452902293
H023,Human,50,0.82,0.43938918513293906
H024,Human,50,0.5,0.2189714587783475
H025,Human,50,0.54,0.06151068529688452
H026,Human,50,0.86,0.3915237349527548
H027,Human,50,0.46,0.3383448751190101
H028,Human,50,0.4,0.14316340671026495
H029,Human,50,0.28,0.23517870887698444
H030,Human,50,0.22,-0.02823773204174622
H031,Human,50,0.72,0.3342808805571302
H032,Human,50,0.92,0.5064539938559951
H033,Human,50,0.86,0.5270071436707402
H034,Human,50,0.42,0.4517187579772643
H035,Human,50,0.66,0.36784519056756987
H036,Human,50,0.76,0.3081239476596333
H037,Human,50,0.84,0.17943462577887084
H038,Human,50,0.86,0.4184669115571948
H039,Human,50,0.88,0.4065058626190127
H040,Human,50,0.62,0.17527008689812362
H041,Human,50,0.7,0.5179370463533134
H042,Human,50,0.74,0.431957167476145
H043,Human,50,0.6,0.28558900167846324
H044,Human,50,0.1,-0.30636507271078334
H045,Human,50,0.12,0.1956156105732792
H046,Human,50,0.14,0.2388510959685063
H047,Human,50,0.48,0.3186612346408481
H048,Human,50,0.68,0.026721345890878424
H049,Human,50,0.3,0.1476660471902201
H050,Human,50,0.08,0.09457695434312371
M001,MAS,50,0.62,0.3521328437180259
M002,MAS,50,0.94,-0.04058216560308702
M003,MAS,50,0.88,0.1615465506450878
M004,MAS,50,0.58,0.3400636656242172
M005,MAS,50,0.96,-0.023047954142430487
M006,MAS,50,0.56,-0.027570159804649632
M007,MAS,50,0.92,0.22964630280336032
M008,MAS,50,0.84,0.22839563591392387
M009,MAS,50,0.52,0.501730515082932
M010,MAS,50,0.4,0.3042756870618904
M011,MAS,50,0.38,0.21816048230787674
M012,MAS,50,0.56,0.2998051143092056
M013,MAS,50,0.54,0.07810167390983164
M014,MAS,50,0.42,0.3843643625521594
M015,MAS,50,0.64,0.24302839409796248
M016,MAS,50,0.94,0.1661381192880242
M017,MAS,50,0.96,0.18049620052576804
M018,MAS,50,0.46,0.33729940693851806
M019,MAS,50,0.92,0.3565716614346304
M020,MAS,50,0.9,0.4215930320460284
M021,MAS,50,0.68,0.3472682319666512
M022,MAS,50,0.92,-0.02025271024713455
M023,MAS,50,0.44,0.44552609553815953
M024,MAS,50,0.52,0.16003681818509258
M025,MAS,50,0.48,0.31536060192370674
M026,MAS,50,0.44,0.01135699791698875
M027,MAS,50,0.72,0.4208447087149702
M028,MAS,50,0.56,0.07766726903334405
M029,MAS,50,0.26,0.059661246480181236
M030,MAS,50,0.26,0.38299147531400546
M031,MAS,50,0.76,0.2513355975859117
M032,MAS,50,0.82,0.25529671530030795
M033,MAS,50,0.74,0.3151459412248408
M034,MAS,50,0.86,-0.030606409861596868
M035,MAS,50,0.38,0.34309928643482135
M036,MAS,50,0.74,0.38828157249196643
M037,MAS,50,0.78,0.29979144735053453
M038,MAS,50,0.68,0.2718282783187748
M039,MAS,50,0.94,0.3496040882323547
M040,MAS,50,0.44,0.09841777871972147
M041,MAS,50,0.76,0.4843569608211113
M042,MAS,50,0.54,0.2036205946998005
M043,MAS,50,0.02,-0.2645555798846707
M044,MAS,50,0.16,0.32716811757275244
M045,MAS,50,0.62,0.12988804602567275
M046,MAS,50,0.04,0.009976535968245374
M047,MAS,50,0.28,0.2979582563000101
M048,MAS,50,0.64,0.3832692869277603
M049,MAS,50,0.42,0.5441225072948254
M050,MAS,50,0.38,0.4299562851735255
