item_id,source_true,final_major_defect,final_critical_defect,adjudication_reason
M001,MAS,0,0,machine_screen_proxy
M002,MAS,0,0,machine_screen_proxy
M003,MAS,0,0,machine_screen_proxy
M004,MAS,0,0,machine_screen_proxy
M005,MAS,0,0,machine_screen_proxy
M006,MAS,0,0,machine_screen_proxy
M007,MAS,0,0,machine_screen_proxy
M008,MAS,0,0,machine_screen_proxy
M009,MAS,0,0,machine_screen_proxy
M010,MAS,0,0,machine_screen_proxy
M011,MAS,0,0,machine_screen_proxy
M012,MAS,0,0,machine_screen_proxy
M013,MAS,0,0,machine_screen_proxy
M014,MAS,0,0,machine_screen_proxy
M015,MAS,0,0,machine_screen_proxy
M016,MAS,0,0,machine_screen_proxy
M017,MAS,0,0,machine_screen_proxy
M018,MAS,0,0,machine_screen_proxy
M019,MAS,0,0,machine_screen_proxy
M020,MAS,0,0,machine_screen_proxy
M021,MAS,0,0,machine_screen_proxy
M022,MAS,0,0,machine_screen_proxy
M023,MAS,0,0,machine_screen_proxy
M024,MAS,0,0,machine_screen_proxy
M025,MAS,0,0,machine_screen_proxy
M026,MAS,0,0,machine_screen_proxy
M027,MAS,0,0,machine_screen_proxy
M028,MAS,0,0,machine_screen_proxy
M029,MAS,0,0,machine_screen_proxy
M030,MAS,0,0,machine_screen_proxy
M031,MAS,0,0,machine_screen_proxy
M032,MAS,0,0,machine_screen_proxy
M033,MAS,0,0,machine_screen_proxy
M034,MAS,0,0,machine_screen_proxy
M035,MAS,0,0,machine_screen_proxy
M036,MAS,0,0,machine_screen_proxy
M037,MAS,0,0,machine_screen_proxy
M038,MAS,0,0,machine_screen_proxy
M039,MAS,0,0,machine_screen_proxy
M040,MAS,0,0,machine_screen_proxy
M041,MAS,0,0,machine_screen_proxy
M042,MAS,0,0,machine_screen_proxy
M043,MAS,1,0,machine_screen_proxy
M044,MAS,1,0,machine_screen_proxy
M045,MAS,0,0,machine_screen_proxy
M046,MAS,0,0,machine_screen_proxy
M047,MAS,0,0,machine_screen_proxy
M048,MAS,0,0,machine_screen_proxy
M049,MAS,1,0,machine_screen_proxy
M050,MAS,0,0,machine_screen_proxy
H001,Human,0,0,machine_screen_proxy
H002,Human,0,0,machine_screen_proxy
H003,Human,0,0,machine_screen_proxy
H004,Human,0,0,machine_screen_proxy
H005,Human,0,0,machine_screen_proxy
H006,Human,0,0,machine_screen_proxy
H007,Human,0,0,machine_screen_proxy
H008,Human,0,0,machine_screen_proxy
H009,Human,0,0,machine_screen_proxy
H010,Human,0,0,machine_screen_proxy
H011,Human,0,0,machine_screen_proxy
H012,Human,0,0,machine_screen_proxy
H013,Human,0,0,machine_screen_proxy
H014,Human,0,0,machine_screen_proxy
H015,Human,0,0,machine_screen_proxy
H016,Human,0,0,machine_screen_proxy
H017,Human,0,0,machine_screen_proxy
H018,Human,0,0,machine_screen_proxy
H019,Human,0,0,machine_screen_proxy
H020,Human,0,0,machine_screen_proxy
H021,Human,0,0,machine_screen_proxy
H022,Human,0,0,machine_screen_proxy
H023,Human,0,0,machine_screen_proxy
H024,Human,0,0,machine_screen_proxy
H025,Human,0,0,machine_screen_proxy
H026,Human,0,0,machine_screen_proxy
H027,Human,0,0,machine_screen_proxy
H028,Human,0,0,machine_screen_proxy
H029,Human,0,0,machine_screen_proxy
H030,Human,0,0,machine_screen_proxy
H031,Human,0,0,machine_screen_proxy
H032,Human,0,0,machine_screen_proxy
H033,Human,0,0,machine_screen_proxy
H034,Human,0,0,machine_screen_proxy
H035,Human,0,0,machine_screen_proxy
H036,Human,0,0,machine_screen_proxy
H037,Human,0,0,machine_screen_proxy
H038,Human,0,0,machine_screen_proxy
H039,Human,0,0,machine_screen_proxy
H040,Human,0,0,machine_screen_proxy
H041,Human,0,0,machine_screen_proxy
H042,Human,0,0,machine_screen_proxy
H043,Human,0,0,machine_screen_proxy
H044,Human,0,0,machine_screen_proxy
H045,Human,0,0,machine_screen_proxy
H046,Human,0,0,machine_screen_proxy
H047,Human,0,0,machine_screen_proxy
H048,Human,0,0,machine_screen_proxy
H049,Human,0,0,machine_screen_proxy
H050,Human,0,0,machine_screen_proxy
