student_id,student_no,form,order_group,training_setting,training_setting_code,training_year,total_time_seconds,m_score_reported,p_score_reported,m_minus_p_reported
S001,1,A,A,main,A,1,1022.0,66.0,68.0,-2.0
S002,2,A,A,main,A,2,2209.0,52.0,54.0,-2.0
S003,3,A,A,main,A,2,2513.0,38.0,50.0,-12.0
S004,4,A,A,main,A,1,1748.0,46.0,42.0,4.0
S005,5,A,A,main,A,1,1836.0,56.0,64.0,-8.0
S006,6,A,A,main,A,1,2566.0,60.0,54.0,6.0
S007,7,A,A,main,A,2,2053.0,52.0,60.0,-8.0
S008,8,A,A,main,A,3,2742.0,62.0,68.0,-6.0
S009,9,A,A,main,A,3,2145.0,56.0,74.0,-18.0
S010,10,A,A,main,A,2,2473.0,68.0,64.0,4.0
S011,11,A,A,main,A,1,4045.0,48.0,54.0,-6.0
S012,12,A,A,main,A,2,1154.0,68.0,70.0,-2.0
S013,13,A,A,non_main,B,1,3658.0,52.0,68.0,-16.0
S014,14,A,A,main,A,2,1288.0,72.0,76.0,-4.0
S015,15,A,A,non_main,B,1,1159.0,58.0,54.0,4.0
S016,16,A,A,non_main,B,1,2200.0,52.0,58.0,-6.0
S017,17,A,A,non_main,B,2,1708.0,34.0,50.0,-16.0
S018,18,A,A,non_main,B,1,1873.0,58.0,58.0,0.0
S019,19,A,A,non_main,B,3,1798.0,54.0,60.0,-6.0
S020,20,A,A,non_main,B,3,2427.0,64.0,68.0,-4.0
S021,21,A,A,main,A,3,4606.0,54.0,56.0,-2.0
S022,22,A,A,main,A,2,1118.0,42.0,44.0,-2.0
S023,23,A,A,non_main,B,2,2368.0,88.0,74.0,14.0
S024,24,A,A,non_main,B,2,2345.0,88.0,70.0,18.0
S025,25,A,A,non_main,B,3,2005.0,84.0,70.0,14.0
S026,26,B,B,main,A,1,2263.0,62.0,72.0,-10.0
S027,27,B,B,main,A,3,5400.0,64.0,64.0,0.0
S028,28,B,B,main,A,3,2551.0,80.0,82.0,-2.0
S029,29,B,B,non_main,B,2,1989.0,86.0,80.0,6.0
S030,30,B,B,non_main,B,2,3480.0,68.0,60.0,8.0
S031,31,B,B,non_main,B,1,2580.0,56.0,32.0,24.0
S032,32,B,B,non_main,B,1,2201.0,46.0,30.0,16.0
S033,33,B,B,main,A,1,2530.0,66.0,72.0,-6.0
S034,34,B,B,main,A,2,2463.0,78.0,82.0,-4.0
S035,35,B,B,non_main,B,2,2099.0,82.0,78.0,4.0
S036,36,B,B,non_main,B,1,1369.0,76.0,76.0,0.0
S037,37,B,B,non_main,B,2,3191.0,80.0,78.0,2.0
S038,38,B,B,main,A,2,1364.0,52.0,56.0,-4.0
S039,39,B,B,non_main,B,3,1782.0,48.0,48.0,0.0
S040,40,B,B,main,A,2,2326.0,58.0,58.0,0.0
S041,41,B,B,main,A,2,2697.0,46.0,66.0,-20.0
S042,42,B,B,main,A,2,1331.0,50.0,58.0,-8.0
S043,43,B,B,main,A,3,1168.0,46.0,22.0,24.0
S044,44,B,B,main,A,1,2023.0,62.0,64.0,-2.0
S045,45,B,B,main,A,1,710.0,54.0,56.0,-2.0
S046,46,B,B,main,A,2,2111.0,50.0,60.0,-10.0
S047,47,B,B,main,A,1,2380.0,66.0,82.0,-16.0
S048,48,B,B,main,A,1,3378.0,68.0,82.0,-14.0
S049,49,B,B,main,A,1,1623.0,50.0,54.0,-4.0
S050,50,B,B,main,A,3,1032.0,56.0,54.0,2.0
