family,dimension,source,item_seq,expert_mean_score
QGval,Fluency,Human,1,4.666666666666667
QGval,Fluency,Human,2,4.666666666666667
QGval,Fluency,Human,3,5.0
QGval,Fluency,Human,4,5.0
QGval,Fluency,Human,5,5.0
QGval,Fluency,Human,6,5.0
QGval,Fluency,Human,7,5.0
QGval,Fluency,Human,8,4.0
QGval,Fluency,Human,9,5.0
QGval,Fluency,Human,10,5.0
QGval,Fluency,Human,11,5.0
QGval,Fluency,Human,12,5.0
QGval,Fluency,Human,13,4.333333333333333
QGval,Fluency,Human,14,5.0
QGval,Fluency,Human,15,5.0
QGval,Fluency,Human,16,5.0
QGval,Fluency,Human,17,4.666666666666667
QGval,Fluency,Human,18,5.0
QGval,Fluency,Human,19,4.666666666666667
QGval,Fluency,Human,20,5.0
QGval,Fluency,Human,21,5.0
QGval,Fluency,Human,22,5.0
QGval,Fluency,Human,23,5.0
QGval,Fluency,Human,24,5.0
QGval,Fluency,Human,25,5.0
QGval,Fluency,Human,26,5.0
QGval,Fluency,Human,27,5.0
QGval,Fluency,Human,28,5.0
QGval,Fluency,Human,29,4.666666666666667
QGval,Fluency,Human,30,5.0
QGval,Fluency,Human,31,5.0
QGval,Fluency,Human,32,5.0
QGval,Fluency,Human,33,5.0
QGval,Fluency,Human,34,5.0
QGval,Fluency,Human,35,5.0
QGval,Fluency,Human,36,5.0
QGval,Fluency,Human,37,5.0
QGval,Fluency,Human,38,5.0
QGval,Fluency,Human,39,5.0
QGval,Fluency,Human,40,5.0
QGval,Fluency,Human,41,5.0
QGval,Fluency,Human,42,5.0
QGval,Fluency,Human,43,5.0
QGval,Fluency,Human,44,5.0
QGval,Fluency,Human,45,5.0
QGval,Fluency,Human,46,5.0
QGval,Fluency,Human,47,5.0
QGval,Fluency,Human,48,5.0
QGval,Fluency,Human,49,5.0
QGval,Fluency,Human,50,5.0
QGval,Fluency,Human,51,5.0
QGval,Fluency,Human,52,5.0
QGval,Fluency,Human,53,5.0
QGval,Fluency,Human,54,4.666666666666667
QGval,Fluency,Human,55,5.0
QGval,Fluency,Human,56,4.666666666666667
QGval,Fluency,Human,57,5.0
QGval,Fluency,Human,58,4.666666666666667
QGval,Fluency,Human,59,5.0
QGval,Fluency,Human,60,5.0
QGval,Fluency,Human,61,5.0
QGval,Fluency,Human,62,5.0
QGval,Fluency,Human,63,5.0
QGval,Fluency,Human,64,4.666666666666667
QGval,Fluency,Human,65,5.0
QGval,Fluency,Human,66,5.0
QGval,Fluency,Human,67,5.0
QGval,Fluency,Human,68,5.0
QGval,Fluency,Human,69,4.666666666666667
QGval,Fluency,Human,70,5.0
QGval,Fluency,MAS,1,5.0
QGval,Fluency,MAS,2,5.0
QGval,Fluency,MAS,3,5.0
QGval,Fluency,MAS,4,5.0
QGval,Fluency,MAS,5,5.0
QGval,Fluency,MAS,6,5.0
QGval,Fluency,MAS,7,5.0
QGval,Fluency,MAS,8,5.0
QGval,Fluency,MAS,9,4.666666666666667
QGval,Fluency,MAS,10,5.0
QGval,Fluency,MAS,11,5.0
QGval,Fluency,MAS,12,5.0
QGval,Fluency,MAS,13,5.0
QGval,Fluency,MAS,14,5.0
QGval,Fluency,MAS,15,5.0
QGval,Fluency,MAS,16,5.0
QGval,Fluency,MAS,17,4.666666666666667
QGval,Fluency,MAS,18,5.0
QGval,Fluency,MAS,19,5.0
QGval,Fluency,MAS,20,5.0
QGval,Fluency,MAS,21,5.0
QGval,Fluency,MAS,22,5.0
QGval,Fluency,MAS,23,5.0
QGval,Fluency,MAS,24,5.0
QGval,Fluency,MAS,25,5.0
QGval,Fluency,MAS,26,5.0
QGval,Fluency,MAS,27,5.0
QGval,Fluency,MAS,28,5.0
QGval,Fluency,MAS,29,5.0
QGval,Fluency,MAS,30,5.0
QGval,Fluency,MAS,31,5.0
QGval,Fluency,MAS,32,5.0
QGval,Fluency,MAS,33,5.0
QGval,Fluency,MAS,34,5.0
QGval,Fluency,MAS,35,5.0
QGval,Fluency,MAS,36,5.0
QGval,Fluency,MAS,37,4.333333333333333
QGval,Fluency,MAS,38,4.333333333333333
QGval,Fluency,MAS,39,4.333333333333333
QGval,Fluency,MAS,40,5.0
QGval,Fluency,MAS,41,5.0
QGval,Fluency,MAS,42,5.0
QGval,Fluency,MAS,43,5.0
QGval,Fluency,MAS,44,5.0
QGval,Fluency,MAS,45,5.0
QGval,Fluency,MAS,46,5.0
QGval,Fluency,MAS,47,5.0
QGval,Fluency,MAS,48,5.0
QGval,Fluency,MAS,49,5.0
QGval,Fluency,MAS,50,5.0
QGval,Fluency,MAS,51,5.0
QGval,Fluency,MAS,52,5.0
QGval,Fluency,MAS,53,5.0
QGval,Fluency,MAS,54,5.0
QGval,Fluency,MAS,55,5.0
QGval,Fluency,MAS,56,5.0
QGval,Fluency,MAS,57,5.0
QGval,Fluency,MAS,58,5.0
QGval,Fluency,MAS,59,5.0
QGval,Fluency,MAS,60,5.0
QGval,Fluency,MAS,61,5.0
QGval,Fluency,MAS,62,5.0
QGval,Fluency,MAS,63,5.0
QGval,Fluency,MAS,64,5.0
QGval,Fluency,MAS,65,5.0
QGval,Fluency,MAS,66,5.0
QGval,Fluency,MAS,67,5.0
QGval,Fluency,MAS,68,5.0
QGval,Fluency,MAS,69,5.0
QGval,Fluency,MAS,70,5.0
QGval,Clarity,Human,1,5.0
QGval,Clarity,Human,2,5.0
QGval,Clarity,Human,3,5.0
QGval,Clarity,Human,4,5.0
QGval,Clarity,Human,5,5.0
QGval,Clarity,Human,6,4.333333333333333
QGval,Clarity,Human,7,5.0
QGval,Clarity,Human,8,3.3333333333333335
QGval,Clarity,Human,9,5.0
QGval,Clarity,Human,10,5.0
QGval,Clarity,Human,11,5.0
QGval,Clarity,Human,12,4.666666666666667
QGval,Clarity,Human,13,5.0
QGval,Clarity,Human,14,5.0
QGval,Clarity,Human,15,5.0
QGval,Clarity,Human,16,5.0
QGval,Clarity,Human,17,5.0
QGval,Clarity,Human,18,5.0
QGval,Clarity,Human,19,5.0
QGval,Clarity,Human,20,5.0
QGval,Clarity,Human,21,5.0
QGval,Clarity,Human,22,5.0
QGval,Clarity,Human,23,5.0
QGval,Clarity,Human,24,5.0
QGval,Clarity,Human,25,5.0
QGval,Clarity,Human,26,5.0
QGval,Clarity,Human,27,5.0
QGval,Clarity,Human,28,4.666666666666667
QGval,Clarity,Human,29,4.0
QGval,Clarity,Human,30,5.0
QGval,Clarity,Human,31,5.0
QGval,Clarity,Human,32,5.0
QGval,Clarity,Human,33,5.0
QGval,Clarity,Human,34,5.0
QGval,Clarity,Human,35,5.0
QGval,Clarity,Human,36,5.0
QGval,Clarity,Human,37,5.0
QGval,Clarity,Human,38,5.0
QGval,Clarity,Human,39,5.0
QGval,Clarity,Human,40,5.0
QGval,Clarity,Human,41,5.0
QGval,Clarity,Human,42,5.0
QGval,Clarity,Human,43,5.0
QGval,Clarity,Human,44,5.0
QGval,Clarity,Human,45,5.0
QGval,Clarity,Human,46,5.0
QGval,Clarity,Human,47,5.0
QGval,Clarity,Human,48,5.0
QGval,Clarity,Human,49,5.0
QGval,Clarity,Human,50,5.0
QGval,Clarity,Human,51,5.0
QGval,Clarity,Human,52,5.0
QGval,Clarity,Human,53,5.0
QGval,Clarity,Human,54,5.0
QGval,Clarity,Human,55,5.0
QGval,Clarity,Human,56,4.666666666666667
QGval,Clarity,Human,57,5.0
QGval,Clarity,Human,58,4.666666666666667
QGval,Clarity,Human,59,5.0
QGval,Clarity,Human,60,5.0
QGval,Clarity,Human,61,5.0
QGval,Clarity,Human,62,5.0
QGval,Clarity,Human,63,5.0
QGval,Clarity,Human,64,5.0
QGval,Clarity,Human,65,5.0
QGval,Clarity,Human,66,5.0
QGval,Clarity,Human,67,5.0
QGval,Clarity,Human,68,5.0
QGval,Clarity,Human,69,5.0
QGval,Clarity,Human,70,5.0
QGval,Clarity,MAS,1,5.0
QGval,Clarity,MAS,2,5.0
QGval,Clarity,MAS,3,5.0
QGval,Clarity,MAS,4,5.0
QGval,Clarity,MAS,5,5.0
QGval,Clarity,MAS,6,5.0
QGval,Clarity,MAS,7,5.0
QGval,Clarity,MAS,8,5.0
QGval,Clarity,MAS,9,5.0
QGval,Clarity,MAS,10,5.0
QGval,Clarity,MAS,11,5.0
QGval,Clarity,MAS,12,5.0
QGval,Clarity,MAS,13,5.0
QGval,Clarity,MAS,14,5.0
QGval,Clarity,MAS,15,5.0
QGval,Clarity,MAS,16,5.0
QGval,Clarity,MAS,17,5.0
QGval,Clarity,MAS,18,5.0
QGval,Clarity,MAS,19,5.0
QGval,Clarity,MAS,20,5.0
QGval,Clarity,MAS,21,5.0
QGval,Clarity,MAS,22,5.0
QGval,Clarity,MAS,23,5.0
QGval,Clarity,MAS,24,5.0
QGval,Clarity,MAS,25,5.0
QGval,Clarity,MAS,26,5.0
QGval,Clarity,MAS,27,5.0
QGval,Clarity,MAS,28,5.0
QGval,Clarity,MAS,29,5.0
QGval,Clarity,MAS,30,5.0
QGval,Clarity,MAS,31,5.0
QGval,Clarity,MAS,32,5.0
QGval,Clarity,MAS,33,5.0
QGval,Clarity,MAS,34,5.0
QGval,Clarity,MAS,35,5.0
QGval,Clarity,MAS,36,5.0
QGval,Clarity,MAS,37,5.0
QGval,Clarity,MAS,38,5.0
QGval,Clarity,MAS,39,5.0
QGval,Clarity,MAS,40,5.0
QGval,Clarity,MAS,41,5.0
QGval,Clarity,MAS,42,5.0
QGval,Clarity,MAS,43,5.0
QGval,Clarity,MAS,44,5.0
QGval,Clarity,MAS,45,5.0
QGval,Clarity,MAS,46,5.0
QGval,Clarity,MAS,47,5.0
QGval,Clarity,MAS,48,5.0
QGval,Clarity,MAS,49,5.0
QGval,Clarity,MAS,50,5.0
QGval,Clarity,MAS,51,5.0
QGval,Clarity,MAS,52,5.0
QGval,Clarity,MAS,53,5.0
QGval,Clarity,MAS,54,5.0
QGval,Clarity,MAS,55,5.0
QGval,Clarity,MAS,56,5.0
QGval,Clarity,MAS,57,4.666666666666667
QGval,Clarity,MAS,58,4.666666666666667
QGval,Clarity,MAS,59,5.0
QGval,Clarity,MAS,60,4.666666666666667
QGval,Clarity,MAS,61,5.0
QGval,Clarity,MAS,62,5.0
QGval,Clarity,MAS,63,5.0
QGval,Clarity,MAS,64,5.0
QGval,Clarity,MAS,65,5.0
QGval,Clarity,MAS,66,5.0
QGval,Clarity,MAS,67,5.0
QGval,Clarity,MAS,68,5.0
QGval,Clarity,MAS,69,5.0
QGval,Clarity,MAS,70,5.0
QGval,Conciseness,Human,1,4.666666666666667
QGval,Conciseness,Human,2,5.0
QGval,Conciseness,Human,3,5.0
QGval,Conciseness,Human,4,5.0
QGval,Conciseness,Human,5,5.0
QGval,Conciseness,Human,6,5.0
QGval,Conciseness,Human,7,5.0
QGval,Conciseness,Human,8,4.0
QGval,Conciseness,Human,9,5.0
QGval,Conciseness,Human,10,5.0
QGval,Conciseness,Human,11,5.0
QGval,Conciseness,Human,12,5.0
QGval,Conciseness,Human,13,4.333333333333333
QGval,Conciseness,Human,14,5.0
QGval,Conciseness,Human,15,5.0
QGval,Conciseness,Human,16,5.0
QGval,Conciseness,Human,17,5.0
QGval,Conciseness,Human,18,5.0
QGval,Conciseness,Human,19,5.0
QGval,Conciseness,Human,20,5.0
QGval,Conciseness,Human,21,5.0
QGval,Conciseness,Human,22,5.0
QGval,Conciseness,Human,23,5.0
QGval,Conciseness,Human,24,5.0
QGval,Conciseness,Human,25,5.0
QGval,Conciseness,Human,26,5.0
QGval,Conciseness,Human,27,5.0
QGval,Conciseness,Human,28,5.0
QGval,Conciseness,Human,29,4.333333333333333
QGval,Conciseness,Human,30,5.0
QGval,Conciseness,Human,31,5.0
QGval,Conciseness,Human,32,5.0
QGval,Conciseness,Human,33,5.0
QGval,Conciseness,Human,34,5.0
QGval,Conciseness,Human,35,5.0
QGval,Conciseness,Human,36,5.0
QGval,Conciseness,Human,37,5.0
QGval,Conciseness,Human,38,5.0
QGval,Conciseness,Human,39,5.0
QGval,Conciseness,Human,40,5.0
QGval,Conciseness,Human,41,5.0
QGval,Conciseness,Human,42,5.0
QGval,Conciseness,Human,43,5.0
QGval,Conciseness,Human,44,5.0
QGval,Conciseness,Human,45,5.0
QGval,Conciseness,Human,46,5.0
QGval,Conciseness,Human,47,5.0
QGval,Conciseness,Human,48,5.0
QGval,Conciseness,Human,49,5.0
QGval,Conciseness,Human,50,5.0
QGval,Conciseness,Human,51,5.0
QGval,Conciseness,Human,52,5.0
QGval,Conciseness,Human,53,5.0
QGval,Conciseness,Human,54,4.666666666666667
QGval,Conciseness,Human,55,4.666666666666667
QGval,Conciseness,Human,56,5.0
QGval,Conciseness,Human,57,5.0
QGval,Conciseness,Human,58,4.666666666666667
QGval,Conciseness,Human,59,5.0
QGval,Conciseness,Human,60,5.0
QGval,Conciseness,Human,61,4.666666666666667
QGval,Conciseness,Human,62,5.0
QGval,Conciseness,Human,63,4.666666666666667
QGval,Conciseness,Human,64,4.666666666666667
QGval,Conciseness,Human,65,5.0
QGval,Conciseness,Human,66,5.0
QGval,Conciseness,Human,67,5.0
QGval,Conciseness,Human,68,4.666666666666667
QGval,Conciseness,Human,69,5.0
QGval,Conciseness,Human,70,5.0
QGval,Conciseness,MAS,1,5.0
QGval,Conciseness,MAS,2,5.0
QGval,Conciseness,MAS,3,5.0
QGval,Conciseness,MAS,4,5.0
QGval,Conciseness,MAS,5,5.0
QGval,Conciseness,MAS,6,5.0
QGval,Conciseness,MAS,7,4.666666666666667
QGval,Conciseness,MAS,8,5.0
QGval,Conciseness,MAS,9,4.666666666666667
QGval,Conciseness,MAS,10,5.0
QGval,Conciseness,MAS,11,5.0
QGval,Conciseness,MAS,12,5.0
QGval,Conciseness,MAS,13,4.0
QGval,Conciseness,MAS,14,5.0
QGval,Conciseness,MAS,15,4.666666666666667
QGval,Conciseness,MAS,16,5.0
QGval,Conciseness,MAS,17,4.0
QGval,Conciseness,MAS,18,4.666666666666667
QGval,Conciseness,MAS,19,4.666666666666667
QGval,Conciseness,MAS,20,5.0
QGval,Conciseness,MAS,21,5.0
QGval,Conciseness,MAS,22,5.0
QGval,Conciseness,MAS,23,5.0
QGval,Conciseness,MAS,24,5.0
QGval,Conciseness,MAS,25,5.0
QGval,Conciseness,MAS,26,5.0
QGval,Conciseness,MAS,27,5.0
QGval,Conciseness,MAS,28,5.0
QGval,Conciseness,MAS,29,4.333333333333333
QGval,Conciseness,MAS,30,4.333333333333333
QGval,Conciseness,MAS,31,4.333333333333333
QGval,Conciseness,MAS,32,4.333333333333333
QGval,Conciseness,MAS,33,4.333333333333333
QGval,Conciseness,MAS,34,5.0
QGval,Conciseness,MAS,35,5.0
QGval,Conciseness,MAS,36,4.333333333333333
QGval,Conciseness,MAS,37,5.0
QGval,Conciseness,MAS,38,5.0
QGval,Conciseness,MAS,39,5.0
QGval,Conciseness,MAS,40,4.666666666666667
QGval,Conciseness,MAS,41,5.0
QGval,Conciseness,MAS,42,5.0
QGval,Conciseness,MAS,43,4.666666666666667
QGval,Conciseness,MAS,44,5.0
QGval,Conciseness,MAS,45,5.0
QGval,Conciseness,MAS,46,5.0
QGval,Conciseness,MAS,47,5.0
QGval,Conciseness,MAS,48,5.0
QGval,Conciseness,MAS,49,4.666666666666667
QGval,Conciseness,MAS,50,4.666666666666667
QGval,Conciseness,MAS,51,5.0
QGval,Conciseness,MAS,52,5.0
QGval,Conciseness,MAS,53,5.0
QGval,Conciseness,MAS,54,5.0
QGval,Conciseness,MAS,55,5.0
QGval,Conciseness,MAS,56,5.0
QGval,Conciseness,MAS,57,4.666666666666667
QGval,Conciseness,MAS,58,5.0
QGval,Conciseness,MAS,59,5.0
QGval,Conciseness,MAS,60,5.0
QGval,Conciseness,MAS,61,4.666666666666667
QGval,Conciseness,MAS,62,4.666666666666667
QGval,Conciseness,MAS,63,4.666666666666667
QGval,Conciseness,MAS,64,4.666666666666667
QGval,Conciseness,MAS,65,5.0
QGval,Conciseness,MAS,66,5.0
QGval,Conciseness,MAS,67,5.0
QGval,Conciseness,MAS,68,5.0
QGval,Conciseness,MAS,69,5.0
QGval,Conciseness,MAS,70,5.0
QGval,Relevance,Human,1,4.666666666666667
QGval,Relevance,Human,2,4.333333333333333
QGval,Relevance,Human,3,4.333333333333333
QGval,Relevance,Human,4,4.333333333333333
QGval,Relevance,Human,5,4.333333333333333
QGval,Relevance,Human,6,4.666666666666667
QGval,Relevance,Human,7,4.666666666666667
QGval,Relevance,Human,8,4.333333333333333
QGval,Relevance,Human,9,5.0
QGval,Relevance,Human,10,5.0
QGval,Relevance,Human,11,5.0
QGval,Relevance,Human,12,5.0
