source,cognitive_level,item_seq,metric,score
Human,分析,53,QGval,5.0
Human,分析,53,ULM,4.25
Human,分析,54,QGval,4.904761904761904
Human,分析,54,ULM,4.291666666666667
Human,分析,55,QGval,4.9523809523809526
Human,分析,55,ULM,4.333333333333333
Human,分析,56,QGval,4.6190476190476195
Human,分析,56,ULM,4.104166666666667
Human,分析,57,QGval,5.0
Human,分析,57,ULM,4.270833333333333
Human,分析,58,QGval,5.0
Human,分析,58,ULM,4.229166666666667
Human,分析,59,QGval,5.0
Human,分析,59,ULM,4.270833333333333
Human,分析,60,QGval,5.0
Human,分析,60,ULM,4.229166666666667
Human,分析,61,QGval,5.0
Human,分析,61,ULM,4.25
Human,分析,62,QGval,5.0
Human,分析,62,ULM,4.229166666666667
Human,分析,63,QGval,5.0
Human,分析,63,ULM,4.291666666666667
Human,分析,64,QGval,5.0
Human,分析,64,ULM,4.333333333333333
Human,分析,65,QGval,5.0
Human,分析,65,ULM,4.333333333333333
Human,分析,66,QGval,5.0
Human,分析,66,ULM,4.333333333333333
Human,分析,67,QGval,4.9523809523809526
Human,分析,67,ULM,4.25
Human,分析,68,QGval,5.0
Human,分析,68,ULM,4.25
Human,分析,69,QGval,4.9523809523809526
Human,分析,69,ULM,4.270833333333333
Human,分析,70,QGval,4.904761904761904
Human,分析,70,ULM,4.229166666666667
Human,应用,28,QGval,4.095238095238096
Human,应用,28,ULM,3.8958333333333335
Human,应用,29,QGval,4.9523809523809526
Human,应用,29,ULM,4.0
Human,应用,30,QGval,5.0
Human,应用,30,ULM,4.0
Human,应用,31,QGval,5.0
Human,应用,31,ULM,4.0
Human,应用,32,QGval,4.857142857142857
Human,应用,32,ULM,3.9791666666666665
Human,应用,33,QGval,4.714285714285714
Human,应用,33,ULM,4.041666666666667
Human,应用,34,QGval,5.0
Human,应用,34,ULM,4.020833333333333
Human,应用,35,QGval,5.0
Human,应用,35,ULM,4.270833333333333
Human,应用,36,QGval,5.0
Human,应用,36,ULM,4.041666666666667
