term,estimate,se,z,p_value,ci_low,ci_high,model_formula,covariates,random_effects
Intercept,4.13100164682807,0.08,51.539,0.0,3.974,4.288,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
"C(source_true, Treatment(reference='Human'))[T.MAS]",0.1441787534378554,0.042,3.438,0.001,0.062,0.226,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
"C(blueprint_cognitive_level, Treatment(reference='recall'))[T.comprehension]",0.30309291402189775,0.054,5.608,0.0,0.197,0.409,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
"C(blueprint_cognitive_level, Treatment(reference='recall'))[T.application]",0.11305395877947327,0.043,2.602,0.009,0.028,0.198,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
"C(blueprint_cognitive_level, Treatment(reference='recall'))[T.analysis]",0.2479802313373259,0.036,6.93,0.0,0.178,0.318,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(blueprint_cognitive_level, Treatment(reference='recall'))[T.comprehension]",-0.20558922839422356,0.078,-2.643,0.008,-0.358,-0.053,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(blueprint_cognitive_level, Treatment(reference='recall'))[T.application]",-0.015065159693069055,0.049,-0.306,0.76,-0.112,0.081,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
"C(source_true, Treatment(reference='Human'))[T.MAS]:C(blueprint_cognitive_level, Treatment(reference='recall'))[T.analysis]",-0.16109666454514718,0.051,-3.183,0.001,-0.26,-0.062,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
char_count,2.4573137371921455e-05,0.0,0.103,0.918,-0.0,0.0,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
has_vignette,0.08932294422463599,0.023,3.86,0.0,0.044,0.135,"quality_score_5 ~ C(source_true, Treatment(reference='Human')) * C(blueprint_cognitive_level, Treatment(reference='recall')) + char_count + has_vignette",char_count + has_vignette,(1|rater_id) + (1|item_id)
