source,bootstrap_replicate,icc_2_1,icc_2_k,icc_c_1,icc_c_k
Human,1,0.22238183784401133,0.46176791731307004,0.32287040827430324,0.5885563602015106
Human,2,0.11693643410852583,0.28431559795337547,0.1876187791247207,0.40927935250010883
Human,3,0.10985598280327176,0.27020145550997066,0.1589531287547689,0.36183103581694287
Human,4,0.3495788404182076,0.617209652219198,0.6084327531129675,0.8233689658721564
Human,5,0.11887302997128818,0.2881197536838933,0.15659681325387714,0.35774651222681464
Human,6,0.3320989264136981,0.5986648628036814,0.5778833281650498,0.8041918541622003
Human,7,0.1285717561803403,0.30681880369944375,0.1752107904720791,0.3892357607679353
Human,8,0.09583457959591438,0.2412613740735924,0.12518502219192773,0.3003551374751987
Human,9,0.17068986489603913,0.38174842165498596,0.24928557207834692,0.49904652118194215
Human,10,0.11327365009420469,0.2770549087103403,0.16885089348326088,0.3786738459836265
Human,11,0.1723578674717434,0.38452260874076916,0.2780430085682146,0.536043005668569
Human,12,0.1169704630764326,0.2843826489517259,0.15884669816618727,0.36164717515087214
Human,13,0.2145576209360161,0.4503995506792621,0.3288649056879526,0.5951480816074548
Human,14,0.2780451901889224,0.5360457085816731,0.5127570988425241,0.7594473039417132
Human,15,0.20520993624972364,0.436486907730671,0.2916495808750667,0.5526111323510441
Human,16,0.3582391595988991,0.6261177125144057,0.6497755720678277,0.8476987872936338
Human,17,0.13476621080911894,0.3184626288724541,0.189109079349156,0.41163819709304406
Human,18,0.2135618456021247,0.4489348335782616,0.3952180965713339,0.6622153273347758
Human,19,0.16132312689409833,0.3659099168021353,0.29159845997675893,0.5525499506125622
Human,20,0.18810269321371717,0.4100464111000679,0.24356091086030876,0.4913401995107016
Human,21,0.1376527661162409,0.3238112655449866,0.19923675902289387,0.42740192742721056
Human,22,0.12872636598041617,0.3071122183169883,0.16737699917200138,0.37619741026360365
Human,23,0.1406323366302946,0.32928170010122215,0.20617110538506261,0.43793445486411076
Human,24,0.1467549931997733,0.3403645771802557,0.21020835328399098,0.4439718689142234
Human,25,0.08016507362354888,0.2072644767881154,0.11041210489780451,0.2713218758570239
Human,26,0.11767519732121345,0.28576960309777033,0.16789680489064884,0.3770720349189371
Human,27,0.12332434124514226,0.2967740863419314,0.18113374667847384,0.3988946684005158
Human,28,0.27387909716497894,0.5308563666501104,0.604940418350118,0.8212303690366493
Human,29,0.11886265799394773,0.2880994428858644,0.1703938089899816,0.3812545850774585
Human,30,0.12531776962312033,0.3006098076310453,0.16034837309141936,0.36423586312649375
Human,31,0.24716873196181968,0.49621067114151535,0.4860277077659418,0.7393722873170708
Human,32,0.16298803380865112,0.3687578632581144,0.22934110127587884,0.4716745721748283
Human,33,0.12415635012750291,0.29837800280844745,0.16300722674891963,0.3687906108087952
Human,34,0.16292507552502233,0.36865042869887493,0.21144053292608878,0.4458008571491988
Human,35,0.14127592332729796,0.33045663696746835,0.20372985139310051,0.4342501266426267
Human,36,0.09312989619646482,0.23552150244071585,0.12879309217987642,0.30723880505759377
Human,37,0.15687855401324716,0.3582364343944241,0.24691523727887588,0.4958699962630802
