source,item_id,machine_run,machine_proxy_quality_score
Human,H001,machine_run_1,4.55
Human,H001,machine_run_2,4.5
Human,H001,machine_run_3,4.616666666666666
Human,H001,machine_run_4,4.516666666666667
Human,H002,machine_run_1,4.333333333333333
Human,H002,machine_run_2,4.333333333333333
Human,H002,machine_run_3,4.3
Human,H002,machine_run_4,4.3
Human,H003,machine_run_1,4.216666666666667
Human,H003,machine_run_2,4.183333333333333
Human,H003,machine_run_3,4.183333333333333
Human,H003,machine_run_4,4.116666666666666
Human,H004,machine_run_1,4.116666666666666
Human,H004,machine_run_2,3.95
Human,H004,machine_run_3,4.116666666666666
Human,H004,machine_run_4,4.1
Human,H005,machine_run_1,4.216666666666667
Human,H005,machine_run_2,4.216666666666667
Human,H005,machine_run_3,4.2
Human,H005,machine_run_4,4.216666666666667
Human,H006,machine_run_1,4.333333333333333
Human,H006,machine_run_2,4.333333333333334
Human,H006,machine_run_3,4.333333333333333
Human,H006,machine_run_4,4.383333333333333
Human,H007,machine_run_1,4.333333333333333
Human,H007,machine_run_2,4.333333333333333
Human,H007,machine_run_3,4.316666666666666
Human,H007,machine_run_4,4.333333333333333
Human,H008,machine_run_1,4.216666666666667
Human,H008,machine_run_2,4.266666666666667
Human,H008,machine_run_3,4.083333333333334
Human,H008,machine_run_4,4.283333333333333
Human,H009,machine_run_1,4.333333333333333
Human,H009,machine_run_2,4.383333333333333
Human,H009,machine_run_3,4.333333333333333
Human,H009,machine_run_4,4.222222222222222
Human,H010,machine_run_1,4.433333333333333
Human,H010,machine_run_2,4.433333333333333
Human,H010,machine_run_3,4.322222222222222
Human,H010,machine_run_4,4.2
Human,H011,machine_run_1,4.333333333333333
Human,H011,machine_run_2,4.188888888888888
Human,H011,machine_run_3,4.266666666666667
Human,H011,machine_run_4,4.333333333333333
Human,H012,machine_run_1,4.55
Human,H012,machine_run_2,4.433333333333334
Human,H012,machine_run_3,4.5
Human,H012,machine_run_4,4.516666666666667
Human,H013,machine_run_1,4.333333333333333
Human,H013,machine_run_2,4.333333333333333
Human,H013,machine_run_3,4.316666666666666
Human,H013,machine_run_4,4.333333333333333
Human,H014,machine_run_1,4.55
Human,H014,machine_run_2,4.416666666666666
Human,H014,machine_run_3,4.483333333333333
Human,H014,machine_run_4,4.55
Human,H015,machine_run_1,4.333333333333333
Human,H015,machine_run_2,4.333333333333333
Human,H015,machine_run_3,4.3
Human,H015,machine_run_4,4.333333333333333
Human,H016,machine_run_1,4.216666666666667
Human,H016,machine_run_2,4.216666666666667
Human,H016,machine_run_3,4.266666666666667
Human,H016,machine_run_4,4.116666666666666
Human,H017,machine_run_1,4.216666666666667
Human,H017,machine_run_2,4.183333333333333
Human,H017,machine_run_3,4.15
Human,H017,machine_run_4,4.116666666666666
Human,H018,machine_run_1,4.55
Human,H018,machine_run_2,4.483333333333333
Human,H018,machine_run_3,4.516666666666667
Human,H018,machine_run_4,4.55
Human,H019,machine_run_1,4.433333333333333
Human,H019,machine_run_2,4.4
Human,H019,machine_run_3,4.433333333333333
Human,H019,machine_run_4,4.25
Human,H020,machine_run_1,4.216666666666667
Human,H020,machine_run_2,4.133333333333334
Human,H020,machine_run_3,4.216666666666667
Human,H020,machine_run_4,4.333333333333333
Human,H021,machine_run_1,4.333333333333333
Human,H021,machine_run_2,4.3
Human,H021,machine_run_3,4.316666666666666
Human,H021,machine_run_4,4.333333333333333
Human,H022,machine_run_1,4.333333333333333
Human,H022,machine_run_2,4.383333333333333
Human,H022,machine_run_3,4.333333333333333
Human,H022,machine_run_4,4.2333333333333325
Human,H023,machine_run_1,4.433333333333333
Human,H023,machine_run_2,4.433333333333333
Human,H023,machine_run_3,4.3
Human,H023,machine_run_4,4.433333333333333
Human,H024,machine_run_1,4.55
Human,H024,machine_run_2,4.45
Human,H024,machine_run_3,4.55
Human,H024,machine_run_4,4.483333333333333
Human,H025,machine_run_1,4.333333333333333
Human,H025,machine_run_2,4.266666666666667
Human,H025,machine_run_3,4.35
Human,H025,machine_run_4,4.3
Human,H026,machine_run_1,4.55
Human,H026,machine_run_2,4.55
Human,H026,machine_run_3,4.516666666666667
Human,H026,machine_run_4,4.472222222222222
Human,H027,machine_run_1,4.55
Human,H027,machine_run_2,4.55
Human,H027,machine_run_3,4.516666666666667
Human,H027,machine_run_4,4.472222222222222
Human,H028,machine_run_1,4.55
Human,H028,machine_run_2,4.466666666666667
Human,H028,machine_run_3,4.555555555555555
Human,H028,machine_run_4,4.55
Human,H029,machine_run_1,4.55
Human,H029,machine_run_2,4.466666666666667
Human,H029,machine_run_3,4.555555555555555
Human,H029,machine_run_4,4.55
Human,H030,machine_run_1,4.55
Human,H030,machine_run_2,4.466666666666667
Human,H030,machine_run_3,4.555555555555555
Human,H030,machine_run_4,4.55
Human,H031,machine_run_1,4.55
Human,H031,machine_run_2,4.505555555555556
Human,H031,machine_run_3,4.483333333333333
Human,H031,machine_run_4,4.433333333333334
Human,H032,machine_run_1,4.55
Human,H032,machine_run_2,4.505555555555556
Human,H032,machine_run_3,4.483333333333333
Human,H032,machine_run_4,4.433333333333334
Human,H033,machine_run_1,4.55
Human,H033,machine_run_2,4.55
Human,H033,machine_run_3,4.433333333333334
Human,H033,machine_run_4,4.516666666666667
Human,H034,machine_run_1,4.55
Human,H034,machine_run_2,4.55
Human,H034,machine_run_3,4.433333333333334
Human,H034,machine_run_4,4.516666666666667
Human,H035,machine_run_1,4.55
Human,H035,machine_run_2,4.466666666666667
Human,H035,machine_run_3,4.55
Human,H035,machine_run_4,4.55
Human,H036,machine_run_1,4.55
Human,H036,machine_run_2,4.466666666666667
Human,H036,machine_run_3,4.55
Human,H036,machine_run_4,4.55
Human,H037,machine_run_1,4.55
Human,H037,machine_run_2,4.466666666666667
Human,H037,machine_run_3,4.55
Human,H037,machine_run_4,4.55
Human,H038,machine_run_1,4.55
Human,H038,machine_run_2,4.6
Human,H038,machine_run_3,4.416666666666666
Human,H038,machine_run_4,4.433333333333334
Human,H039,machine_run_1,4.55
Human,H039,machine_run_2,4.6
Human,H039,machine_run_3,4.416666666666666
Human,H039,machine_run_4,4.433333333333334
Human,H040,machine_run_1,4.55
Human,H040,machine_run_2,4.483333333333333
Human,H040,machine_run_3,4.466666666666667
Human,H040,machine_run_4,4.583333333333333
Human,H041,machine_run_1,4.55
Human,H041,machine_run_2,4.483333333333333
Human,H041,machine_run_3,4.466666666666667
Human,H041,machine_run_4,4.583333333333333
Human,H042,machine_run_1,4.55
Human,H042,machine_run_2,4.483333333333333
Human,H042,machine_run_3,4.466666666666667
Human,H042,machine_run_4,4.583333333333333
Human,H043,machine_run_1,4.366666666666666
Human,H043,machine_run_2,4.316666666666666
Human,H043,machine_run_3,4.333333333333333
