cognitive_level,cognitive_level_label,metric,source,within_sheet_item_seq,expert_mean_score
记忆,Knowledge,QGval,Human,1,4.857142857142858
记忆,Knowledge,QGval,Human,2,4.857142857142858
记忆,Knowledge,QGval,Human,3,4.904761904761905
记忆,Knowledge,QGval,Human,4,4.904761904761905
记忆,Knowledge,QGval,Human,5,4.904761904761905
记忆,Knowledge,QGval,Human,6,4.666666666666667
记忆,Knowledge,QGval,Human,7,4.9523809523809526
记忆,Knowledge,QGval,Human,8,5.0
记忆,Knowledge,QGval,Human,9,4.9523809523809526
记忆,Knowledge,QGval,Human,10,4.9523809523809526
记忆,Knowledge,QGval,MAS,1,5.0
记忆,Knowledge,QGval,MAS,2,5.0
记忆,Knowledge,QGval,MAS,3,5.0
记忆,Knowledge,QGval,MAS,4,5.0
记忆,Knowledge,QGval,MAS,5,5.0
记忆,Knowledge,QGval,MAS,6,5.0
记忆,Knowledge,QGval,MAS,7,4.9523809523809526
记忆,Knowledge,QGval,MAS,8,4.9523809523809526
记忆,Knowledge,QGval,MAS,9,4.9523809523809526
记忆,Knowledge,QGval,MAS,10,4.9523809523809526
记忆,Knowledge,ULM,Human,1,4.0
记忆,Knowledge,ULM,Human,2,3.6875
记忆,Knowledge,ULM,Human,3,3.8958333333333335
记忆,Knowledge,ULM,Human,4,3.9166666666666665
记忆,Knowledge,ULM,Human,5,3.9375
记忆,Knowledge,ULM,Human,6,3.6458333333333335
记忆,Knowledge,ULM,Human,7,3.8541666666666665
记忆,Knowledge,ULM,Human,8,4.020833333333333
记忆,Knowledge,ULM,Human,9,3.8958333333333335
记忆,Knowledge,ULM,Human,10,3.9375
记忆,Knowledge,ULM,MAS,1,4.0625
记忆,Knowledge,ULM,MAS,2,3.8333333333333335
记忆,Knowledge,ULM,MAS,3,4.125
记忆,Knowledge,ULM,MAS,4,4.020833333333333
记忆,Knowledge,ULM,MAS,5,3.8958333333333335
记忆,Knowledge,ULM,MAS,6,4.041666666666667
记忆,Knowledge,ULM,MAS,7,4.020833333333333
记忆,Knowledge,ULM,MAS,8,3.9166666666666665
