panel,student_id,training_setting,source_true,correct_rate,score_percent
Overall,S001,main,MAS,0.66,66.0
Overall,S002,main,MAS,0.52,52.0
Overall,S003,main,MAS,0.38,38.0
Overall,S004,main,MAS,0.46,46.0
Overall,S005,main,MAS,0.56,56.00000000000001
Overall,S006,main,MAS,0.6,60.0
Overall,S007,main,MAS,0.52,52.0
Overall,S008,main,MAS,0.62,62.0
Overall,S009,main,MAS,0.56,56.00000000000001
Overall,S010,main,MAS,0.68,68.0
Overall,S011,main,MAS,0.48,48.0
Overall,S012,main,MAS,0.68,68.0
Overall,S013,non_main,MAS,0.52,52.0
Overall,S014,main,MAS,0.72,72.0
Overall,S015,non_main,MAS,0.58,57.99999999999999
Overall,S016,non_main,MAS,0.52,52.0
Overall,S017,non_main,MAS,0.34,34.0
Overall,S018,non_main,MAS,0.58,57.99999999999999
Overall,S019,non_main,MAS,0.54,54.0
Overall,S020,non_main,MAS,0.64,64.0
Overall,S021,main,MAS,0.54,54.0
Overall,S022,main,MAS,0.42,42.0
Overall,S023,non_main,MAS,0.88,88.0
Overall,S024,non_main,MAS,0.88,88.0
Overall,S025,non_main,MAS,0.84,84.0
Overall,S026,main,MAS,0.62,62.0
Overall,S027,main,MAS,0.64,64.0
Overall,S028,main,MAS,0.8,80.0
Overall,S029,non_main,MAS,0.86,86.0
Overall,S030,non_main,MAS,0.68,68.0
Overall,S031,non_main,MAS,0.56,56.00000000000001
Overall,S032,non_main,MAS,0.46,46.0
Overall,S033,main,MAS,0.66,66.0
Overall,S034,main,MAS,0.78,78.0
Overall,S035,non_main,MAS,0.82,82.0
Overall,S036,non_main,MAS,0.76,76.0
Overall,S037,non_main,MAS,0.8,80.0
Overall,S038,main,MAS,0.52,52.0
Overall,S039,non_main,MAS,0.48,48.0
Overall,S040,main,MAS,0.58,57.99999999999999
Overall,S041,main,MAS,0.46,46.0
Overall,S042,main,MAS,0.5,50.0
Overall,S043,main,MAS,0.46,46.0
Overall,S044,main,MAS,0.62,62.0
Overall,S045,main,MAS,0.54,54.0
Overall,S046,main,MAS,0.5,50.0
Overall,S047,main,MAS,0.66,66.0
Overall,S048,main,MAS,0.68,68.0
Overall,S049,main,MAS,0.5,50.0
Overall,S050,main,MAS,0.56,56.00000000000001
Overall,S001,main,Human,0.68,68.0
Overall,S002,main,Human,0.54,54.0
Overall,S003,main,Human,0.5,50.0
Overall,S004,main,Human,0.42,42.0
Overall,S005,main,Human,0.64,64.0
Overall,S006,main,Human,0.54,54.0
Overall,S007,main,Human,0.6,60.0
Overall,S008,main,Human,0.68,68.0
Overall,S009,main,Human,0.74,74.0
Overall,S010,main,Human,0.64,64.0
Overall,S011,main,Human,0.54,54.0
Overall,S012,main,Human,0.7,70.0
