panel,cognitive_level,source_true,n_students,mean_correct_rate,ci_low,ci_high,comparison_method,p_value,significance_label
Overall,recall,Human,50,0.7428571428571429,0.6857142857142855,0.8028571428571426,Wilcoxon signed-rank,0.0820361281354391,n.s.
Overall,recall,MAS,50,0.7085714285714285,0.66,0.7571428571428571,Wilcoxon signed-rank,0.0820361281354391,n.s.
Overall,comprehension,Human,50,0.6866666666666665,0.5933333333333333,0.7733333333333333,Wilcoxon signed-rank,0.034931077893654496,n.s.
Overall,comprehension,MAS,50,0.58,0.5,0.6533333333333333,Wilcoxon signed-rank,0.034931077893654496,n.s.
Overall,application,Human,50,0.668888888888889,0.6244444444444445,0.71,Wilcoxon signed-rank,0.3905789907528655,n.s.
Overall,application,MAS,50,0.6677777777777778,0.6244444444444445,0.7111111111111111,Wilcoxon signed-rank,0.3905789907528655,n.s.
Overall,analysis,Human,50,0.5290909090909091,0.4881818181818182,0.5681818181818181,Paired t-test,0.7526295405381827,n.s.
Overall,analysis,MAS,50,0.5227272727272728,0.48090909090909084,0.5645454545454545,Paired t-test,0.7526295405381827,n.s.
Main campus,recall,Human,32,0.7142857142857143,0.6383928571428572,0.7901785714285714,Wilcoxon signed-rank,0.12377417625182946,n.s.
Main campus,recall,MAS,32,0.6741071428571428,0.6204241071428573,0.7276785714285714,Wilcoxon signed-rank,0.12377417625182946,n.s.
Main campus,comprehension,Human,32,0.6770833333333333,0.5625,0.78125,Wilcoxon signed-rank,0.03025735120893326,n.s.
Main campus,comprehension,MAS,32,0.5416666666666666,0.4375,0.6354166666666666,Wilcoxon signed-rank,0.03025735120893326,n.s.
Main campus,application,Human,32,0.6684027777777777,0.623263888888889,0.7083333333333333,Wilcoxon signed-rank,0.19345110652206632,n.s.
Main campus,application,MAS,32,0.6510416666666666,0.6059027777777778,0.6979166666666666,Wilcoxon signed-rank,0.19345110652206632,n.s.
Main campus,analysis,Human,32,0.5411931818181819,0.49002130681818185,0.5894886363636364,Paired t-test,0.02340637207250319,n.s.
Main campus,analysis,MAS,32,0.4914772727272727,0.4488281250000001,0.5369318181818181,Paired t-test,0.02340637207250319,n.s.
Non-main campus,recall,Human,18,0.7936507936507937,0.6984126984126984,0.8809523809523809,Wilcoxon signed-rank,0.4267047223481617,n.s.
Non-main campus,recall,MAS,18,0.7698412698412698,0.6746031746031746,0.8571428571428572,Wilcoxon signed-rank,0.4267047223481617,n.s.
Non-main campus,comprehension,Human,18,0.7037037037037037,0.537037037037037,0.8518518518518517,Paired t-test,0.5785552980043588,n.s.
Non-main campus,comprehension,MAS,18,0.6481481481481481,0.5,0.7777777777777778,Paired t-test,0.5785552980043588,n.s.
Non-main campus,application,Human,18,0.6697530864197531,0.5833333333333334,0.7530864197530865,Paired t-test,0.41273902129175943,n.s.
Non-main campus,application,MAS,18,0.6975308641975309,0.6080246913580247,0.7870370370370371,Paired t-test,0.41273902129175943,n.s.
Non-main campus,analysis,Human,18,0.5075757575757575,0.44696969696969696,0.5656565656565655,Paired t-test,0.06385633877060647,n.s.
Non-main campus,analysis,MAS,18,0.5782828282828283,0.5,0.6540404040404041,Paired t-test,0.06385633877060647,n.s.
