student_id,source_true,cognitive_level,adjusted_correct_probability
S001,Human,recall,0.7143115374241349
S002,Human,recall,0.5714004991708508
S003,Human,recall,0.5714004991708508
S004,Human,recall,0.28574010885270634
S005,Human,recall,0.5714543945669921
S006,Human,recall,0.7143115374241349
S007,Human,recall,0.5714004991708508
S008,Human,recall,0.5714316684656724
S009,Human,recall,0.8571459541799582
S010,Human,recall,0.7142576420279937
S011,Human,recall,0.7143115374241349
S012,Human,recall,0.9999719277422794
S013,Human,recall,0.714264502679413
S014,Human,recall,0.9999719277422794
S015,Human,recall,0.714264502679413
S016,Human,recall,0.42855021696512735
S017,Human,recall,0.5713650431932069
S018,Human,recall,0.8571216455365559
S019,Human,recall,0.8571034100632471
S020,Human,recall,0.5713891243489614
S021,Human,recall,0.7142888113228153
S022,Human,recall,0.9999719277422794
S023,Human,recall,0.9999364717646354
S024,Human,recall,0.9999364717646354
S025,Human,recall,0.9999605529203899
S026,Human,recall,0.8638929151973367
S027,Human,recall,1.0
S028,Human,recall,1.0
S029,Human,recall,1.0
S030,Human,recall,0.8626216179820029
S031,Human,recall,0.8633110074616658
S032,Human,recall,0.5775967217473801
S033,Human,recall,0.8638929151973367
S034,Human,recall,1.0
S035,Human,recall,1.0
S036,Human,recall,0.8633110074616658
S037,Human,recall,1.0
S038,Human,recall,0.4346414733150111
S039,Human,recall,0.43446887711215987
S040,Human,recall,0.5774986161721539
S041,Human,recall,0.7203557590292968
S042,Human,recall,0.5774986161721539
S043,Human,recall,0.29220048813769967
S044,Human,recall,0.43532148662590814
S045,Human,recall,0.7210357723401939
S046,Human,recall,0.8632129018864396
S047,Human,recall,1.0
S048,Human,recall,0.8638929151973367
S049,Human,recall,0.7210357723401939
S050,Human,recall,0.43505763099484257
S001,MAS,recall,0.7189501977471027
S002,MAS,recall,0.7187392645909108
S003,MAS,recall,0.5758821217337678
S004,MAS,recall,0.5760930548899599
S005,MAS,recall,0.5760930548899599
S006,MAS,recall,0.7189501977471027
S007,MAS,recall,0.5758821217337678
S008,MAS,recall,0.5760199570128072
S009,MAS,recall,0.8617342427270929
S010,MAS,recall,0.5758821217337678
S011,MAS,recall,0.5760930548899599
S012,MAS,recall,0.8615964074480535
S013,MAS,recall,0.4330598294142752
S014,MAS,recall,0.8615964074480535
S015,MAS,recall,0.7187741151285609
S016,MAS,recall,0.8616312579857037
S017,MAS,recall,0.5756433940837671
S018,MAS,recall,1.0
S019,MAS,recall,0.575817435475273
S020,MAS,recall,0.575817435475273
S021,MAS,recall,0.4331628141556644
S022,MAS,recall,0.5758821217337678
S023,MAS,recall,0.8613576797980528
S024,MAS,recall,0.8613576797980528
S025,MAS,recall,0.8615317211895587
S026,MAS,recall,0.7115480906515387
S027,MAS,recall,0.8545327016823207
S028,MAS,recall,0.8545327016823207
S029,MAS,recall,0.997860048542624
S030,MAS,recall,0.997860048542624
S031,MAS,recall,0.8546838856438111
S032,MAS,recall,0.5689695999295254
S033,MAS,recall,0.4258338049372529
S034,MAS,recall,0.8547299967298224
S035,MAS,recall,0.8550029056854811
S036,MAS,recall,0.8546838856438111
S037,MAS,recall,0.997860048542624
S038,MAS,recall,0.5690157110155367
S039,MAS,recall,0.4262391089375655
S040,MAS,recall,0.2833014253012511
S041,MAS,recall,0.5690157110155367
S042,MAS,recall,0.5690157110155367
S043,MAS,recall,0.7116755588251777
S044,MAS,recall,0.9972623763658244
S045,MAS,recall,0.7115480906515387
S046,MAS,recall,0.7118728538726796
S047,MAS,recall,0.7115480906515387
S048,MAS,recall,0.8544052335086815
S049,MAS,recall,0.8544052335086815
S050,MAS,recall,0.568818415968035
S001,Human,comprehension,0.9864886003603031
S002,Human,comprehension,0.9869854167094185
S003,Human,comprehension,0.9869854167094185
S004,Human,comprehension,0.3198219336936365
S005,Human,comprehension,0.9864886003603031
S006,Human,comprehension,0.6531552670269698
S007,Human,comprehension,0.32031875004275184
S008,Human,comprehension,0.986652368712791
S009,Human,comprehension,0.986652368712791
S010,Human,comprehension,0.6536520833760852
S011,Human,comprehension,0.6531552670269698
S012,Human,comprehension,0.32031875004275184
S013,Human,comprehension,0.9868990815508035
S014,Human,comprehension,0.6536520833760852
S015,Human,comprehension,0.9868990815508035
S016,Human,comprehension,0.9868990815508035
S017,Human,comprehension,0.3209344062090232
S018,Human,comprehension,0.6535657482174702
S019,Human,comprehension,0.9871485112628416
S020,Human,comprehension,0.9871485112628416
S021,Human,comprehension,0.6533190353794577
S022,Human,comprehension,0.32031875004275184
S023,Human,comprehension,0.6542677395423565
S024,Human,comprehension,0.6542677395423565
S025,Human,comprehension,0.6538151779295083
S026,Human,comprehension,0.9943253212738565
S027,Human,comprehension,0.32767250446353163
S028,Human,comprehension,0.661005837796865
S029,Human,comprehension,0.9945820058274196
S030,Human,comprehension,0.6612486724940863
S031,Human,comprehension,0.0
S032,Human,comprehension,0.0
S033,Human,comprehension,0.32765865460718985
S034,Human,comprehension,0.9944050410207055
S035,Human,comprehension,0.9945820058274196
S036,Human,comprehension,0.6610515856499889
S037,Human,comprehension,0.9945820058274196
S038,Human,comprehension,0.6610717076873721
S039,Human,comprehension,0.3277803363144017
S040,Human,comprehension,0.9944050410207055
S041,Human,comprehension,0.9944050410207055
S042,Human,comprehension,0.32773837435403885
S043,Human,comprehension,0.0
S044,Human,comprehension,0.9943253212738565
S045,Human,comprehension,0.32765865460718985
S046,Human,comprehension,0.32773837435403885
S047,Human,comprehension,0.9943253212738565
S048,Human,comprehension,0.9943253212738565
S049,Human,comprehension,0.32765865460718985
S050,Human,comprehension,0.661005837796865
S001,MAS,comprehension,0.9295529291709315
S002,MAS,comprehension,0.0
S003,MAS,comprehension,0.0
S004,MAS,comprehension,0.5962195958375982
S005,MAS,comprehension,0.26288626250426483
S006,MAS,comprehension,0.5962195958375982
S007,MAS,comprehension,0.5961385276926853
S008,MAS,comprehension,0.26268261724884695
S009,MAS,comprehension,0.5960159505821803
S010,MAS,comprehension,0.5961385276926853
S011,MAS,comprehension,0.26288626250426483
S012,MAS,comprehension,0.5961385276926853
S013,MAS,comprehension,0.5960620639448833
S014,MAS,comprehension,0.2628051943593519
S015,MAS,comprehension,0.5960620639448833
S016,MAS,comprehension,0.0
S017,MAS,comprehension,0.26387194098726957
S018,MAS,comprehension,0.9293953972782166
S019,MAS,comprehension,0.2630096269304703
S020,MAS,comprehension,0.929676293597137
S021,MAS,comprehension,0.5960159505821803
S022,MAS,comprehension,0.2628051943593519
S023,MAS,comprehension,0.5972052743206029
S024,MAS,comprehension,0.9305386076539361
S025,MAS,comprehension,0.929676293597137
S026,MAS,comprehension,0.587563644832393
S027,MAS,comprehension,0.5877737586425252
S028,MAS,comprehension,0.9211070919758586
S029,MAS,comprehension,0.9240048695677607
S030,MAS,comprehension,0.9240048695677607
S031,MAS,comprehension,0.2550068165366079
S032,MAS,comprehension,0.5883401498699412
S033,MAS,comprehension,0.587563644832393
S034,MAS,comprehension,0.5885811817471555
S035,MAS,comprehension,0.5906715362344275
S036,MAS,comprehension,0.2550068165366079
S037,MAS,comprehension,0.5906715362344275
S038,MAS,comprehension,0.9219145150804888
S039,MAS,comprehension,0.2557458621714582
S040,MAS,comprehension,0.5885811817471555
S041,MAS,comprehension,0.0
S042,MAS,comprehension,0.5885811817471555
S043,MAS,comprehension,0.25444042530919186
S044,MAS,comprehension,0.587563644832393
S045,MAS,comprehension,0.587563644832393
S046,MAS,comprehension,0.5885811817471555
S047,MAS,comprehension,0.2542303114990596
S048,MAS,comprehension,0.587563644832393
S049,MAS,comprehension,0.0
S050,MAS,comprehension,0.5877737586425252
S001,Human,application,0.7233417414659074
S002,Human,application,0.556639819084348
S003,Human,application,0.5010842635287924
S004,Human,application,0.4455639636881296
S005,Human,application,0.6122306303547963
S006,Human,application,0.5566750747992407
S007,Human,application,0.7788620413065703
S008,Human,application,0.7233308037902451
S009,Human,application,0.7233308037902451
S010,Human,application,0.7233064857510147
S011,Human,application,0.6122306303547963
S012,Human,application,0.7233064857510147
S013,Human,application,0.7788685104854481
S014,Human,application,0.7788620413065703
S015,Human,application,0.5010907327076703
S016,Human,application,0.5010907327076703
S017,Human,application,0.6121474792281012
S018,Human,application,0.6677573993743371
S019,Human,application,0.5566273875581036
S020,Human,application,0.7788496097803259
S021,Human,application,0.6677752482346895
S022,Human,application,0.556639819084348
S023,Human,application,0.8343697014503234
S024,Human,application,0.889925257005879
S025,Human,application,0.8344051653358814
S026,Human,application,0.7310311330486238
S027,Human,application,0.786382151201199
S028,Human,application,0.786382151201199
S029,Human,application,0.8965795837784666
S030,Human,application,0.6743573615562444
S031,Human,application,0.23055961843575973
S032,Human,application,0.34167072954687083
S033,Human,application,0.7865866886041794
S034,Human,application,0.8971397364092017
S035,Human,application,0.7854684726673555
S036,Human,application,0.8416707295468708
S037,Human,application,0.7854684726673555
S038,Human,application,0.5638064030758684
S039,Human,application,0.6192051383285834
S040,Human,application,0.730473069742535
S041,Human,application,0.6749175141869794
S042,Human,application,0.6749175141869794
S043,Human,application,0.28638215120119903
S044,Human,application,0.7310311330486238
S045,Human,application,0.6754755774930682
S046,Human,application,0.6749175141869794
S047,Human,application,0.8976977997152904
S048,Human,application,0.7865866886041794
S049,Human,application,0.5643644663819571
S050,Human,application,0.6197154845345324
S001,MAS,application,0.7850025291568871
S002,MAS,application,0.506737316198454
S003,MAS,application,0.34007064953178734
S004,MAS,application,0.5627803069346649
S005,MAS,application,0.6183358624902204
S006,MAS,application,0.5627803069346649
S007,MAS,application,0.506737316198454
S008,MAS,application,0.6737111116897496
S009,MAS,application,0.5626000005786386
S010,MAS,application,0.7845150939762318
S011,MAS,application,0.5072247513791093
S012,MAS,application,0.7289595384206762
S013,MAS,application,0.6734787420947023
S014,MAS,application,0.8400706495317873
S015,MAS,application,0.5623676309835912
S016,MAS,application,0.45125651987248006
S017,MAS,application,0.4507029511226584
S018,MAS,application,0.5068120754280356
S019,MAS,application,0.6177135621071184
S020,MAS,application,0.6732691176626739
S021,MAS,application,0.5626000005786386
