student_id,cognitive_level,source_true,correct_rate
S001,recall,Human,0.7142857142857143
S001,recall,MAS,0.7142857142857143
S002,recall,Human,0.5714285714285714
S002,recall,MAS,0.7142857142857143
S003,recall,Human,0.5714285714285714
S003,recall,MAS,0.5714285714285714
S004,recall,Human,0.2857142857142857
S004,recall,MAS,0.5714285714285714
S005,recall,Human,0.5714285714285714
S005,recall,MAS,0.5714285714285714
S006,recall,Human,0.7142857142857143
S006,recall,MAS,0.7142857142857143
S007,recall,Human,0.5714285714285714
S007,recall,MAS,0.5714285714285714
S008,recall,Human,0.5714285714285714
S008,recall,MAS,0.5714285714285714
S009,recall,Human,0.8571428571428571
S009,recall,MAS,0.8571428571428571
S010,recall,Human,0.7142857142857143
S010,recall,MAS,0.5714285714285714
S011,recall,Human,0.7142857142857143
S011,recall,MAS,0.5714285714285714
S012,recall,Human,1.0
S012,recall,MAS,0.8571428571428571
S013,recall,Human,0.7142857142857143
S013,recall,MAS,0.42857142857142855
S014,recall,Human,1.0
S014,recall,MAS,0.8571428571428571
S015,recall,Human,0.7142857142857143
S015,recall,MAS,0.7142857142857143
S016,recall,Human,0.42857142857142855
S016,recall,MAS,0.8571428571428571
S017,recall,Human,0.5714285714285714
S017,recall,MAS,0.5714285714285714
S018,recall,Human,0.8571428571428571
S018,recall,MAS,1.0
S019,recall,Human,0.8571428571428571
S019,recall,MAS,0.5714285714285714
S020,recall,Human,0.5714285714285714
S020,recall,MAS,0.5714285714285714
S021,recall,Human,0.7142857142857143
S021,recall,MAS,0.42857142857142855
S022,recall,Human,1.0
S022,recall,MAS,0.5714285714285714
S023,recall,Human,1.0
S023,recall,MAS,0.8571428571428571
S024,recall,Human,1.0
S024,recall,MAS,0.8571428571428571
S025,recall,Human,1.0
S025,recall,MAS,0.8571428571428571
S026,recall,Human,0.8571428571428571
S026,recall,MAS,0.7142857142857143
S027,recall,Human,1.0
S027,recall,MAS,0.8571428571428571
S028,recall,Human,1.0
