source_true,blueprint_cognitive_level,item_type_group,n_items,mean_difficulty,sd_difficulty,mean_discrimination,sd_discrimination
Human,analysis,A3/A4,14,0.6528571428571429,0.2456523049862446,0.33163265306122447,0.13897794359057386
Human,analysis,X,8,0.3125,0.24259018941416408,0.1517857142857143,0.16832869067677164
Human,application,A2/A3/A4,18,0.6688888888888889,0.24333199032667255,0.3055555555555556,0.1545732528270307
Human,comprehension,A1/B,3,0.6866666666666666,0.061101009266077894,0.35714285714285715,0.3273268353539886
Human,recall,A1/B,7,0.7428571428571429,0.16509737386507048,0.37755102040816324,0.21710167887391763
MAS,analysis,A3/A4,14,0.6385714285714286,0.22111108043268635,0.2959183673469388,0.13394492312528444
MAS,analysis,X,8,0.32,0.23952333617296787,0.3392857142857143,0.2692988412325847
MAS,application,A2/A3/A4,18,0.6677777777777778,0.21256294723198516,0.32539682539682535,0.20087178279335893
MAS,comprehension,A1/B,3,0.58,0.163707055437449,0.28571428571428564,0.25753937681885636
MAS,recall,A1/B,7,0.7085714285714285,0.22326580357864712,0.20408163265306123,0.19530445197218493
