item_id,n_responses,difficulty,upper_27_correct_rate,lower_27_correct_rate,discrimination_upper_minus_lower,upper_group_n,lower_group_n,source_true,blueprint_cognitive_level
H001,50,0.08,0.0,0.0,0.0,14,14,Human,application
H002,50,0.68,0.7857142857142857,0.5,0.2857142857142857,14,14,Human,application
H003,50,0.78,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,recall
H004,50,0.78,1.0,0.7857142857142857,0.2142857142857143,14,14,Human,recall
H005,50,0.86,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,recall
H006,50,0.9,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,application
H007,50,0.86,1.0,0.7857142857142857,0.2142857142857143,14,14,Human,application
H008,50,0.98,1.0,0.9285714285714286,0.0714285714285714,14,14,Human,recall
H009,50,0.92,1.0,0.8571428571428571,0.1428571428571429,14,14,Human,application
H010,50,0.48,0.6428571428571429,0.35714285714285715,0.28571428571428575,14,14,Human,application
H011,50,0.92,1.0,0.8571428571428571,0.1428571428571429,14,14,Human,application
H012,50,0.88,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,application
H013,50,0.84,0.9285714285714286,0.6428571428571429,0.2857142857142857,14,14,Human,application
H014,50,0.38,0.7142857142857143,0.21428571428571427,0.5,14,14,Human,application
H015,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,application
H016,50,0.46,0.7857142857142857,0.21428571428571427,0.5714285714285714,14,14,Human,recall
H017,50,0.66,1.0,0.35714285714285715,0.6428571428571428,14,14,Human,recall
H018,50,0.62,0.9285714285714286,0.5,0.4285714285714286,14,14,Human,application
H019,50,0.72,0.7857142857142857,0.6428571428571429,0.1428571428571428,14,14,Human,application
H020,50,0.68,1.0,0.42857142857142855,0.5714285714285714,14,14,Human,recall
H021,50,0.3,0.6428571428571429,0.0,0.6428571428571429,14,14,Human,application
H022,50,0.74,0.8571428571428571,0.5,0.3571428571428571,14,14,Human,application
H023,50,0.82,1.0,0.5,0.5,14,14,Human,application
H024,50,0.5,0.6428571428571429,0.2857142857142857,0.3571428571428572,14,14,Human,application
H025,50,0.54,0.7857142857142857,0.5714285714285714,0.2142857142857143,14,14,Human,application
H026,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis
H027,50,0.46,0.9285714285714286,0.2857142857142857,0.6428571428571429,14,14,Human,analysis
H028,50,0.4,0.5,0.2857142857142857,0.2142857142857143,14,14,Human,analysis
H029,50,0.28,0.35714285714285715,0.14285714285714285,0.2142857142857143,14,14,Human,analysis
H030,50,0.22,0.2857142857142857,0.14285714285714285,0.14285714285714285,14,14,Human,analysis
H031,50,0.72,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis
H032,50,0.92,1.0,0.7142857142857143,0.2857142857142857,14,14,Human,analysis
H033,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis
H034,50,0.42,0.7142857142857143,0.21428571428571427,0.5,14,14,Human,analysis
H035,50,0.66,0.8571428571428571,0.35714285714285715,0.49999999999999994,14,14,Human,analysis
H036,50,0.76,0.9285714285714286,0.6428571428571429,0.2857142857142857,14,14,Human,analysis
H037,50,0.84,0.8571428571428571,0.6428571428571429,0.2142857142857142,14,14,Human,analysis
H038,50,0.86,1.0,0.6428571428571429,0.3571428571428571,14,14,Human,analysis
H039,50,0.88,0.9285714285714286,0.7142857142857143,0.2142857142857143,14,14,Human,analysis
H040,50,0.62,0.5,0.5,0.0,14,14,Human,comprehension
H041,50,0.7,0.9285714285714286,0.2857142857142857,0.6428571428571429,14,14,Human,comprehension
H042,50,0.74,0.8571428571428571,0.42857142857142855,0.42857142857142855,14,14,Human,comprehension
H043,50,0.6,0.6428571428571429,0.2857142857142857,0.3571428571428572,14,14,Human,analysis
H044,50,0.1,0.0,0.21428571428571427,-0.21428571428571427,14,14,Human,analysis
H045,50,0.12,0.2857142857142857,0.07142857142857142,0.21428571428571427,14,14,Human,analysis
H046,50,0.14,0.2857142857142857,0.07142857142857142,0.21428571428571427,14,14,Human,analysis
H047,50,0.48,0.6428571428571429,0.42857142857142855,0.21428571428571436,14,14,Human,analysis
H048,50,0.68,0.7857142857142857,0.7142857142857143,0.0714285714285714,14,14,Human,analysis
H049,50,0.3,0.2857142857142857,0.14285714285714285,0.14285714285714285,14,14,Human,analysis
H050,50,0.08,0.21428571428571427,0.0,0.21428571428571427,14,14,Human,analysis
M001,50,0.62,0.8571428571428571,0.42857142857142855,0.42857142857142855,14,14,MAS,recall
M002,50,0.94,1.0,1.0,0.0,14,14,MAS,recall
M003,50,0.88,1.0,0.7142857142857143,0.2857142857142857,14,14,MAS,application
M004,50,0.58,0.8571428571428571,0.2857142857142857,0.5714285714285714,14,14,MAS,application
M005,50,0.96,0.9285714285714286,0.9285714285714286,0.0,14,14,MAS,application
M006,50,0.56,0.5714285714285714,0.5714285714285714,0.0,14,14,MAS,recall
