expert,source_true,item_key,item_no,item_type,cognitive_level,guessed_mas,correct_source_guess,quality_score
Expert 1,Human,Human_A1_003_1,3,A1,recall,0,1,4.304347826086956
Expert 1,Human,Human_A1_004_1,4,A1,recall,0,1,3.782608695652174
Expert 1,Human,Human_A1_005_1,5,A1,recall,0,1,4.043478260869565
Expert 1,Human,Human_A1_014_1,14,A1,recall,1,0,4.086956521739131
Expert 1,Human,Human_A1_015_1,15,A1,recall,0,1,4.130434782608695
Expert 1,Human,Human_A1_016_1,16,A1,recall,0,1,4.0
Expert 1,Human,Human_A1_017_1,17,A1,recall,0,1,4.043478260869565
Expert 1,Human,Human_A2_001_1,1,A2,application,1,0,3.5652173913043477
Expert 1,Human,Human_A2_002_1,2,A2,application,1,0,4.217391304347826
Expert 1,Human,Human_A2_006_1,6,A2,application,0,1,4.173913043478261
Expert 1,Human,Human_A2_007_1,7,A2,application,0,1,4.217391304347826
Expert 1,Human,Human_A2_017_1,17,A2,application,0,1,4.0
Expert 1,Human,Human_A2_026_1,26,A2,application,1,0,4.0
Expert 1,Human,Human_A2_027_1,27,A2,application,0,1,4.173913043478261
Expert 1,Human,Human_A2_028_1,28,A2,application,0,1,4.434782608695652
Expert 1,Human,Human_A2_029_1,29,A2,application,0,1,4.217391304347826
Expert 1,Human,Human_A2_030_1,30,A2,application,1,0,4.434782608695652
Expert 1,Human,Human_A2_031_1,31,A2,application,1,0,4.173913043478261
Expert 1,Human,Human_A2_032_1,32,A2,application,0,1,4.434782608695652
Expert 1,Human,Human_A2_033_1,33,A2,application,0,1,4.173913043478261
Expert 1,Human,Human_A2_034_1,34,A2,application,1,0,4.130434782608695
Expert 1,Human,Human_A2_035_1,35,A2,application,1,0,4.434782608695652
Expert 1,Human,Human_A2_036_1,36,A2,application,1,0,4.260869565217392
Expert 1,Human,Human_A2_037_1,37,A2,application,1,0,4.434782608695652
Expert 1,Human,Human_A2_038_1,38,A2,application,0,1,4.304347826086956
Expert 1,Human,Human_A3/A4_001_1,1,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_A3/A4_002_1,2,A3/A4,analysis,1,0,4.434782608695652
Expert 1,Human,Human_A3/A4_003_1,3,A3/A4,analysis,0,1,4.434782608695652
Expert 1,Human,Human_A3/A4_004_1,4,A3/A4,analysis,0,1,4.391304347826087
Expert 1,Human,Human_A3/A4_005_1,5,A3/A4,analysis,0,1,4.478260869565218
Expert 1,Human,Human_A3/A4_006_1,6,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_A3/A4_007_1,7,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_A3/A4_008_1,8,A3/A4,analysis,0,1,4.434782608695652
Expert 1,Human,Human_A3/A4_009_1,9,A3/A4,analysis,0,1,4.478260869565218
Expert 1,Human,Human_A3/A4_010_1,10,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_A3/A4_011_1,11,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_A3/A4_012_1,12,A3/A4,analysis,1,0,4.521739130434782
Expert 1,Human,Human_A3/A4_013_1,13,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_A3/A4_014_1,14,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_B_007_1,7,B,comprehension,0,1,4.304347826086956
Expert 1,Human,Human_B_008_1,8,B,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_B_009_1,9,B,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_X_002_1,2,X,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_X_003_1,3,X,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_X_004_1,4,X,comprehension,1,0,4.434782608695652
Expert 1,Human,Human_X_005_1,5,X,comprehension,0,1,4.260869565217392
Expert 1,Human,Human_X_006_1,6,X,comprehension,1,0,4.086956521739131
Expert 1,Human,Human_X_007_1,7,X,comprehension,1,0,4.260869565217392
Expert 1,Human,Human_X_008_1,8,X,comprehension,0,1,4.217391304347826
Expert 1,Human,Human_X_012_1,12,X,comprehension,0,1,4.391304347826087
Expert 1,Human,Human_A1_018_1,18,A1,recall,0,1,4.304347826086956
Expert 1,Human,Human_A1_019_1,19,A1,recall,1,0,4.086956521739131
Expert 1,Human,Human_A1_020_1,20,A1,recall,1,0,4.130434782608695
Expert 1,Human,Human_A2_044_1,44,A2,application,1,0,4.260869565217392
Expert 1,Human,Human_A2_045_1,45,A2,application,0,1,4.434782608695652
Expert 1,Human,Human_A2_046_1,46,A2,application,0,1,4.260869565217392
Expert 1,Human,Human_A2_047_1,47,A2,application,1,0,4.434782608695652
Expert 1,Human,Human_A2_048_1,48,A2,application,1,0,4.260869565217392
Expert 1,Human,Human_A2_049_1,49,A2,application,0,1,4.434782608695652
Expert 1,Human,Human_A2_050_1,50,A2,application,0,1,4.260869565217392
Expert 1,Human,Human_A3/A4_033_1,33,A3/A4,analysis,0,1,4.478260869565218
Expert 1,Human,Human_A3/A4_034_1,34,A3/A4,analysis,0,1,4.478260869565218
Expert 1,Human,Human_A3/A4_035_1,35,A3/A4,analysis,1,0,4.521739130434782
Expert 1,Human,Human_A3/A4_036_1,36,A3/A4,analysis,1,0,4.478260869565218
Expert 1,Human,Human_B_010_1,10,B,comprehension,0,1,4.304347826086956
Expert 1,Human,Human_B_011_1,11,B,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_B_012_1,12,B,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_X_020_1,20,X,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_X_021_1,21,X,comprehension,0,1,4.3478260869565215
Expert 1,Human,Human_X_022_1,22,X,comprehension,1,0,4.434782608695652
Expert 1,MAS,MAS_A1_001_1,1,A1,recall,1,1,4.260869565217392
Expert 1,MAS,MAS_A1_002_1,2,A1,recall,0,0,4.0
Expert 1,MAS,MAS_A1_006_1,6,A1,recall,1,1,4.217391304347826
Expert 1,MAS,MAS_A1_007_1,7,A1,recall,0,0,4.130434782608695
Expert 1,MAS,MAS_A1_011_1,11,A1,recall,0,0,4.043478260869565
Expert 1,MAS,MAS_A1_012_1,12,A1,recall,0,0,4.217391304347826
Expert 1,MAS,MAS_A1_013_1,13,A1,recall,0,0,4.217391304347826
Expert 1,MAS,MAS_A2_003_1,3,A2,application,0,0,4.434782608695652
Expert 1,MAS,MAS_A2_004_1,4,A2,application,1,1,4.434782608695652
Expert 1,MAS,MAS_A2_005_1,5,A2,application,1,1,4.565217391304348
Expert 1,MAS,MAS_A2_008_1,8,A2,application,0,0,4.478260869565218
Expert 1,MAS,MAS_A2_009_1,9,A2,application,1,1,4.521739130434782
Expert 1,MAS,MAS_A2_010_1,10,A2,application,1,1,4.434782608695652
Expert 1,MAS,MAS_A2_011_1,11,A2,application,1,1,4.521739130434782
Expert 1,MAS,MAS_A2_012_1,12,A2,application,1,1,4.391304347826087
Expert 1,MAS,MAS_A2_013_1,13,A2,application,0,0,4.478260869565218
Expert 1,MAS,MAS_A2_014_1,14,A2,application,0,0,4.434782608695652
Expert 1,MAS,MAS_A2_015_1,15,A2,application,1,1,4.217391304347826
Expert 1,MAS,MAS_A2_016_1,16,A2,application,0,0,4.217391304347826
Expert 1,MAS,MAS_A2_025_1,25,A2,application,0,0,4.434782608695652
Expert 1,MAS,MAS_A2_039_1,39,A2,application,1,1,4.130434782608695
Expert 1,MAS,MAS_A2_040_1,40,A2,application,0,0,4.217391304347826
Expert 1,MAS,MAS_A2_041_1,41,A2,application,0,0,4.304347826086956
Expert 1,MAS,MAS_A2_042_1,42,A2,application,0,0,4.521739130434782
Expert 1,MAS,MAS_A2_043_1,43,A2,application,1,1,4.260869565217392
Expert 1,MAS,MAS_A3/A4_019_1,19,A3/A4,analysis,0,0,4.478260869565218
Expert 1,MAS,MAS_A3/A4_020_1,20,A3/A4,analysis,0,0,4.478260869565218
Expert 1,MAS,MAS_A3/A4_021_1,21,A3/A4,analysis,0,0,4.434782608695652
Expert 1,MAS,MAS_A3/A4_022_1,22,A3/A4,analysis,1,1,4.3478260869565215
Expert 1,MAS,MAS_A3/A4_023_1,23,A3/A4,analysis,1,1,4.391304347826087
Expert 1,MAS,MAS_A3/A4_024_1,24,A3/A4,analysis,1,1,4.434782608695652
Expert 1,MAS,MAS_A3/A4_025_1,25,A3/A4,analysis,1,1,4.434782608695652
Expert 1,MAS,MAS_A3/A4_026_1,26,A3/A4,analysis,1,1,4.434782608695652
Expert 1,MAS,MAS_A3/A4_027_1,27,A3/A4,analysis,0,0,4.521739130434782
Expert 1,MAS,MAS_A3/A4_028_1,28,A3/A4,analysis,0,0,4.521739130434782
Expert 1,MAS,MAS_A3/A4_029_1,29,A3/A4,analysis,0,0,4.434782608695652
Expert 1,MAS,MAS_A3/A4_030_1,30,A3/A4,analysis,0,0,4.260869565217392
Expert 1,MAS,MAS_A3/A4_031_1,31,A3/A4,analysis,0,0,4.260869565217392
Expert 1,MAS,MAS_A3/A4_032_1,32,A3/A4,analysis,0,0,4.260869565217392
Expert 1,MAS,MAS_B_001_1,1,B,comprehension,0,0,4.434782608695652
Expert 1,MAS,MAS_B_002_1,2,B,comprehension,0,0,4.434782608695652
Expert 1,MAS,MAS_B_003_1,3,B,comprehension,0,0,4.434782608695652
Expert 1,MAS,MAS_X_001_1,1,X,comprehension,1,1,4.130434782608695
Expert 1,MAS,MAS_X_013_1,13,X,comprehension,1,1,4.217391304347826
Expert 1,MAS,MAS_X_014_1,14,X,comprehension,1,1,4.173913043478261
Expert 1,MAS,MAS_X_015_1,15,X,comprehension,0,0,4.260869565217392
Expert 1,MAS,MAS_X_016_1,16,X,comprehension,1,1,4.608695652173913
Expert 1,MAS,MAS_X_017_1,17,X,comprehension,0,0,4.608695652173913
Expert 1,MAS,MAS_X_018_1,18,X,comprehension,0,0,4.173913043478261
Expert 1,MAS,MAS_X_019_1,19,X,comprehension,0,0,4.3478260869565215
Expert 1,MAS,MAS_A1_008_1,8,A1,recall,1,1,4.086956521739131
Expert 1,MAS,MAS_A1_009_1,9,A1,recall,0,0,4.130434782608695
Expert 1,MAS,MAS_A1_010_1,10,A1,recall,0,0,4.130434782608695
Expert 1,MAS,MAS_A2_018_1,18,A2,application,1,1,4.304347826086956
Expert 1,MAS,MAS_A2_019_1,19,A2,application,0,0,4.130434782608695
Expert 1,MAS,MAS_A2_020_1,20,A2,application,1,1,4.391304347826087
Expert 1,MAS,MAS_A2_021_1,21,A2,application,1,1,4.260869565217392
Expert 1,MAS,MAS_A2_022_1,22,A2,application,0,0,4.478260869565218
Expert 1,MAS,MAS_A2_023_1,23,A2,application,0,0,4.3478260869565215
Expert 1,MAS,MAS_A2_024_1,24,A2,application,0,0,4.391304347826087
Expert 1,MAS,MAS_A3/A4_015_1,15,A3/A4,analysis,1,1,4.217391304347826
Expert 1,MAS,MAS_A3/A4_016_1,16,A3/A4,analysis,1,1,4.217391304347826
Expert 1,MAS,MAS_A3/A4_017_1,17,A3/A4,analysis,1,1,4.260869565217392
Expert 1,MAS,MAS_A3/A4_018_1,18,A3/A4,analysis,1,1,4.260869565217392
Expert 1,MAS,MAS_B_004_1,4,B,comprehension,0,0,4.260869565217392
Expert 1,MAS,MAS_B_005_1,5,B,comprehension,1,1,4.260869565217392
Expert 1,MAS,MAS_B_006_1,6,B,comprehension,0,0,4.217391304347826
Expert 1,MAS,MAS_X_009_1,9,X,comprehension,0,0,4.173913043478261
Expert 1,MAS,MAS_X_010_1,10,X,comprehension,0,0,4.217391304347826
Expert 1,MAS,MAS_X_011_1,11,X,comprehension,0,0,4.217391304347826
Expert 3,Human,Human_A1_003_1,3,A1,recall,0,1,4.434782608695652
Expert 3,Human,Human_A1_004_1,4,A1,recall,0,1,4.565217391304348
Expert 3,Human,Human_A1_005_1,5,A1,recall,0,1,4.565217391304348
Expert 3,Human,Human_A1_014_1,14,A1,recall,0,1,4.565217391304348
Expert 3,Human,Human_A1_015_1,15,A1,recall,0,1,4.565217391304348
Expert 3,Human,Human_A1_016_1,16,A1,recall,1,0,4.086956521739131
Expert 3,Human,Human_A1_017_1,17,A1,recall,0,1,4.565217391304348
Expert 3,Human,Human_A2_001_1,1,A2,application,1,0,4.043478260869565
Expert 3,Human,Human_A2_002_1,2,A2,comprehension,0,1,4.565217391304348
Expert 3,Human,Human_A2_006_1,6,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_007_1,7,A2,comprehension,0,1,4.565217391304348
Expert 3,Human,Human_A2_017_1,17,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_026_1,26,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_027_1,27,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_028_1,28,A2,application,0,1,4.6521739130434785
Expert 3,Human,Human_A2_029_1,29,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_030_1,30,A2,application,0,1,4.826086956521739
Expert 3,Human,Human_A2_031_1,31,A2,application,0,1,4.6521739130434785
Expert 3,Human,Human_A2_032_1,32,A2,application,0,1,4.6521739130434785
Expert 3,Human,Human_A2_033_1,33,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_034_1,34,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_035_1,35,A2,application,0,1,4.565217391304348
Expert 3,Human,Human_A2_036_1,36,A2,application,0,1,4.565217391304348
