item_id,paper,paper_item_no,source_true,item_type,rater_id,run_id,rater_phase,answer_key,answer_key_format_ok,guideline_consistency_score_5,single_best_answer_score_5,answer_key_validation_score_5,distractor_effectiveness_score_5,stem_ambiguity_control_score_5,guideline_consistency_pass,single_best_answer_pass,answer_key_validation_pass,distractor_effectiveness_pass,stem_ambiguity_control_pass,safety_screen_mean_score_5,safety_screen_min_score_5,major_defect_flag,critical_defect_flag,critical_defect_reasons,all_safety_domains_pass
M001,M,1,MAS,A1,machine_run_1,1,machine_annotation,D,1,4.85,5.000000000000001,4.9,4.4,4.733333333333333,1,1,1,1,1,4.776666666666666,4.4,0,0,,1
M002,M,2,MAS,A1,machine_run_1,1,machine_annotation,C,1,4.6,5.000000000000001,4.8,4.1,4.733333333333333,1,1,1,1,1,4.6466666666666665,4.1,0,0,,1
M003,M,3,MAS,A2,machine_run_1,1,machine_annotation,C,1,4.85,5.000000000000001,4.9,4.4,4.733333333333333,1,1,1,1,1,4.776666666666666,4.4,0,0,,1
M004,M,4,MAS,A2,machine_run_1,1,machine_annotation,C,1,4.85,5.000000000000001,4.9,5.0,4.733333333333333,1,1,1,1,1,4.8966666666666665,4.733333333333333,0,0,,1
M005,M,5,MAS,A2,machine_run_1,1,machine_annotation,B,1,4.85,5.000000000000001,4.9,5.0,4.733333333333333,1,1,1,1,1,4.8966666666666665,4.733333333333333,0,0,,1
M006,M,6,MAS,A1,machine_run_1,1,machine_annotation,D,1,4.6,5.000000000000001,4.9,4.1,4.733333333333333,1,1,1,1,1,4.666666666666667,4.1,0,0,,1
M007,M,7,MAS,A1,machine_run_1,1,machine_annotation,A,1,4.85,4.900000000000001,4.9,4.25,4.483333333333333,1,1,1,1,1,4.676666666666667,4.25,0,0,,1
M008,M,8,MAS,A2,machine_run_1,1,machine_annotation,C,1,4.85,5.000000000000001,4.9,5.0,4.733333333333333,1,1,1,1,1,4.8966666666666665,4.733333333333333,0,0,,1
M009,M,9,MAS,A2,machine_run_1,1,machine_annotation,D,1,4.85,5.000000000000001,4.9,5.0,4.733333333333333,1,1,1,1,1,4.8966666666666665,4.733333333333333,0,0,,1
M010,M,10,MAS,A2,machine_run_1,1,machine_annotation,C,1,5.0,4.800000000000001,4.75,4.4,4.733333333333333,1,1,1,1,1,4.736666666666666,4.4,0,0,,1
M011,M,11,MAS,A2,machine_run_1,1,machine_annotation,B,1,4.85,5.000000000000001,4.9,4.4,4.733333333333333,1,1,1,1,1,4.776666666666666,4.4,0,0,,1
