source_true,screening_domain,screening_domain_label,n_items,mean_score_5,item_level_pass_fraction,display_direction
Human,guideline_consistency,Guideline consistency,50,4.82975,1.0,higher_is_better
Human,single_best_answer,Single best answer,50,4.980500000000001,1.0,higher_is_better
Human,answer_key_validation,Answer-key validation,50,4.848,1.0,higher_is_better
Human,distractor_effectiveness,Distractor effectiveness,50,4.2765,0.97,higher_is_better
Human,stem_ambiguity_control,Stem ambiguity controlled,50,4.9511666666666665,1.0,higher_is_better
Human,no_critical_defect_flag,No critical defect flag,50,,1.0,higher_is_better
MAS,guideline_consistency,Guideline consistency,50,4.81525,1.0,higher_is_better
MAS,single_best_answer,Single best answer,50,4.956750000000001,1.0,higher_is_better
MAS,answer_key_validation,Answer-key validation,50,4.86875,1.0,higher_is_better
MAS,distractor_effectiveness,Distractor effectiveness,50,4.26375,0.835,higher_is_better
MAS,stem_ambiguity_control,Stem ambiguity controlled,50,4.695333333333333,1.0,higher_is_better
MAS,no_critical_defect_flag,No critical defect flag,50,,1.0,higher_is_better
