item_id,paper,paper_item_no,source_true,item_type,n_machine_runs,answer_key,answer_key_format_ok,guideline_consistency_score_5_mean,guideline_consistency_score_5_sd,guideline_consistency_pass_rate,single_best_answer_score_5_mean,single_best_answer_score_5_sd,single_best_answer_pass_rate,answer_key_validation_score_5_mean,answer_key_validation_score_5_sd,answer_key_validation_pass_rate,distractor_effectiveness_score_5_mean,distractor_effectiveness_score_5_sd,distractor_effectiveness_pass_rate,stem_ambiguity_control_score_5_mean,stem_ambiguity_control_score_5_sd,stem_ambiguity_control_pass_rate,major_defect_runs,major_defect_rate,major_defect_consensus,critical_defect_runs,critical_defect_rate,critical_defect_any_run,critical_defect_reasons,all_safety_domains_pass_rate
H001,P,1,Human,A2,4,D,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.4,0.0,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H002,P,2,Human,A2,4,D,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.8,0.0,1.0,4.362500000000001,0.07500000000000018,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H003,P,3,Human,A1,4,A,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.8,0.0,1.0,4.275,0.16583123951777026,1.0,4.8625,0.16007810593582117,1.0,0,0.0,0,0,0.0,0,,1.0
H004,P,4,Human,A1,4,C,1,4.85,0.0,1.0,4.912500000000001,0.17499999999999982,1.0,4.6375,0.125,1.0,4.1875,0.28394541729001394,0.75,4.8625,0.2749999999999999,1.0,1,0.25,0,0,0.0,0,,0.75
H005,P,5,Human,A1,4,B,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.3375,0.125,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H006,P,6,Human,A2,4,D,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.825,0.050000000000000266,1.0,4.3375,0.125,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H007,P,7,Human,A2,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.825,0.050000000000000266,1.0,4.3125,0.17500000000000027,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H008,P,8,Human,A1,4,E,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.825,0.050000000000000266,1.0,4.325,0.15000000000000036,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H009,P,9,Human,A2,4,D,1,4.85,0.0,1.0,4.937500000000001,0.125,1.0,4.7375,0.125,1.0,4.375,0.050000000000000266,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H010,P,10,Human,A2,4,B,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.25,0.30000000000000027,0.75,4.858333333333333,0.2833333333333332,1.0,1,0.25,0,0,0.0,0,,0.75
H011,P,11,Human,A2,4,D,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.25,0.17795130420052205,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H012,P,12,Human,A2,4,E,1,4.75,0.12247448713915883,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.300000000000001,0.12247448713915896,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H013,P,13,Human,A2,4,B,1,4.7875,0.125,1.0,4.975000000000001,0.04999999999999982,1.0,4.8,0.0,1.0,4.362500000000001,0.07500000000000018,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H014,P,14,Human,A2,4,D,1,4.75,0.19999999999999973,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.275,0.16583123951777026,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H015,P,15,Human,A2,4,A,1,4.85,0.0,1.0,4.937500000000001,0.125,1.0,4.7375,0.125,1.0,4.375,0.050000000000000266,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H016,P,16,Human,A1,4,A,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.3375,0.125,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H017,P,17,Human,A1,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.25,0.17795130420052205,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H018,P,18,Human,A2,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.25,0.30000000000000027,0.75,5.0,0.0,1.0,1,0.25,0,0,0.0,0,,0.75
H019,P,19,Human,A2,4,C,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.325,0.15000000000000036,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H020,P,20,Human,A1,4,A,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.825,0.050000000000000266,1.0,4.325,0.15000000000000036,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H021,P,21,Human,A2,4,E,1,4.85,0.0,1.0,4.937500000000001,0.125,1.0,4.7625,0.14930394055974114,1.0,4.2875,0.165201896679992,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H022,P,22,Human,A2,4,B,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.825,0.050000000000000266,1.0,4.300000000000001,0.20000000000000018,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H023,P,23,Human,A2,4,D,1,4.8125,0.07499999999999973,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.300000000000001,0.20000000000000018,1.0,4.8625,0.2749999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H024,P,24,Human,A2,4,D,1,4.85,0.0,1.0,4.975000000000001,0.04999999999999982,1.0,4.9,0.0,1.0,4.2125,0.21746647251166507,1.0,4.9375,0.125,1.0,0,0.0,0,0,0.0,0,,1.0
H025,P,25,Human,A2,4,C,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.8,0.0,1.0,4.3125,0.17500000000000027,1.0,5.0,0.0,1.0,0,0.0,0,0,0.0,0,,1.0
H026,P,26,Human,A3/A4,4,A,1,4.85,0.0,1.0,4.937500000000001,0.125,1.0,4.8375,0.125,1.0,4.375,0.050000000000000266,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H027,P,27,Human,A3/A4,4,D,1,4.85,0.0,1.0,4.937500000000001,0.125,1.0,4.8375,0.125,1.0,4.375,0.050000000000000266,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H028,P,28,Human,A3/A4,4,E,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.4,0.0,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H029,P,29,Human,A3/A4,4,C,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.4,0.0,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H030,P,30,Human,A3/A4,4,D,1,4.8125,0.07499999999999973,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.4,0.0,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H031,P,31,Human,A3/A4,4,B,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.25,0.17795130420052205,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H032,P,32,Human,A3/A4,4,A,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.25,0.17795130420052205,1.0,4.933333333333334,0.1333333333333333,1.0,0,0.0,0,0,0.0,0,,1.0
H033,P,33,Human,A3/A4,4,A,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H034,P,34,Human,A3/A4,4,E,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
H035,P,35,Human,A3/A4,4,D,1,4.85,0.0,1.0,5.000000000000001,0.0,1.0,4.9,0.0,1.0,4.3375,0.125,1.0,4.925,0.1499999999999999,1.0,0,0.0,0,0,0.0,0,,1.0
