student_id,student_no,item_id,paper,paper_item_no,source_true,item_type,score,correct,response_missing,form,order_group,block_position,training_year,training_setting_code,training_setting,total_time_seconds
S001,1,M001,M,1,MAS,A1,0.0,0,0,A,A,2,1,A,main,1022.0
S001,1,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,A,main,1022.0
S001,1,M006,M,6,MAS,A1,2.0,1,0,A,A,2,1,A,main,1022.0
S001,1,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,A,main,1022.0
S001,1,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,A,main,1022.0
S001,1,M023,M,23,MAS,A1,2.0,1,0,A,A,2,1,A,main,1022.0
S001,1,M024,M,24,MAS,A1,0.0,0,0,A,A,2,1,A,main,1022.0
S002,2,M001,M,1,MAS,A1,0.0,0,0,A,A,2,2,A,main,2209.0
S002,2,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,A,main,2209.0
S002,2,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,A,main,2209.0
S002,2,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,A,main,2209.0
S002,2,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,A,main,2209.0
S002,2,M023,M,23,MAS,A1,0.0,0,0,A,A,2,2,A,main,2209.0
S002,2,M024,M,24,MAS,A1,2.0,1,0,A,A,2,2,A,main,2209.0
S003,3,M001,M,1,MAS,A1,0.0,0,0,A,A,2,2,A,main,2513.0
S003,3,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,A,main,2513.0
S003,3,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,A,main,2513.0
S003,3,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,A,main,2513.0
S003,3,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,A,main,2513.0
S003,3,M023,M,23,MAS,A1,0.0,0,0,A,A,2,2,A,main,2513.0
S003,3,M024,M,24,MAS,A1,0.0,0,0,A,A,2,2,A,main,2513.0
S004,4,M001,M,1,MAS,A1,2.0,1,0,A,A,2,1,A,main,1748.0
S004,4,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,A,main,1748.0
S004,4,M006,M,6,MAS,A1,0.0,0,0,A,A,2,1,A,main,1748.0
S004,4,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,A,main,1748.0
S004,4,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,A,main,1748.0
S004,4,M023,M,23,MAS,A1,0.0,0,0,A,A,2,1,A,main,1748.0
S004,4,M024,M,24,MAS,A1,0.0,0,0,A,A,2,1,A,main,1748.0
S005,5,M001,M,1,MAS,A1,0.0,0,0,A,A,2,1,A,main,1836.0
S005,5,M002,M,2,MAS,A1,0.0,0,0,A,A,2,1,A,main,1836.0
S005,5,M006,M,6,MAS,A1,2.0,1,0,A,A,2,1,A,main,1836.0
S005,5,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,A,main,1836.0
S005,5,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,A,main,1836.0
S005,5,M023,M,23,MAS,A1,0.0,0,0,A,A,2,1,A,main,1836.0
S005,5,M024,M,24,MAS,A1,2.0,1,0,A,A,2,1,A,main,1836.0
S006,6,M001,M,1,MAS,A1,0.0,0,0,A,A,2,1,A,main,2566.0
S006,6,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,A,main,2566.0
S006,6,M006,M,6,MAS,A1,0.0,0,0,A,A,2,1,A,main,2566.0
S006,6,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,A,main,2566.0
S006,6,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,A,main,2566.0
S006,6,M023,M,23,MAS,A1,2.0,1,0,A,A,2,1,A,main,2566.0
S006,6,M024,M,24,MAS,A1,2.0,1,0,A,A,2,1,A,main,2566.0
S007,7,M001,M,1,MAS,A1,0.0,0,0,A,A,2,2,A,main,2053.0
S007,7,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,A,main,2053.0
S007,7,M006,M,6,MAS,A1,0.0,0,0,A,A,2,2,A,main,2053.0
S007,7,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,A,main,2053.0
S007,7,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,A,main,2053.0
S007,7,M023,M,23,MAS,A1,0.0,0,0,A,A,2,2,A,main,2053.0
S007,7,M024,M,24,MAS,A1,2.0,1,0,A,A,2,2,A,main,2053.0
S008,8,M001,M,1,MAS,A1,2.0,1,0,A,A,2,3,A,main,2742.0
S008,8,M002,M,2,MAS,A1,2.0,1,0,A,A,2,3,A,main,2742.0
S008,8,M006,M,6,MAS,A1,0.0,0,0,A,A,2,3,A,main,2742.0
S008,8,M007,M,7,MAS,A1,2.0,1,0,A,A,2,3,A,main,2742.0
S008,8,M017,M,17,MAS,A1,2.0,1,0,A,A,2,3,A,main,2742.0
S008,8,M023,M,23,MAS,A1,0.0,0,0,A,A,2,3,A,main,2742.0
S008,8,M024,M,24,MAS,A1,0.0,0,0,A,A,2,3,A,main,2742.0
S009,9,M001,M,1,MAS,A1,2.0,1,0,A,A,2,3,A,main,2145.0
S009,9,M002,M,2,MAS,A1,2.0,1,0,A,A,2,3,A,main,2145.0
S009,9,M006,M,6,MAS,A1,2.0,1,0,A,A,2,3,A,main,2145.0
S009,9,M007,M,7,MAS,A1,2.0,1,0,A,A,2,3,A,main,2145.0
S009,9,M017,M,17,MAS,A1,2.0,1,0,A,A,2,3,A,main,2145.0
S009,9,M023,M,23,MAS,A1,2.0,1,0,A,A,2,3,A,main,2145.0
S009,9,M024,M,24,MAS,A1,0.0,0,0,A,A,2,3,A,main,2145.0
S010,10,M001,M,1,MAS,A1,2.0,1,0,A,A,2,2,A,main,2473.0
S010,10,M002,M,2,MAS,A1,0.0,0,0,A,A,2,2,A,main,2473.0
S010,10,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,A,main,2473.0
S010,10,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,A,main,2473.0
S010,10,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,A,main,2473.0
S010,10,M023,M,23,MAS,A1,0.0,0,0,A,A,2,2,A,main,2473.0
S010,10,M024,M,24,MAS,A1,0.0,0,0,A,A,2,2,A,main,2473.0
S011,11,M001,M,1,MAS,A1,2.0,1,0,A,A,2,1,A,main,4045.0
S011,11,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,A,main,4045.0
S011,11,M006,M,6,MAS,A1,0.0,0,0,A,A,2,1,A,main,4045.0
S011,11,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,A,main,4045.0
S011,11,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,A,main,4045.0
S011,11,M023,M,23,MAS,A1,0.0,0,0,A,A,2,1,A,main,4045.0
S011,11,M024,M,24,MAS,A1,0.0,0,0,A,A,2,1,A,main,4045.0
S012,12,M001,M,1,MAS,A1,0.0,0,0,A,A,2,2,A,main,1154.0
S012,12,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,A,main,1154.0
S012,12,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,A,main,1154.0
S012,12,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,A,main,1154.0
S012,12,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,A,main,1154.0
S012,12,M023,M,23,MAS,A1,2.0,1,0,A,A,2,2,A,main,1154.0
S012,12,M024,M,24,MAS,A1,2.0,1,0,A,A,2,2,A,main,1154.0
S013,13,M001,M,1,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,3658.0
S013,13,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,3658.0
S013,13,M006,M,6,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,3658.0
S013,13,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,3658.0
S013,13,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,3658.0
S013,13,M023,M,23,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,3658.0
S013,13,M024,M,24,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,3658.0
S014,14,M001,M,1,MAS,A1,2.0,1,0,A,A,2,2,A,main,1288.0
S014,14,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,A,main,1288.0
S014,14,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,A,main,1288.0
S014,14,M007,M,7,MAS,A1,2.0,1,0,A,A,2,2,A,main,1288.0
S014,14,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,A,main,1288.0
S014,14,M023,M,23,MAS,A1,2.0,1,0,A,A,2,2,A,main,1288.0
S014,14,M024,M,24,MAS,A1,0.0,0,0,A,A,2,2,A,main,1288.0
S015,15,M001,M,1,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M006,M,6,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,1159.0
S015,15,M023,M,23,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,1159.0
S015,15,M024,M,24,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,1159.0
S016,16,M001,M,1,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M002,M,2,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M006,M,6,MAS,A1,0.0,0,0,A,A,2,1,B,non_main,2200.0
S016,16,M007,M,7,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M017,M,17,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M023,M,23,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S016,16,M024,M,24,MAS,A1,2.0,1,0,A,A,2,1,B,non_main,2200.0
S017,17,M001,M,1,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,1708.0
S017,17,M002,M,2,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,1708.0
S017,17,M006,M,6,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,1708.0
S017,17,M007,M,7,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,1708.0
S017,17,M017,M,17,MAS,A1,2.0,1,0,A,A,2,2,B,non_main,1708.0
S017,17,M023,M,23,MAS,A1,0.0,0,0,A,A,2,2,B,non_main,1708.0
