detection_id,item_pair_label,source_guess_success,human_difficulty,human_difficulty_distance,human_urology_relevance,human_clinical_relevance,human_rating,mas_difficulty,mas_difficulty_distance,mas_urology_relevance,mas_clinical_relevance,mas_rating,raw_header
1,1,1,5.0,2.0,3.0,3.0,8.0,4.0,1.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
2,2,0,4.0,1.0,2.0,2.0,8.0,4.0,1.0,2.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
3,3,1,4.0,1.0,3.0,3.0,8.0,3.0,0.0,3.0,3.0,9.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
4,4,0,4.0,1.0,3.0,3.0,8.0,4.0,1.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
5,5,1,3.0,0.0,3.0,2.0,8.0,4.0,1.0,2.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
6,6,1,4.0,1.0,2.0,2.0,8.0,4.0,1.0,2.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
7,7,1,3.0,0.0,3.0,3.0,10.0,4.0,1.0,2.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
8,8,1,3.0,0.0,2.0,2.0,9.0,3.0,0.0,2.0,2.0,9.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
9,9,1,4.0,1.0,2.0,2.0,6.0,4.0,1.0,2.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
10,10,1,3.0,0.0,3.0,2.0,9.0,4.0,1.0,2.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
11,11,0,4.0,1.0,3.0,3.0,10.0,3.0,0.0,3.0,3.0,10.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
12,12,1,3.0,0.0,3.0,2.0,8.0,3.0,0.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
13,13,0,3.0,0.0,3.0,3.0,9.0,4.0,1.0,2.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
14,14,1,5.0,2.0,2.0,2.0,8.0,5.0,2.0,2.0,2.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
15,15,0,4.0,1.0,3.0,3.0,7.0,4.0,1.0,3.0,3.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
16,16,0,4.0,1.0,2.0,2.0,8.0,4.0,1.0,2.0,2.0,9.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
17,17,0,3.0,0.0,3.0,3.0,10.0,4.0,1.0,3.0,3.0,10.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
18,18,0,4.0,1.0,2.0,2.0,10.0,4.0,1.0,2.0,2.0,10.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
19,19,0,4.0,1.0,3.0,3.0,8.0,4.0,1.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
20,20,0,4.0,1.0,2.0,2.0,7.0,4.0,1.0,2.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
21,21,0,3.0,0.0,3.0,3.0,9.0,4.0,1.0,3.0,3.0,9.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
22,22,1,3.0,0.0,2.0,2.0,7.0,4.0,1.0,2.0,2.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
23,26,1,3.0,0.0,2.0,2.0,8.0,4.0,1.0,2.0,2.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
24,27,0,4.0,1.0,3.0,3.0,9.0,2.0,1.0,2.0,2.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
25,28,0,3.0,0.0,2.0,2.0,6.0,4.0,1.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
26,29,1,3.0,0.0,2.0,2.0,8.0,3.0,0.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
27,30,0,4.0,1.0,3.0,2.0,7.0,3.0,0.0,3.0,2.0,9.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
28,31,1,4.0,1.0,2.0,2.0,7.0,3.0,0.0,3.0,3.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
29,32,1,4.0,1.0,3.0,3.0,9.0,4.0,1.0,3.0,3.0,9.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
30,33,1,3.0,0.0,2.0,2.0,7.0,3.0,0.0,2.0,2.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
31,34,1,4.0,1.0,3.0,3.0,9.0,3.0,0.0,3.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
32,35,0,2.0,1.0,2.0,2.0,4.0,3.0,0.0,3.0,3.0,10.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
33,36,1,3.0,0.0,2.0,2.0,8.0,3.0,0.0,2.0,2.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
34,37,1,3.0,0.0,2.0,2.0,8.0,3.0,0.0,2.0,2.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
35,38,1,3.0,0.0,3.0,3.0,9.0,2.0,1.0,3.0,3.0,9.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
36,39,0,4.0,1.0,2.0,2.0,7.0,4.0,1.0,2.0,2.0,7.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
37,40,0,4.0,1.0,2.0,2.0,6.0,3.0,0.0,2.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
38,41,1,3.0,0.0,3.0,3.0,8.0,4.0,1.0,2.0,2.0,4.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
39,42,1,4.0,1.0,2.0,2.0,10.0,4.0,1.0,2.0,3.0,10.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
40,43,0,3.0,0.0,3.0,3.0,10.0,3.0,0.0,3.0,3.0,10.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
41,44,1,4.0,1.0,2.0,2.0,7.0,3.0,0.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
42,45,1,3.0,0.0,3.0,3.0,10.0,3.0,0.0,2.0,3.0,10.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
43,46,0,4.0,1.0,2.0,3.0,9.0,5.0,2.0,3.0,3.0,8.0,|是否成功判断|人工卷难度|人工卷难度与基准的差异|泌尿外科相关性|临床相关性|评分|AI卷难度|AI卷难度与基准的差异|泌尿外科相关性|临床相关性|评分
