detection_id,item_pair_label,source_true,source_guess,correct_source_guess
1,1,Human,Human,1
1,1,MAS,MAS,1
2,2,Human,MAS,0
2,2,MAS,Human,0
3,3,Human,Human,1
3,3,MAS,MAS,1
4,4,Human,MAS,0
4,4,MAS,Human,0
5,5,Human,Human,1
5,5,MAS,MAS,1
6,6,Human,Human,1
6,6,MAS,MAS,1
7,7,Human,Human,1
7,7,MAS,MAS,1
8,8,Human,Human,1
8,8,MAS,MAS,1
9,9,Human,Human,1
9,9,MAS,MAS,1
10,10,Human,Human,1
10,10,MAS,MAS,1
11,11,Human,MAS,0
11,11,MAS,Human,0
12,12,Human,Human,1
12,12,MAS,MAS,1
13,13,Human,MAS,0
13,13,MAS,Human,0
14,14,Human,Human,1
14,14,MAS,MAS,1
15,15,Human,MAS,0
15,15,MAS,Human,0
16,16,Human,MAS,0
16,16,MAS,Human,0
17,17,Human,MAS,0
17,17,MAS,Human,0
18,18,Human,MAS,0
18,18,MAS,Human,0
19,19,Human,MAS,0
19,19,MAS,Human,0
20,20,Human,MAS,0
20,20,MAS,Human,0
21,21,Human,MAS,0
21,21,MAS,Human,0
22,22,Human,Human,1
22,22,MAS,MAS,1
23,26,Human,Human,1
23,26,MAS,MAS,1
24,27,Human,MAS,0
24,27,MAS,Human,0
25,28,Human,MAS,0
25,28,MAS,Human,0
26,29,Human,Human,1
26,29,MAS,MAS,1
27,30,Human,MAS,0
27,30,MAS,Human,0
28,31,Human,Human,1
28,31,MAS,MAS,1
29,32,Human,Human,1
29,32,MAS,MAS,1
30,33,Human,Human,1
30,33,MAS,MAS,1
31,34,Human,Human,1
31,34,MAS,MAS,1
32,35,Human,MAS,0
32,35,MAS,Human,0
33,36,Human,Human,1
33,36,MAS,MAS,1
34,37,Human,Human,1
34,37,MAS,MAS,1
35,38,Human,Human,1
35,38,MAS,MAS,1
36,39,Human,MAS,0
36,39,MAS,Human,0
37,40,Human,MAS,0
37,40,MAS,Human,0
38,41,Human,Human,1
38,41,MAS,MAS,1
39,42,Human,Human,1
39,42,MAS,MAS,1
40,43,Human,MAS,0
40,43,MAS,Human,0
41,44,Human,Human,1
41,44,MAS,MAS,1
42,45,Human,Human,1
42,45,MAS,MAS,1
43,46,Human,MAS,0
43,46,MAS,Human,0
44,47,Human,Human,1
44,47,MAS,MAS,1
45,23,Human,MAS,0
45,23,MAS,Human,0
46,24,Human,MAS,0
46,24,MAS,Human,0
47,48,Human,MAS,0
47,48,MAS,Human,0
48,49,Human,MAS,0
48,49,MAS,Human,0
