P卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,该题是否为AI题
A1,3,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64,否
,4,5,5,5,4,5,5,5,34,5,4,3,4,2,3,4,3,5,5,5,2,1,2,3,2,53,否
,5,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,2,1,3,3,3,59,否
,14,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,是
,15,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,否
,16,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,2,1,2,3,3,58,否
,17,5,5,5,5,5,5,5,35,5,5,3,5,1,4,3,5,5,5,5,2,1,3,3,3,58,否
A2,1,4,3,5,3,3,3,4,25,4,3,4,3,3,4,4,3,4,3,4,4,3,4,3,4,57,是
,2,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,5,5,5,5,3,1,3,3,3,62,是
,6,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,否
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,17,5,4,5,5,4,4,5,32,5,4,3,5,1,4,4,5,5,5,5,3,2,3,3,3,60,否
,26,4,5,4,5,5,5,3,31,5,5,3,3,1,4,4,5,5,5,5,3,2,4,3,4,61,是
,27,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,28,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,29,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,2,3,3,3,62,否
,30,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,31,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,是
,32,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,33,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,否
,34,5,5,5,5,5,5,4,34,5,5,3,5,1,4,4,5,5,5,5,3,2,3,3,3,61,是
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,2,4,3,4,67,是
,36,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,3,64,是
,37,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,38,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,3,64,否
"A3,4",1,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,2,5,5,5,5,5,5,4,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,3,5,4,5,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,4,5,4,5,5,5,5,4,33,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,6,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,3,4,3,4,67,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,10,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,11,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,12,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,是
,13,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
,14,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
B,7,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,1,3,3,5,65,否
X,2,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,5,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63,否
,6,5,5,5,5,5,5,5,35,5,3,2,5,1,4,4,5,5,5,5,4,2,3,3,3,59,是
,7,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,3,3,3,63,是
,8,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,1,3,3,3,62,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,5,3,4,66,否
A1,18,5,5,5,5,5,5,5,35,5,5,4,5,3,4,4,5,5,5,5,2,3,3,3,3,64,否
,19,5,5,5,4,5,5,5,34,5,5,3,5,1,4,4,5,5,5,5,3,1,3,3,3,60,是
,20,5,5,5,4,5,5,5,34,5,5,3,5,2,4,4,5,5,5,5,3,1,3,3,3,61,是
A2,44,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,是
,45,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,46,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,否
,47,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,48,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,是
,49,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,50,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,3,3,3,3,3,63,否
A3-4,33,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,34,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,35,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,5,69,是
,36,5,5,5,5,5,5,5,35,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,是
B,10,5,5,5,5,5,5,4,34,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,否
,11,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,否
,12,5,5,5,5,5,5,5,35,5,5,3,5,2,5,4,5,5,5,5,4,2,3,3,4,65,否
X,20,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,21,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,2,4,3,4,65,否
,22,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,是
,,4.97142857142857,4.92857142857143,4.98571428571429,4.88571428571429,4.95714285714286,4.95714285714286,4.84285714285714,34.5285714285714,4.98571428571429,4.91428571428571,3.04285714285714,4.92857142857143,2.25714285714286,4.38571428571429,3.98571428571429,4.94285714285714,4.98571428571429,4.97142857142857,4.98571428571429,3.57142857142857,2.28571428571429,3.48571428571429,3,3.64285714285714,64.3714285714286,
,,0.167801519350929,0.310279377215866,0.119522860933439,0.362873281785172,0.265707384313411,0.265707384313411,0.404170802096194,1.35904301977775,0.119522860933439,0.370775026239384,0.265707384313412,0.353919198648284,0.735944907470864,0.518997281354951,0.119522860933439,0.335603038701859,0.119522860933439,0.239045721866879,0.119522860933439,0.649892489914452,0.782838705560344,0.583414664546113,0,0.637834067870826,3.47734459981155,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
