M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,题号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,该题是否为AI题
A1,1,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,1,4,3,4,62,是
,2,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,3,1,3,3,3,57,是
,6,5,5,5,5,5,5,5,35,5,5,3,4,3,4,4,3,5,5,5,4,2,4,3,4,63,是
,7,5,5,5,5,5,5,5,35,5,4,3,5,2,4,4,5,5,5,5,4,1,4,3,4,63,是
,11,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,1,3,3,3,59,否
,12,5,5,5,5,5,5,5,35,5,5,3,4,2,4,4,3,5,5,5,4,2,4,3,4,62,否
,13,5,5,4,5,5,5,5,34,5,4,2,5,1,4,4,5,5,5,5,4,1,4,3,4,61,否
A2,3,5,5,5,5,5,5,5,35,5,5,3,5,2,4,4,5,5,5,5,4,3,4,3,4,66,是
,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,5,5,5,5,5,5,3,4,3,4,69,是
,5,5,5,5,5,5,5,5,35,5,5,3,5,4,3,5,5,5,5,5,5,3,4,3,4,69,否
,8,5,5,5,5,5,5,5,35,5,5,3,5,3,4,5,5,5,5,5,5,3,4,3,4,69,否
,9,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70,否
,10,5,5,3,5,5,5,5,33,5,5,2,5,5,5,4,5,5,5,4,4,4,4,3,4,69,否
,11,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,4,4,4,3,4,69,否
,12,5,5,4,5,5,5,5,34,5,5,3,5,3,4,4,5,5,5,5,5,3,4,3,4,68,否
,13,5,5,5,5,5,5,5,35,5,5,2,5,3,4,5,5,5,5,5,5,3,4,3,4,68,否
,14,5,5,4,5,5,5,5,34,5,5,3,5,4,4,4,5,5,5,5,4,3,4,3,4,68,否
,15,5,5,4,5,5,5,5,34,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,否
,16,5,5,4,5,5,5,5,34,5,4,3,4,2,4,4,5,5,5,5,4,2,4,3,4,63,否
,25,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,3,3,4,3,4,67,否
,39,5,5,5,5,5,5,5,35,5,4,3,4,2,3,4,5,5,4,5,3,2,4,3,4,60,是
,40,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,是
,41,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,3,3,3,3,3,64,否
,42,5,5,5,5,5,5,5,35,5,5,3,5,4,4,4,5,5,5,5,4,4,4,3,4,69,否
,43,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,4,3,4,3,4,63,否
A3-4,19,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,3,4,3,4,67,否
,20,5,5,5,5,5,5,5,35,5,5,3,4,3,5,4,5,5,5,5,4,3,4,3,4,67,否
,21,5,5,5,5,5,5,5,35,5,5,2,4,3,5,4,5,5,5,5,4,2,4,3,4,65,否
,22,5,5,4,5,5,5,4,33,5,5,2,5,3,5,4,5,5,5,5,4,2,4,3,4,66,否
,23,5,5,4,5,5,5,5,34,5,5,2,5,3,5,4,5,5,5,5,4,2,4,3,4,66,否
,24,5,5,4,5,5,5,4,33,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,25,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,26,5,5,4,5,5,5,5,34,5,5,3,5,3,5,4,5,5,5,5,4,3,4,3,4,68,否
,27,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68,否
,28,5,5,5,5,5,5,5,35,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68,否
,29,5,5,4,5,5,5,5,34,5,5,2,5,3,5,4,5,5,5,5,4,4,4,3,4,68,否
,30,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
,31,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
,32,4,5,5,5,5,5,5,34,4,5,3,5,3,5,4,3,5,5,5,4,2,4,3,4,64,否
B,1,5,5,4,5,5,5,5,34,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66,是
,2,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,5,5,5,5,4,2,4,3,5,66,是
,3,5,5,5,5,5,5,5,35,5,5,2,5,2,5,4,3,5,5,5,4,2,3,3,5,63,是
多项选择题,1,5,5,4,5,5,5,5,34,5,5,4,5,2,4,4,1,5,5,5,4,2,3,3,3,60,是
,13,5,5,5,5,5,5,5,35,5,5,2,5,2,4,4,3,5,5,5,4,2,4,3,3,61,否
,14,5,5,5,5,5,5,5,35,5,5,2,5,4,4,4,3,5,3,5,4,3,4,3,3,62,是
,15,5,5,5,5,5,5,5,35,4,4,3,4,3,4,4,5,5,5,5,4,3,4,3,4,64,是
,16,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,4,5,5,5,4,4,3,4,70,是
,17,5,5,5,5,5,5,5,35,5,5,3,5,4,4,5,5,5,5,5,5,3,4,3,4,70,是
,18,5,5,4,5,5,5,5,34,5,5,2,5,2,4,4,1,5,5,4,4,2,4,3,3,58,是
,19,5,5,4,5,5,5,5,34,5,5,2,4,2,4,4,5,5,5,5,4,3,4,3,4,64,否
,,4.94,5,4.66,5,5,5,4.96,34.56,4.92,4.84,2.68,4.74,2.72,4.32,4.14,4.44,4.98,4.94,4.96,4.06,2.58,3.9,3,3.92,65.14,正确率：17/50
,,0.239897937482095,0,0.519418827505653,0,0,0,0.197948663722157,0.61145527311522,0.27404751561787,0.37032803990902,0.512695955569325,0.443087497693452,0.969746442770123,0.551065757771026,0.350509832753865,1.07209503081678,0.14142135623731,0.313635691430002,0.197948663722157,0.511500393999091,0.859283042389861,0.303045763365663,0,0.444467119602973,3.41072737469441,A1:4/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:4/18
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:0/14
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:3/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:6/8
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
