M卷,,,,,,,,,,,,,,,,,,,,,,,,,,,
题型,序号,流畅性,清晰度,简洁性,相关性,一致性,可回答性,答案一致性,QG总分,流畅性,排他性,明确性,目标性,综合性,侧重性,防猜性,完整性,正确性,可解性,绝对性,迷惑性,思维性,反馈性,公平性,答案解析评分,LLM总分,该题是否为AI题
A1,8,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58,否
,9,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58,是
,10,5,5,5,5,5,5,5,35,5,5,3,4,1,4,4,3,5,5,5,4,1,3,3,3,58,否
A2,18,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,3,3,4,60,否
,19,5,5,5,5,5,5,5,35,5,5,3,5,1,4,4,5,5,5,5,3,1,2,3,3,59,否
,20,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,3,3,4,60,否
,21,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,3,3,4,61,否
,22,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,否
,23,5,5,5,5,5,5,5,35,5,4,3,4,1,4,4,5,5,5,5,3,2,4,3,3,60,否
,24,5,4,5,5,5,5,4,33,5,4,3,4,1,4,4,5,5,5,5,4,2,4,3,4,62,否
A3-4,15,5,5,5,5,5,5,5,35,4,4,3,5,2,4,4,5,5,5,5,3,3,4,3,3,62,否
,16,5,5,5,5,5,5,5,35,4,4,3,5,2,4,4,5,5,5,5,3,3,4,3,3,62,否
,17,5,5,5,5,5,5,5,35,4,4,3,5,2,5,4,5,5,5,5,3,3,4,3,3,63,否
,18,5,5,5,5,5,5,5,35,4,4,3,5,2,5,4,5,5,5,5,3,3,4,3,3,63,否
B,4,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,5,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
,6,5,5,5,5,5,5,5,35,5,5,3,5,3,4,4,5,5,5,5,4,3,4,3,4,67,否
X,9,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,10,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,11,5,5,5,5,5,5,5,35,5,5,4,5,2,4,4,1,5,5,5,4,2,4,3,3,61,否
,平均,5,4.85,5,5,5,5,4.85,34.7,4.8,4.5,3.15,4.55,1.65,4.1,4,4.1,5,5,5,3.6,2.15,3.6,3,3.4,61.6,正确率：1/20
,方差,,,,,,,,,,,,,,,,,,,,,,,,,,A1:1/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,A2:0/7
,,,,,,,,,,,,,,,,,,,,,,,,,,,A3-4:0/4
,,,,,,,,,,,,,,,,,,,,,,,,,,,B:0/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,X:0/3
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
