,是否成功判断,人工卷难度,人工卷难度与基准的差异,泌尿外科相关性,临床相关性,评分,AI卷难度,AI卷难度与基准的差异,泌尿外科相关性,临床相关性,评分
1,T,5,2,3,3,8,4,1,3,3,8
2,F,4,1,2,2,8,4,1,2,3,8
3,T,4,1,3,3,8,3,0,3,3,9
4,F,4,1,3,3,8,4,1,3,3,8
5,T,3,0,3,2,8,4,1,2,3,8
6,T,4,1,2,2,8,4,1,2,2,7
7,T,3,0,3,3,10,4,1,2,2,7
8,T,3,0,2,2,9,3,0,2,2,9
9,T,4,1,2,2,6,4,1,2,2,7
10,T,3,0,3,2,9,4,1,2,2,7
11,F,4,1,3,3,10,3,0,3,3,10
12,T,3,0,3,2,8,3,0,3,3,8
13,F,3,0,3,3,9,4,1,2,2,7
14,T,5,2,2,2,8,5,2,2,2,8
15,F,4,1,3,3,7,4,1,3,3,7
16,F,4,1,2,2,8,4,1,2,2,9
17,F,3,0,3,3,10,4,1,3,3,10
18,F,4,1,2,2,10,4,1,2,2,10
19,F,4,1,3,3,8,4,1,3,3,8
20,F,4,1,2,2,7,4,1,2,2,7
21,F,3,0,3,3,9,4,1,3,3,9
22,T,3,0,2,2,7,4,1,2,2,8
26,T,3,0,2,2,8,4,1,2,2,8
27,F,4,1,3,3,9,2,1,2,2,8
28,F,3,0,2,2,6,4,1,3,3,8
29,T,3,0,2,2,8,3,0,3,3,8
30,F,4,1,3,2,7,3,0,3,2,9
31,T,4,1,2,2,7,3,0,3,3,7
32,T,4,1,3,3,9,4,1,3,3,9
33,T,3,0,2,2,7,3,0,2,2,8
34,T,4,1,3,3,9,3,0,3,2,7
35,F,2,1,2,2,4,3,0,3,3,10
36,T,3,0,2,2,8,3,0,2,2,8
37,T,3,0,2,2,8,3,0,2,2,8
38,T,3,0,3,3,9,2,1,3,3,9
39,F,4,1,2,2,7,4,1,2,2,7
40,F,4,1,2,2,6,3,0,2,3,8
41,T,3,0,3,3,8,4,1,2,2,4
42,T,4,1,2,2,10,4,1,2,3,10
43,F,3,0,3,3,10,3,0,3,3,10
44,T,4,1,2,2,7,3,0,3,3,8
45,T,3,0,3,3,10,3,0,2,3,10
46,F,4,1,2,3,9,5,2,3,3,8
47,T,4,1,2,2,6,3,0,2,2,8
23,F,4,1,3,3,9,4,1,3,3,9
24,F,3,0,3,3,9,3,0,3,2,8
48,F,4,1,2,2,9,4,1,2,2,9
49,F,3,0,2,2,8,3,0,2,2,7
